analytic_containment_applicability,analytic_containment_passed,analytic_reference_contained,cold_total_configuration_time_s,compile_or_jit_time_s,completed_requested_horizon,completed_steps,device,dtype,engine_internal_time_s,evaluation_time,failure_category,first_step_time_s,h,measurement_phase,memory_measurement,memory_unavailable_reason,message,native_validation_passed,peak_process_rss_kib,plot_report_time_s,posthoc_validation_time_s,repetition,requested_horizon,requested_steps,runtime_boundary_version,steady_full_configuration_time_s,steady_step_time_s,steady_total_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time
required,True,True,0.0014744590152986348,1.0562510839663446,True,100,cpu,float64,0.0013845409848727286,1.0,completed,,0.01,cold,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,8.541974239051342e-06,0,1.0,100,total_configuration_v2,0.0014744590152986348,1.4744590152986348e-05,0.0014744590152986348,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
required,True,True,0.0,0.0,True,100,cpu,float64,0.0013867089874111116,1.0,completed,,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,6.416987162083387e-06,1,1.0,100,total_configuration_v2,0.0014523749705404043,1.4523749705404043e-05,0.0014523749705404043,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
required,True,True,0.0,0.0,True,100,cpu,float64,0.001389874960295856,1.0,completed,,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,4.167028237134218e-06,2,1.0,100,total_configuration_v2,0.0014482499682344496,1.4482499682344497e-05,0.0014482499682344496,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
required,True,True,0.0,0.0,True,100,cpu,float64,0.0013708749902434647,1.0,completed,,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,3.167020622640848e-06,3,1.0,100,total_configuration_v2,0.0014239579904824495,1.4239579904824495e-05,0.0014239579904824495,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
required,True,True,0.0,0.0,True,100,cpu,float64,0.0013532500015571713,1.0,completed,,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.8329668566584587e-06,4,1.0,100,total_configuration_v2,0.001407582953106612,1.407582953106612e-05,0.001407582953106612,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
required,True,True,0.0,0.0,True,100,cpu,float64,0.0013577090576291084,1.0,completed,,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.667016815394163e-06,5,1.0,100,total_configuration_v2,0.0014100410044193268,1.4100410044193268e-05,0.0014100410044193268,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
required,True,True,0.0,0.0,True,100,cpu,float64,0.0013685409794561565,1.0,completed,,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.374988980591297e-06,6,1.0,100,total_configuration_v2,0.0014190420042723417,1.4190420042723417e-05,0.0014190420042723417,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
required,True,True,0.0,0.0,True,100,cpu,float64,0.0013687500031664968,1.0,completed,,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,7.041962817311287e-06,7,1.0,100,total_configuration_v2,0.001450749987270683,1.4507499872706831e-05,0.001450749987270683,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
required,True,True,0.0,0.0,True,100,cpu,float64,0.0014201249578036368,1.0,completed,,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,6.916990969330072e-06,8,1.0,100,total_configuration_v2,0.0015067090280354023,1.5067090280354024e-05,0.0015067090280354023,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
required,True,True,0.0,0.0,True,100,cpu,float64,0.0015179580077528954,1.0,completed,,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,8.124974556267262e-06,9,1.0,100,total_configuration_v2,0.001631332968827337,1.631332968827337e-05,0.001631332968827337,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
