plant,step,history_length,history_length_after,category,label,seconds,calls,interval_constructions,tensor_outputs,explicit_copy_events,step_seconds,boundary_sum_seconds,nonboundary_seconds,pass_kind,window,inplace_tensor_self_returns,tensor_result_creations,actual_entry_details,binding_details
brusselator,1001,0,1,A,representation_and_coefficients,0.04286747146397829,146,5,12431,1577,1.1407892662100494,0.684759664349258,0.45602960186079144,exclusive_wall_timer,brusselator_after_reset,8,12423,raw_minimal/profiles/brusselator_after_reset_wall/operations.csv,raw_minimal/profiles/brusselator_after_reset_wall/source.json
brusselator,1001,0,1,B,point_substitution,0.0009479210712015629,3,0,346,0,1.1407892662100494,0.684759664349258,0.45602960186079144,exclusive_wall_timer,brusselator_after_reset,1,345,raw_minimal/profiles/brusselator_after_reset_wall/operations.csv,raw_minimal/profiles/brusselator_after_reset_wall/source.json
brusselator,1001,0,1,C,endpoint_error_and_ledger,0.01668583368882537,7,24,5040,102,1.1407892662100494,0.684759664349258,0.45602960186079144,exclusive_wall_timer,brusselator_after_reset,42,4998,raw_minimal/profiles/brusselator_after_reset_wall/operations.csv,raw_minimal/profiles/brusselator_after_reset_wall/source.json
brusselator,1001,0,1,D,polynomial_interval_range,0.5655764536932111,146,9555,195558,38220,1.1407892662100494,0.684759664349258,0.45602960186079144,exclusive_wall_timer,brusselator_after_reset,0,195558,raw_minimal/profiles/brusselator_after_reset_wall/operations.csv,raw_minimal/profiles/brusselator_after_reset_wall/source.json
brusselator,1001,0,1,E,composition_and_cutoff,0.04549705144017935,105,469,16107,2174,1.1407892662100494,0.684759664349258,0.45602960186079144,exclusive_wall_timer,brusselator_after_reset,0,16107,raw_minimal/profiles/brusselator_after_reset_wall/operations.csv,raw_minimal/profiles/brusselator_after_reset_wall/source.json
brusselator,1001,0,1,F,center_scale_and_maps,0.002182949334383011,5,4,822,20,1.1407892662100494,0.684759664349258,0.45602960186079144,exclusive_wall_timer,brusselator_after_reset,0,822,raw_minimal/profiles/brusselator_after_reset_wall/operations.csv,raw_minimal/profiles/brusselator_after_reset_wall/source.json
brusselator,1001,0,1,G,history_checks_pack_propagate_commit,0.007671496365219355,24,20,1317,83,1.1407892662100494,0.684759664349258,0.45602960186079144,exclusive_wall_timer,brusselator_after_reset,0,1317,raw_minimal/profiles/brusselator_after_reset_wall/operations.csv,raw_minimal/profiles/brusselator_after_reset_wall/source.json
brusselator,1001,0,1,H,other_boundary,0.0033304872922599316,1,34,1064,136,1.1407892662100494,0.684759664349258,0.45602960186079144,exclusive_wall_timer,brusselator_after_reset,0,1064,raw_minimal/profiles/brusselator_after_reset_wall/operations.csv,raw_minimal/profiles/brusselator_after_reset_wall/source.json
brusselator,1001,0,1,outside_boundary,nonboundary_or_unattributed,0.45602960186079144,0,221,123119,12174,1.1407892662100494,0.684759664349258,0.45602960186079144,exclusive_wall_timer,brusselator_after_reset,646,122473,raw_minimal/profiles/brusselator_after_reset_wall/operations.csv,raw_minimal/profiles/brusselator_after_reset_wall/source.json
brusselator,1,0,1,A,representation_and_coefficients,0.030787204392254353,206,5,6131,792,0.75888244016096,0.2652822518721223,0.49360018828883767,exclusive_wall_timer,brusselator_early,8,6123,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,1,0,1,B,point_substitution,0.001944884192198515,3,0,362,0,0.75888244016096,0.2652822518721223,0.49360018828883767,exclusive_wall_timer,brusselator_early,1,361,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,1,0,1,C,endpoint_error_and_ledger,0.01781556848436594,7,28,5276,118,0.75888244016096,0.2652822518721223,0.49360018828883767,exclusive_wall_timer,brusselator_early,42,5234,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,1,0,1,D,polynomial_interval_range,0.15808066865429282,224,2906,54986,11624,0.75888244016096,0.2652822518721223,0.49360018828883767,exclusive_wall_timer,brusselator_early,0,54986,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,1,0,1,E,composition_and_cutoff,0.048248214181512594,177,516,16116,2228,0.75888244016096,0.2652822518721223,0.49360018828883767,exclusive_wall_timer,brusselator_early,0,16116,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,1,0,1,F,center_scale_and_maps,0.00156114948913455,5,4,532,20,0.75888244016096,0.2652822518721223,0.49360018828883767,exclusive_wall_timer,brusselator_early,0,532,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,1,0,1,G,history_checks_pack_propagate_commit,0.003516838885843754,24,22,1133,91,0.75888244016096,0.2652822518721223,0.49360018828883767,exclusive_wall_timer,brusselator_early,0,1133,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,1,0,1,H,other_boundary,0.00332772359251976,1,34,1064,136,0.75888244016096,0.2652822518721223,0.49360018828883767,exclusive_wall_timer,brusselator_early,0,1064,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,1,0,1,outside_boundary,nonboundary_or_unattributed,0.49360018828883767,0,289,121905,11658,0.75888244016096,0.2652822518721223,0.49360018828883767,exclusive_wall_timer,brusselator_early,646,121259,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,2,1,2,A,representation_and_coefficients,0.041284688748419285,236,5,11985,1526,1.0265715941786766,0.5716218641027808,0.4549497300758958,exclusive_wall_timer,brusselator_early,8,11977,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,2,1,2,B,point_substitution,0.000993093941360712,3,0,344,0,1.0265715941786766,0.5716218641027808,0.4549497300758958,exclusive_wall_timer,brusselator_early,1,343,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,2,1,2,C,endpoint_error_and_ledger,0.017670342233031988,7,28,5276,118,1.0265715941786766,0.5716218641027808,0.4549497300758958,exclusive_wall_timer,brusselator_early,42,5234,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,2,1,2,D,polynomial_interval_range,0.42729457654058933,264,7390,148224,29560,1.0265715941786766,0.5716218641027808,0.4549497300758958,exclusive_wall_timer,brusselator_early,0,148224,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,2,1,2,E,composition_and_cutoff,0.07406604941934347,181,944,26450,3994,1.0265715941786766,0.5716218641027808,0.4549497300758958,exclusive_wall_timer,brusselator_early,0,26450,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,2,1,2,F,center_scale_and_maps,0.0017297426238656044,5,4,572,20,1.0265715941786766,0.5716218641027808,0.4549497300758958,exclusive_wall_timer,brusselator_early,0,572,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,2,1,2,G,history_checks_pack_propagate_commit,0.00500242505222559,30,24,1711,96,1.0265715941786766,0.5716218641027808,0.4549497300758958,exclusive_wall_timer,brusselator_early,0,1711,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,2,1,2,H,other_boundary,0.0035809455439448357,1,34,1064,136,1.0265715941786766,0.5716218641027808,0.4549497300758958,exclusive_wall_timer,brusselator_early,0,1064,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
