plant,step,t_end_exact,view,metric,component,baseline_lo_hex,baseline_hi_hex,candidate_lo_hex,candidate_hi_hex,baseline_width,candidate_width,width_ratio,bitwise_equal
brusselator,1,5764607523034235/288230376151711744,published,endpoint,x,0x1.83408c1a29cb7p+0,0x1.8f0d6c8baeb27p+0,0x1.83408c1a29cb7p+0,0x1.8f0d6c8baeb27p+0,0.0460949208399164,0.0460949208399164,1.0,True
brusselator,1,5764607523034235/288230376151711744,published,endpoint,y,0x1.775688abc2e3dp+1,0x1.7cdbda25166bdp+1,0x1.775688abc2e3dp+1,0x1.7cdbda25166bdp+1,0.043131050340036836,0.043131050340036836,1.0,True
brusselator,1,5764607523034235/288230376151711744,published,tube,x,0x1.7a1a559729307p+0,0x1.8f0d80a234ea5p+0,0x1.7a1a559729307p+0,0x1.8f0d80a234ea5p+0,0.08183545131371472,0.08183545131371472,1.0,True
brusselator,1,5764607523034235/288230376151711744,published,tube,y,0x1.7717d998853e2p+1,0x1.8300e9cd04c92p+1,0x1.7717d998853e2p+1,0x1.8300e9cd04c92p+1,0.09305002749814406,0.09305002749814406,1.0,True
brusselator,1,5764607523034235/288230376151711744,common,endpoint,x,0x1.83408c1a29cc4p+0,0x1.8f0d6c8baeb1ap+0,0x1.83408c1a29cc4p+0,0x1.8f0d6c8baeb1ap+0,0.046094920839910625,0.046094920839910625,1.0,True
brusselator,1,5764607523034235/288230376151711744,common,endpoint,y,0x1.775688abc2e48p+1,0x1.7cdbda25166b1p+1,0x1.775688abc2e48p+1,0x1.7cdbda25166b1p+1,0.04313105034002662,0.04313105034002662,1.0,True
brusselator,1,5764607523034235/288230376151711744,common,tube,x,0x1.7a1a55972932fp+0,0x1.8f0d80a234e7dp+0,0x1.7a1a55972932fp+0,0x1.8f0d80a234e7dp+0,0.08183545131369696,0.08183545131369696,1.0,True
brusselator,1,5764607523034235/288230376151711744,common,tube,y,0x1.7717d9988540bp+1,0x1.8300e9cd04c67p+1,0x1.7717d9988540bp+1,0x1.8300e9cd04c67p+1,0.09305002749810676,0.09305002749810676,1.0,True
brusselator,2,5764607523034235/144115188075855872,published,endpoint,x,0x1.8bdf4eb4f98e1p+0,0x1.997c8e6c9b817p+0,0x1.8bdf4eb4f98e1p+0,0x1.997c8e6c9b817p+0,0.05318067773073443,0.05318067773073443,1.0,True
brusselator,2,5764607523034235/144115188075855872,published,endpoint,y,0x1.70ea58f585192p+1,0x1.76eaa9139085dp+1,0x1.70ea58f585192p+1,0x1.76eaa9139085dp+1,0.046884550733783836,0.046884550733783836,1.0,True
brusselator,2,5764607523034235/144115188075855872,published,tube,x,0x1.8258618054384p+0,0x1.997ccb9af448fp+0,0x1.8258618054384p+0,0x1.997ccb9af448fp+0,0.09039939069777136,0.09039939069777136,1.0,True
brusselator,2,5764607523034235/144115188075855872,published,tube,y,0x1.70a37322a90cap+1,0x1.7d601ddb83717p+1,0x1.70a37322a90cap+1,0x1.7d601ddb83717p+1,0.0995076563456565,0.0995076563456565,1.0,True
brusselator,2,5764607523034235/144115188075855872,common,endpoint,x,0x1.8bdf4eb4f98eep+0,0x1.997c8e6c9b809p+0,0x1.8bdf4eb4f98eep+0,0x1.997c8e6c9b809p+0,0.05318067773072843,0.05318067773072843,1.0,True
brusselator,2,5764607523034235/144115188075855872,common,endpoint,y,0x1.70ea58f5851a0p+1,0x1.76eaa9139084fp+1,0x1.70ea58f5851a0p+1,0x1.76eaa9139084fp+1,0.0468845507337714,0.0468845507337714,1.0,True
brusselator,2,5764607523034235/144115188075855872,common,tube,x,0x1.82586180543abp+0,0x1.997ccb9af4466p+0,0x1.82586180543abp+0,0x1.997ccb9af4466p+0,0.0903993906977536,0.0903993906977536,1.0,True
brusselator,2,5764607523034235/144115188075855872,common,tube,y,0x1.70a37322a90f4p+1,0x1.7d601ddb836edp+1,0x1.70a37322a90f4p+1,0x1.7d601ddb836edp+1,0.0995076563456192,0.0995076563456192,1.0,True
brusselator,3,17293822569102705/288230376151711744,published,endpoint,x,0x1.94cbafd3d6209p+0,0x1.a45cd97c0f06cp+0,0x1.94cbafd3d6209p+0,0x1.a45cd97c0f06cp+0,0.06080875737179592,0.06080875737179592,1.0,True
brusselator,3,17293822569102705/288230376151711744,published,endpoint,y,0x1.6a3305950a2bbp+1,0x1.70b37cbe9e6f8p+1,0x1.6a3305950a2bbp+1,0x1.70b37cbe9e6f8p+1,0.05079545526726159,0.05079545526726159,1.0,True
brusselator,3,17293822569102705/288230376151711744,published,tube,x,0x1.8ae51d393b3d4p+0,0x1.a45d6536dfb45p+0,0x1.8ae51d393b3d4p+0,0x1.a45d6536dfb45p+0,0.09949159567301202,0.09949159567301202,1.0,True
brusselator,3,17293822569102705/288230376151711744,published,tube,y,0x1.69e2fe1c3d61bp+1,0x1.777a9c12f5e0fp+1,0x1.69e2fe1c3d61bp+1,0x1.777a9c12f5e0fp+1,0.10618948504360937,0.10618948504360937,1.0,True
brusselator,3,17293822569102705/288230376151711744,common,endpoint,x,0x1.94cbafd3d6215p+0,0x1.a45cd97c0f05fp+0,0x1.94cbafd3d6215p+0,0x1.a45cd97c0f05fp+0,0.06080875737179037,0.06080875737179037,1.0,True
brusselator,3,17293822569102705/288230376151711744,common,endpoint,y,0x1.6a3305950a2c9p+1,0x1.70b37cbe9e6eap+1,0x1.6a3305950a2c9p+1,0x1.70b37cbe9e6eap+1,0.05079545526724916,0.05079545526724916,1.0,True
brusselator,3,17293822569102705/288230376151711744,common,tube,x,0x1.8ae51d393b3fdp+0,0x1.a45d6536dfb1bp+0,0x1.8ae51d393b3fdp+0,0x1.a45d6536dfb1bp+0,0.0994915956729936,0.0994915956729936,1.0,True
