plant,step,category,operation,seconds,calls
brusselator,1001,A,torch_tm_flowpipe.batched_dense_tm.sparse_tmvector_to_dense,0.0005704918876290321,1
brusselator,1001,B,BatchedPolynomial.substitute_const_and_drop,0.00022822292521595955,1
brusselator,1001,C,torch_tm_flowpipe.endpoint_substitution.enclose_constant_substitution,0.015026288107037544,3
brusselator,1001,C,DenseRemainderLedger.total,3.314390778541565e-05,1
brusselator,1001,C,BatchedTaylorModel.endpoint,0.00026193028315901756,1
brusselator,1001,A,Polynomial.__init__,0.04064823593944311,144
brusselator,1001,A,torch_tm_flowpipe.batched_dense_tm.dense_to_sparse_tmvector,0.001648743636906147,1
brusselator,1001,B,Polynomial.substitute_const,0.0007196981459856033,2
brusselator,1001,C,Polynomial.substitute_const_with_roundoff,0.0013644713908433914,2
brusselator,1001,D,Polynomial.evaluate_interval,0.4906284431926906,118
brusselator,1001,F,torch_tm_flowpipe.flowpipe._tmvector_constant_part,9.198673069477081e-06,1
brusselator,1001,F,torch_tm_flowpipe.flowpipe._tmvector_rm_constants,2.0529143512248993e-05,1
brusselator,1001,G,torch_tm_flowpipe.symbolic_remainder._validated_interval_bounds,0.0006859027780592442,12
brusselator,1001,G,torch_tm_flowpipe.symbolic_remainder.validate_accepted_boundary_sr_queue,0.0003390521742403507,5
brusselator,1001,E,torch_tm_flowpipe.accepted_boundary_sr.split_endpoint_taylor_map,5.806330591440201e-05,1
brusselator,1001,G,torch_tm_flowpipe.symbolic_remainder._tensorized_interval_matrix_update_and_image,8.017383515834808e-05,1
brusselator,1001,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_propagate,0.0006772852502763271,1
brusselator,1001,E,torch_tm_flowpipe.flowpipe._polynomial_part_for_power,0.00020692264661192894,18
brusselator,1001,E,Polynomial.mul_truncate,0.00677324365824461,14
brusselator,1001,E,Polynomial.cutoff,0.004763050936162472,24
brusselator,1001,E,torch_tm_flowpipe.flowpipe._tm_mul_ctrunc_horner_stage,0.00867152726277709,12
brusselator,1001,D,torch_tm_flowpipe.polynomial.evaluate_interval_normal,0.062002099584788084,26
brusselator,1001,E,Polynomial.__add__,0.0010193604975938797,20
brusselator,1001,E,torch_tm_flowpipe.flowpipe._tm_apply_cutoff_for_horner,0.0005577574484050274,10
brusselator,1001,E,torch_tm_flowpipe.flowpipe._insert_ctrunc_normal_horner_scalar,0.008789768908172846,2
brusselator,1001,E,torch_tm_flowpipe.flowpipe.insert_ctrunc_normal_dependency_preserving,0.0028703557327389717,1
brusselator,1001,G,torch_tm_flowpipe.accepted_boundary_sr.prepare_accepted_boundary_sr,0.0010723392479121685,1
brusselator,1001,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_sha256,0.0001538451761007309,2
brusselator,1001,F,torch_tm_flowpipe.flowpipe._tmvector_shift_polynomial_constants,9.714020416140556e-05,1
brusselator,1001,F,torch_tm_flowpipe.flowpipe._add_right_map_centering_diagnostics,0.0017769583500921726,1
brusselator,1001,D,torch_tm_flowpipe.accepted_boundary_sr._interval_polynomial_range,0.012945910915732384,2
brusselator,1001,E,torch_tm_flowpipe.accepted_boundary_sr._scale_and_cutoff_right_map,0.011726445984095335,1
brusselator,1001,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_commit,0.004489778075367212,1
brusselator,1001,G,torch_tm_flowpipe.accepted_boundary_sr.commit_accepted_boundary_sr,0.00017311982810497284,1
brusselator,1001,E,Polynomial.__mul__,6.055505946278572e-05,2
brusselator,1001,F,torch_tm_flowpipe.flowpipe._normalized_tm_from_center_scale,0.0002791229635477066,1
brusselator,1001,H,torch_tm_flowpipe.flowpipe._flowstar_normalized_insertion_transition,0.0033304872922599316,1
