file,line,function,primitive_calls,calls,self_seconds,inclusive_seconds_not_additive
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/interval.py,56,__init__,10332,10332,0.120216611,0.392407561
~,0,<method 'clone' of 'torch._C.TensorBase' objects>,54021,54021,0.10382798600000001,0.10382798600000001
~,0,<built-in method torch.any>,31521,31521,0.075168442,0.075168442
~,0,<built-in method torch.min>,7630,7630,0.05729737100000001,0.05729737100000001
~,0,<built-in method torch.stack>,8789,8789,0.056010059,0.056010059
~,0,<built-in method torch.full_like>,21061,21061,0.053551731000000005,0.053551731000000005
~,0,<built-in method torch.max>,8250,8250,0.051966685000000006,0.051966685000000006
~,0,<built-in method torch.nextafter>,21048,21048,0.050048068,0.050048068
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/interval.py,152,__mul__,3180,3180,0.042459515,0.277335673
~,0,<method 'pow' of 'torch._C.TensorBase' objects>,14151,14151,0.0409088,0.0409088
~,0,<built-in method torch.isnan>,20664,20664,0.039502260000000004,0.039502260000000004
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,483,_power_interval_bounds,567,567,0.037222056,0.165797501
~,0,<method 'reshape' of 'torch._C.TensorBase' objects>,22507,22507,0.035402988,0.035402988
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/interval.py,15,_as_tensor,20666,20666,0.033946345,0.122745249
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/interval.py,175,pow_int,2763,2763,0.033905953,0.183857463
~,0,<built-in method torch.all>,10542,10542,0.030531270000000003,0.030531270000000003
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1127,validate_dense_subdivision_cover,189,189,0.02972106,0.06583222300000001
~,0,<built-in method unique_dim>,2,2,0.029471010000000002,0.029471010000000002
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,242,__post_init__,1506,1506,0.024228448000000003,0.050609459
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/polynomial.py,127,_is_zero_tensor,3076,3076,0.020143887000000003,0.027522743000000002
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,393,_interval_mul,1036,1036,0.020099953,0.060864481000000005
~,0,<built-in method torch.abs>,8038,8038,0.019864235,0.019864235
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/interval.py,135,__add__,2315,2315,0.017201471,0.130042854
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,516,_monomial_interval_bounds_for_exponents,189,189,0.016893235,0.222778951
~,0,<built-in method torch.where>,4825,4825,0.016716879,0.016716879
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/polynomial.py,316,evaluate_interval,124,124,0.015587743000000001,0.599050955
~,0,<built-in method torch.isfinite>,1811,1811,0.014979657,0.014979657
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,542,_range_for_terms,189,189,0.014333459000000002,0.24608701100000002
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1632,build,2,2,0.014279430000000001,0.025856894000000002
~,0,<method 'index_select' of 'torch._C.TensorBase' objects>,1744,1744,0.013518769000000002,0.013518769000000002
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/polynomial.py,142,__init__,162,162,0.011243136,0.054428233000000006
~,0,<built-in method torch.allclose>,486,486,0.011050686,0.011050686
~,0,<built-in method torch.zeros_like>,6021,6021,0.011049762000000001,0.011049762000000001
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1012,_subdivision_influence_scores,42,42,0.009807431,0.018908869000000002
~,0,<built-in method torch.as_tensor>,1543,1543,0.009457653,0.009457653
~,0,<built-in method torch.is_floating_point>,22289,22289,0.0093533,0.0093533
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/interval.py,36,_down,7475,7475,0.008870971,0.055014889000000004
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/interval.py,40,_up,7727,7727,0.008200445,0.041347234000000004
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2278,__post_init__,493,493,0.006767871000000001,0.013105663
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/polynomial.py,235,mul_truncate,14,14,0.006413028,0.024579517000000002
~,0,<built-in method torch.maximum>,2097,2097,0.0058692580000000005,0.0058692580000000005
~,0,<built-in method torch.minimum>,1879,1879,0.005560595000000001,0.005560595000000001
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1038,_split_leaf_pair,126,126,0.005357906,0.005942978000000001
~,0,<method 'numel' of 'torch._C.TensorBase' objects>,23484,23484,0.005209377,0.005209377
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1660,<genexpr>,30576,30576,0.004953242,0.004953242
~,0,<method 'unbind' of 'torch._C.TensorBase' objects>,1560,1560,0.004469177,0.004469177
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,367,_down,2769,2769,0.004204027,0.021214791
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/interval.py,28,_neg_inf_like,7475,7475,0.004176842,0.025259942
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/endpoint_substitution.py,37,_mul,60,60,0.0041744220000000005,0.007446304000000001
~,0,<built-in method builtins.isinstance>,33064,33064,0.004076641000000001,0.004076641000000001
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1317,_range_for_terms_with_policy,147,147,0.0039901,0.361727978
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,375,_interval_add,719,719,0.0038550420000000004,0.011415335
~,0,<method 'detach' of 'torch._C.TensorBase' objects>,1970,1970,0.0038190280000000004,0.0038190280000000004
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/interval.py,32,_pos_inf_like,7727,7727,0.0033276240000000004,0.018726691
~,0,<method 'append' of 'list' objects>,44459,44459,0.0033105150000000004,0.0033105150000000004
