plant,step,history_length,history_length_after,category,label,seconds,calls,interval_constructions,tensor_outputs,explicit_copy_events,step_seconds,boundary_sum_seconds,nonboundary_seconds,pass_kind
brusselator,1,0,1,A,representation_and_coefficients,0.11081798234954476,206,5,6131,792,3.2657558019272983,1.304598621558398,1.9611571803689003,dispatch_counts_not_timing
brusselator,1,0,1,B,point_substitution,0.005936749745160341,3,0,362,0,3.2657558019272983,1.304598621558398,1.9611571803689003,dispatch_counts_not_timing
brusselator,1,0,1,C,endpoint_error_and_ledger,0.07840828178450465,7,28,5276,118,3.2657558019272983,1.304598621558398,1.9611571803689003,dispatch_counts_not_timing
brusselator,1,0,1,D,polynomial_interval_range,0.8229984138160944,224,2906,54986,11624,3.2657558019272983,1.304598621558398,1.9611571803689003,dispatch_counts_not_timing
brusselator,1,0,1,E,composition_and_cutoff,0.2445334391668439,177,516,16116,2228,3.2657558019272983,1.304598621558398,1.9611571803689003,dispatch_counts_not_timing
brusselator,1,0,1,F,center_scale_and_maps,0.00824743090197444,5,4,532,20,3.2657558019272983,1.304598621558398,1.9611571803689003,dispatch_counts_not_timing
brusselator,1,0,1,G,history_checks_pack_propagate_commit,0.017110963352024555,24,22,1133,91,3.2657558019272983,1.304598621558398,1.9611571803689003,dispatch_counts_not_timing
brusselator,1,0,1,H,other_boundary,0.016545360442250967,1,34,1064,136,3.2657558019272983,1.304598621558398,1.9611571803689003,dispatch_counts_not_timing
brusselator,1,0,1,outside_boundary,nonboundary_or_unattributed,1.9611571803689003,0,289,121905,11658,3.2657558019272983,1.304598621558398,1.9611571803689003,dispatch_counts_not_timing
brusselator,2,1,2,A,representation_and_coefficients,0.20003190077841282,236,5,11985,1526,4.836798517033458,2.9200071282684803,1.9167913887649775,dispatch_counts_not_timing
brusselator,2,1,2,B,point_substitution,0.00480563985183835,3,0,344,0,4.836798517033458,2.9200071282684803,1.9167913887649775,dispatch_counts_not_timing
brusselator,2,1,2,C,endpoint_error_and_ledger,0.079803551081568,7,28,5276,118,4.836798517033458,2.9200071282684803,1.9167913887649775,dispatch_counts_not_timing
brusselator,2,1,2,D,polynomial_interval_range,2.196248165331781,264,7390,148224,29560,4.836798517033458,2.9200071282684803,1.9167913887649775,dispatch_counts_not_timing
brusselator,2,1,2,E,composition_and_cutoff,0.3891980401240289,181,944,26450,3994,4.836798517033458,2.9200071282684803,1.9167913887649775,dispatch_counts_not_timing
brusselator,2,1,2,F,center_scale_and_maps,0.008550022263079882,5,4,572,20,4.836798517033458,2.9200071282684803,1.9167913887649775,dispatch_counts_not_timing
brusselator,2,1,2,G,history_checks_pack_propagate_commit,0.024948697071522474,30,24,1711,96,4.836798517033458,2.9200071282684803,1.9167913887649775,dispatch_counts_not_timing
brusselator,2,1,2,H,other_boundary,0.01642111176624894,1,34,1064,136,4.836798517033458,2.9200071282684803,1.9167913887649775,dispatch_counts_not_timing
brusselator,2,1,2,outside_boundary,nonboundary_or_unattributed,1.9167913887649775,0,297,122030,11690,4.836798517033458,2.9200071282684803,1.9167913887649775,dispatch_counts_not_timing
brusselator,3,2,3,A,representation_and_coefficients,0.21657557738944888,234,5,13137,1670,5.125821695663035,3.202390600461513,1.9234310952015221,dispatch_counts_not_timing
brusselator,3,2,3,B,point_substitution,0.004543866962194443,3,0,344,0,5.125821695663035,3.202390600461513,1.9234310952015221,dispatch_counts_not_timing
brusselator,3,2,3,C,endpoint_error_and_ledger,0.0767011777497828,7,28,5276,118,5.125821695663035,3.202390600461513,1.9234310952015221,dispatch_counts_not_timing
brusselator,3,2,3,D,polynomial_interval_range,2.4400926465168595,262,8248,165956,32992,5.125821695663035,3.202390600461513,1.9234310952015221,dispatch_counts_not_timing
brusselator,3,2,3,E,composition_and_cutoff,0.4104969217441976,181,998,28334,4212,5.125821695663035,3.202390600461513,1.9234310952015221,dispatch_counts_not_timing
brusselator,3,2,3,F,center_scale_and_maps,0.008585335221141577,5,4,572,20,5.125821695663035,3.202390600461513,1.9234310952015221,dispatch_counts_not_timing
brusselator,3,2,3,G,history_checks_pack_propagate_commit,0.029096095822751522,30,28,1927,112,5.125821695663035,3.202390600461513,1.9234310952015221,dispatch_counts_not_timing
brusselator,3,2,3,H,other_boundary,0.016298979055136442,1,34,1064,136,5.125821695663035,3.202390600461513,1.9234310952015221,dispatch_counts_not_timing
brusselator,3,2,3,outside_boundary,nonboundary_or_unattributed,1.9234310952015221,0,297,122032,11690,5.125821695663035,3.202390600461513,1.9234310952015221,dispatch_counts_not_timing
brusselator,4,3,4,A,representation_and_coefficients,0.21953882183879614,234,5,13281,1688,5.19109371304512,3.2545074792578816,1.9365862337872386,dispatch_counts_not_timing
brusselator,4,3,4,B,point_substitution,0.004393190145492554,3,0,344,0,5.19109371304512,3.2545074792578816,1.9365862337872386,dispatch_counts_not_timing
brusselator,4,3,4,C,endpoint_error_and_ledger,0.07731335330754519,7,28,5276,118,5.19109371304512,3.2545074792578816,1.9365862337872386,dispatch_counts_not_timing
brusselator,4,3,4,D,polynomial_interval_range,2.4821315677836537,262,8428,169362,33712,5.19109371304512,3.2545074792578816,1.9365862337872386,dispatch_counts_not_timing
brusselator,4,3,4,E,composition_and_cutoff,0.41558974562212825,181,998,28454,4222,5.19109371304512,3.2545074792578816,1.9365862337872386,dispatch_counts_not_timing
brusselator,4,3,4,F,center_scale_and_maps,0.008870210964232683,5,4,572,20,5.19109371304512,3.2545074792578816,1.9365862337872386,dispatch_counts_not_timing
brusselator,4,3,4,G,history_checks_pack_propagate_commit,0.030427248682826757,30,32,2123,128,5.19109371304512,3.2545074792578816,1.9365862337872386,dispatch_counts_not_timing
brusselator,4,3,4,H,other_boundary,0.01624334091320634,1,34,1064,136,5.19109371304512,3.2545074792578816,1.9365862337872386,dispatch_counts_not_timing
brusselator,4,3,4,outside_boundary,nonboundary_or_unattributed,1.9365862337872386,0,297,122032,11690,5.19109371304512,3.2545074792578816,1.9365862337872386,dispatch_counts_not_timing
brusselator,5,4,5,A,representation_and_coefficients,0.22082526702433825,234,5,13281,1688,5.199360212311149,3.2766179414466023,1.9227422708645463,dispatch_counts_not_timing
brusselator,5,4,5,B,point_substitution,0.004437141120433807,3,0,344,0,5.199360212311149,3.2766179414466023,1.9227422708645463,dispatch_counts_not_timing
brusselator,5,4,5,C,endpoint_error_and_ledger,0.07915263809263706,7,28,5276,118,5.199360212311149,3.2766179414466023,1.9227422708645463,dispatch_counts_not_timing
brusselator,5,4,5,D,polynomial_interval_range,2.49886775854975,262,8446,169706,33784,5.199360212311149,3.2766179414466023,1.9227422708645463,dispatch_counts_not_timing
brusselator,5,4,5,E,composition_and_cutoff,0.4159093527123332,181,998,28458,4222,5.199360212311149,3.2766179414466023,1.9227422708645463,dispatch_counts_not_timing
brusselator,5,4,5,F,center_scale_and_maps,0.00848344387486577,5,4,572,20,5.199360212311149,3.2766179414466023,1.9227422708645463,dispatch_counts_not_timing
brusselator,5,4,5,G,history_checks_pack_propagate_commit,0.032761409878730774,30,36,2319,144,5.199360212311149,3.2766179414466023,1.9227422708645463,dispatch_counts_not_timing
brusselator,5,4,5,H,other_boundary,0.016180930193513632,1,34,1064,136,5.199360212311149,3.2766179414466023,1.9227422708645463,dispatch_counts_not_timing
brusselator,5,4,5,outside_boundary,nonboundary_or_unattributed,1.9227422708645463,0,297,122032,11690,5.199360212311149,3.2766179414466023,1.9227422708645463,dispatch_counts_not_timing
brusselator,6,5,6,A,representation_and_coefficients,0.23009341629222035,234,5,13761,1748,5.399253810290247,3.4606924797408283,1.938561330549419,dispatch_counts_not_timing
brusselator,6,5,6,B,point_substitution,0.0046023721806705,3,0,344,0,5.399253810290247,3.4606924797408283,1.938561330549419,dispatch_counts_not_timing
brusselator,6,5,6,C,endpoint_error_and_ledger,0.07795039098709822,7,28,5276,118,5.399253810290247,3.4606924797408283,1.938561330549419,dispatch_counts_not_timing
brusselator,6,5,6,D,polynomial_interval_range,2.6548363561742008,262,8898,179078,35592,5.399253810290247,3.4606924797408283,1.938561330549419,dispatch_counts_not_timing
brusselator,6,5,6,E,composition_and_cutoff,0.43099816981703043,181,1038,29298,4408,5.399253810290247,3.4606924797408283,1.938561330549419,dispatch_counts_not_timing
brusselator,6,5,6,F,center_scale_and_maps,0.009312990121543407,5,4,612,20,5.399253810290247,3.4606924797408283,1.938561330549419,dispatch_counts_not_timing
brusselator,6,5,6,G,history_checks_pack_propagate_commit,0.0355170494876802,30,40,2515,160,5.399253810290247,3.4606924797408283,1.938561330549419,dispatch_counts_not_timing
brusselator,6,5,6,H,other_boundary,0.017381734680384398,1,34,1064,136,5.399253810290247,3.4606924797408283,1.938561330549419,dispatch_counts_not_timing
brusselator,6,5,6,outside_boundary,nonboundary_or_unattributed,1.938561330549419,0,297,122032,11690,5.399253810290247,3.4606924797408283,1.938561330549419,dispatch_counts_not_timing
brusselator,7,6,7,A,representation_and_coefficients,0.2470784499309957,236,5,14913,1892,5.7311980170197785,3.779942254535854,1.9512557624839246,dispatch_counts_not_timing
brusselator,7,6,7,B,point_substitution,0.004386973567306995,3,0,344,0,5.7311980170197785,3.779942254535854,1.9512557624839246,dispatch_counts_not_timing
brusselator,7,6,7,C,endpoint_error_and_ledger,0.07669330528005958,7,28,5276,118,5.7311980170197785,3.779942254535854,1.9512557624839246,dispatch_counts_not_timing
brusselator,7,6,7,D,polynomial_interval_range,2.935760711785406,264,9896,200422,39584,5.7311980170197785,3.779942254535854,1.9512557624839246,dispatch_counts_not_timing
brusselator,7,6,7,E,composition_and_cutoff,0.45195069536566734,181,1108,31112,4704,5.7311980170197785,3.779942254535854,1.9512557624839246,dispatch_counts_not_timing
brusselator,7,6,7,F,center_scale_and_maps,0.009489562828093767,5,4,632,20,5.7311980170197785,3.779942254535854,1.9512557624839246,dispatch_counts_not_timing
brusselator,7,6,7,G,history_checks_pack_propagate_commit,0.0383311128243804,30,44,2731,176,5.7311980170197785,3.779942254535854,1.9512557624839246,dispatch_counts_not_timing
brusselator,7,6,7,H,other_boundary,0.016251442953944206,1,34,1064,136,5.7311980170197785,3.779942254535854,1.9512557624839246,dispatch_counts_not_timing
brusselator,7,6,7,outside_boundary,nonboundary_or_unattributed,1.9512557624839246,0,297,122032,11690,5.7311980170197785,3.779942254535854,1.9512557624839246,dispatch_counts_not_timing
brusselator,8,7,8,A,representation_and_coefficients,0.2596308095380664,236,5,15633,1982,6.053829777054489,4.115295515395701,1.9385342616587877,dispatch_counts_not_timing
brusselator,8,7,8,B,point_substitution,0.004432395100593567,3,0,344,0,6.053829777054489,4.115295515395701,1.9385342616587877,dispatch_counts_not_timing
