plant,step,category,operation,seconds,calls
brusselator,1,A,torch_tm_flowpipe.batched_dense_tm.sparse_tmvector_to_dense,0.009456131141632795,1
brusselator,1,B,BatchedPolynomial.substitute_const_and_drop,0.0012024659663438797,1
brusselator,1,C,torch_tm_flowpipe.endpoint_substitution.enclose_constant_substitution,0.015946485567837954,3
brusselator,1,C,DenseRemainderLedger.total,3.506289795041084e-05,1
brusselator,1,C,BatchedTaylorModel.endpoint,0.00028351135551929474,1
brusselator,1,A,Polynomial.__init__,0.019685942213982344,204
brusselator,1,A,torch_tm_flowpipe.batched_dense_tm.dense_to_sparse_tmvector,0.0016451310366392136,1
brusselator,1,B,Polynomial.substitute_const,0.0007424182258546352,2
brusselator,1,C,Polynomial.substitute_const_with_roundoff,0.001550508663058281,2
brusselator,1,D,Polynomial.evaluate_interval,0.11532971076667309,176
brusselator,1,F,torch_tm_flowpipe.flowpipe._tmvector_constant_part,9.630806744098663e-06,1
brusselator,1,F,torch_tm_flowpipe.flowpipe._tmvector_rm_constants,2.4308450520038605e-05,1
brusselator,1,G,torch_tm_flowpipe.symbolic_remainder._validated_interval_bounds,0.0006930152885615826,12
brusselator,1,G,torch_tm_flowpipe.symbolic_remainder.validate_accepted_boundary_sr_queue,0.00035274215042591095,5
brusselator,1,E,torch_tm_flowpipe.accepted_boundary_sr.split_endpoint_taylor_map,5.862070247530937e-05,1
brusselator,1,G,torch_tm_flowpipe.symbolic_remainder._tensorized_interval_matrix_update_and_image,8.057709783315659e-05,1
brusselator,1,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_propagate,0.0006756712682545185,1
brusselator,1,E,torch_tm_flowpipe.flowpipe._polynomial_part_for_power,0.000348490197211504,30
brusselator,1,E,Polynomial.mul_truncate,0.0008089169859886169,24
brusselator,1,E,Polynomial.cutoff,0.003969773184508085,44
brusselator,1,E,torch_tm_flowpipe.flowpipe._tm_mul_ctrunc_horner_stage,0.015225015580654144,22
brusselator,1,D,torch_tm_flowpipe.polynomial.evaluate_interval_normal,0.037880247458815575,46
brusselator,1,E,Polynomial.__add__,0.0006626765243709087,30
brusselator,1,E,torch_tm_flowpipe.flowpipe._tm_apply_cutoff_for_horner,0.001105861272662878,20
brusselator,1,E,torch_tm_flowpipe.flowpipe._insert_ctrunc_normal_horner_scalar,0.01575234020128846,2
brusselator,1,E,torch_tm_flowpipe.flowpipe.insert_ctrunc_normal_dependency_preserving,0.004932684823870659,1
brusselator,1,G,torch_tm_flowpipe.accepted_boundary_sr.prepare_accepted_boundary_sr,0.0007153959013521671,1
brusselator,1,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_sha256,0.00016096141189336777,2
brusselator,1,F,torch_tm_flowpipe.flowpipe._tmvector_shift_polynomial_constants,9.468942880630493e-05,1
brusselator,1,F,torch_tm_flowpipe.flowpipe._add_right_map_centering_diagnostics,0.0011534863151609898,1
brusselator,1,D,torch_tm_flowpipe.accepted_boundary_sr._interval_polynomial_range,0.004870710428804159,2
brusselator,1,E,torch_tm_flowpipe.accepted_boundary_sr._scale_and_cutoff_right_map,0.005323262419551611,1
brusselator,1,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_commit,0.0006719860248267651,1
brusselator,1,G,torch_tm_flowpipe.accepted_boundary_sr.commit_accepted_boundary_sr,0.00016648974269628525,1
brusselator,1,E,Polynomial.__mul__,6.057228893041611e-05,2
