plant,step,category,operation,seconds,calls
brusselator,981,A,torch_tm_flowpipe.batched_dense_tm.sparse_tmvector_to_dense,0.009047591127455235,1
brusselator,981,B,BatchedPolynomial.substitute_const_and_drop,0.0013565653935074806,1
brusselator,981,C,torch_tm_flowpipe.endpoint_substitution.enclose_constant_substitution,0.01623686496168375,3
brusselator,981,C,DenseRemainderLedger.total,3.580097109079361e-05,1
brusselator,981,C,BatchedTaylorModel.endpoint,0.00030724983662366867,1
brusselator,981,A,Polynomial.__init__,0.03832192439585924,132
brusselator,981,A,torch_tm_flowpipe.batched_dense_tm.dense_to_sparse_tmvector,0.001796047668904066,1
brusselator,981,B,Polynomial.substitute_const,0.0007511014118790627,2
brusselator,981,C,Polynomial.substitute_const_with_roundoff,0.0013423641212284565,2
brusselator,981,D,Polynomial.evaluate_interval,0.43204588117077947,114
brusselator,981,F,torch_tm_flowpipe.flowpipe._tmvector_constant_part,9.196344763040543e-06,1
brusselator,981,F,torch_tm_flowpipe.flowpipe._tmvector_rm_constants,2.2224150598049164e-05,1
brusselator,981,G,torch_tm_flowpipe.symbolic_remainder._validated_interval_bounds,0.12861891323700547,15
brusselator,981,G,torch_tm_flowpipe.symbolic_remainder.validate_accepted_boundary_sr_queue,0.009503610897809267,5
brusselator,981,E,torch_tm_flowpipe.accepted_boundary_sr.split_endpoint_taylor_map,6.893184036016464e-05,1
brusselator,981,G,torch_tm_flowpipe.symbolic_remainder._pack_interval_matrices,0.01822687778621912,2
brusselator,981,G,torch_tm_flowpipe.symbolic_remainder._pack_interval_columns,0.006409341003745794,1
brusselator,981,G,torch_tm_flowpipe.symbolic_remainder._tensorized_interval_matrix_update_and_image,0.17084791092202067,1
brusselator,981,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_propagate,0.0034842006862163544,1
brusselator,981,E,torch_tm_flowpipe.flowpipe._polynomial_part_for_power,0.0001543569378554821,14
brusselator,981,E,Polynomial.mul_truncate,0.005061488598585129,14
brusselator,981,E,Polynomial.cutoff,0.003811202012002468,20
brusselator,981,E,torch_tm_flowpipe.flowpipe._tm_mul_ctrunc_horner_stage,0.008169482927769423,12
brusselator,981,D,torch_tm_flowpipe.polynomial.evaluate_interval_normal,0.03322033863514662,22
brusselator,981,E,Polynomial.__add__,0.0010710288770496845,18
brusselator,981,E,torch_tm_flowpipe.flowpipe._tm_apply_cutoff_for_horner,0.0003240923397243023,6
brusselator,981,E,torch_tm_flowpipe.flowpipe._insert_ctrunc_normal_horner_scalar,0.007052169181406498,2
brusselator,981,E,torch_tm_flowpipe.flowpipe.insert_ctrunc_normal_dependency_preserving,0.002670754212886095,1
brusselator,981,D,torch_tm_flowpipe.accepted_boundary_sr._interval_polynomial_range,0.040077737998217344,6
brusselator,981,E,torch_tm_flowpipe.accepted_boundary_sr._linear_polynomial_image,0.029863920994102955,1
brusselator,981,E,torch_tm_flowpipe.accepted_boundary_sr._add_polynomial_images,0.009816024452447891,1
brusselator,981,G,torch_tm_flowpipe.accepted_boundary_sr.prepare_accepted_boundary_sr,0.0011508539319038391,1
brusselator,981,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_sha256,0.13417847454547882,2
brusselator,981,F,torch_tm_flowpipe.flowpipe._tmvector_shift_polynomial_constants,0.00011236174032092094,1
brusselator,981,F,torch_tm_flowpipe.flowpipe._add_right_map_centering_diagnostics,0.0018275841139256954,1
brusselator,981,E,torch_tm_flowpipe.accepted_boundary_sr._scale_and_cutoff_right_map,0.01189048495143652,1
brusselator,981,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_commit,0.0008406797423958778,1
brusselator,981,G,torch_tm_flowpipe.accepted_boundary_sr.commit_accepted_boundary_sr,0.00017519108951091766,1
brusselator,981,E,Polynomial.__mul__,6.078369915485382e-05,2
brusselator,981,F,torch_tm_flowpipe.flowpipe._normalized_tm_from_center_scale,0.00029439618811011314,1
brusselator,981,H,torch_tm_flowpipe.flowpipe._flowstar_normalized_insertion_transition,0.0037400401197373867,1
brusselator,982,A,torch_tm_flowpipe.batched_dense_tm.sparse_tmvector_to_dense,0.00023397477343678474,1
brusselator,982,B,BatchedPolynomial.substitute_const_and_drop,0.00023671099916100502,1
brusselator,982,C,torch_tm_flowpipe.endpoint_substitution.enclose_constant_substitution,0.014843387063592672,3
brusselator,982,C,DenseRemainderLedger.total,3.333901986479759e-05,1
brusselator,982,C,BatchedTaylorModel.endpoint,0.0002614441327750683,1
brusselator,982,A,Polynomial.__init__,0.038273405749350786,132
brusselator,982,A,torch_tm_flowpipe.batched_dense_tm.dense_to_sparse_tmvector,0.001698351465165615,1
brusselator,982,B,Polynomial.substitute_const,0.0006761960685253143,2
brusselator,982,C,Polynomial.substitute_const_with_roundoff,0.0012595346197485924,2
brusselator,982,D,Polynomial.evaluate_interval,0.427050000987947,114
brusselator,982,F,torch_tm_flowpipe.flowpipe._tmvector_constant_part,9.762123227119446e-06,1
brusselator,982,F,torch_tm_flowpipe.flowpipe._tmvector_rm_constants,2.1244864910840988e-05,1
brusselator,982,G,torch_tm_flowpipe.symbolic_remainder._validated_interval_bounds,0.1332065686583519,15
brusselator,982,G,torch_tm_flowpipe.symbolic_remainder.validate_accepted_boundary_sr_queue,0.009781246539205313,5
brusselator,982,E,torch_tm_flowpipe.accepted_boundary_sr.split_endpoint_taylor_map,6.207870319485664e-05,1
brusselator,982,G,torch_tm_flowpipe.symbolic_remainder._pack_interval_matrices,0.018578536342829466,2
