file,line,function,primitive_calls,calls,self_seconds,inclusive_seconds_not_additive
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/interval.py,56,__init__,14496,14496,0.16197867200000002,0.5406148860000001
~,0,<method 'clone' of 'torch._C.TensorBase' objects>,70669,70669,0.13479701600000002,0.13479701600000002
~,0,<method 'reshape' of 'torch._C.TensorBase' objects>,90455,90455,0.11192217700000001,0.11192217700000001
~,0,<built-in method torch.stack>,16702,16702,0.111393159,0.111393159
~,0,<built-in method torch.any>,44013,44013,0.10444856100000001,0.10444856100000001
~,0,<built-in method torch.full_like>,23077,23077,0.055937538,0.055937538
~,0,<built-in method torch.min>,7563,7563,0.055340106,0.055340106
~,0,<built-in method torch.isnan>,28992,28992,0.053221591000000006,0.053221591000000006
~,0,<built-in method torch.max>,8186,8186,0.050063569,0.050063569
~,0,<built-in method torch.nextafter>,23064,23064,0.04952622,0.04952622
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/interval.py,15,_as_tensor,28994,28994,0.047749681,0.170570162
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/interval.py,152,__mul__,3118,3118,0.041317567,0.26558580200000004
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/symbolic_remainder.py,542,<genexpr>,29857,29857,0.040988488000000003,0.063358811
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/symbolic_remainder.py,416,<genexpr>,5964,5964,0.039913982,0.184848223
~,0,<method 'pow' of 'torch._C.TensorBase' objects>,14117,14117,0.039816522,0.039816522
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,483,_power_interval_bounds,567,567,0.035962113000000004,0.162704244
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/interval.py,175,pow_int,2720,2720,0.033259652,0.181675045
~,0,<built-in method torch.all>,10510,10510,0.030517233,0.030517233
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1127,validate_dense_subdivision_cover,189,189,0.029541383,0.06542811100000001
~,0,<method 'detach' of 'torch._C.TensorBase' objects>,25813,25813,0.026896502000000003,0.026896502000000003
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,242,__post_init__,1506,1506,0.024695093,0.050904035
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/symbolic_remainder.py,813,<listcomp>,3978,3978,0.022433237,0.051907747000000004
~,0,<built-in method torch.abs>,7933,7933,0.020078645000000003,0.020078645000000003
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/symbolic_remainder.py,563,validate_accepted_boundary_sr_queue,5,5,0.019767839000000002,0.23539431900000002
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,393,_interval_mul,1036,1036,0.019518558000000002,0.059164748
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/polynomial.py,127,_is_zero_tensor,3070,3070,0.019495765,0.026584409000000003
~,0,<method 'hex' of 'float' objects>,33726,33726,0.017281402,0.017281402
~,0,<built-in method torch.where>,4813,4813,0.017226394000000003,0.017226394000000003
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/interval.py,135,__add__,2294,2294,0.016657849000000002,0.127563701
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,516,_monomial_interval_bounds_for_exponents,189,189,0.016657803000000002,0.21837318400000003
~,0,<built-in method torch.isfinite>,1807,1807,0.015675224,0.015675224
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/polynomial.py,316,evaluate_interval,120,120,0.014690748000000002,0.543746026
~,0,<method 'numel' of 'torch._C.TensorBase' objects>,91437,91437,0.014552679,0.014552679
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,542,_range_for_terms,189,189,0.014254773,0.24165729200000002
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/symbolic_remainder.py,532,_validated_interval_bounds,15,15,0.014212846000000001,0.193340103
~,0,<method 'index_select' of 'torch._C.TensorBase' objects>,1740,1740,0.013247728,0.013247728
~,0,<built-in method torch.is_floating_point>,30602,30602,0.011839500000000001,0.011839500000000001
/srv/local/shengenli/boundary_execution_20260908T172756Z/repo/src/torch_tm_flowpipe/polynomial.py,142,__init__,150,150,0.01146422,0.053604868
