step,category,operation,calls
101,outside_boundary,aten.lift_fresh.default,558
101,outside_boundary,aten.clone.default,11877
101,outside_boundary,aten.view.default,1497
101,outside_boundary,aten.isnan.default,518
101,outside_boundary,aten.any.default,1292
101,outside_boundary,aten._local_scalar_dense.default,12465
101,outside_boundary,aten.gt.Tensor,574
101,outside_boundary,aten.eq.Scalar,337
101,outside_boundary,aten.all.default,6511
101,outside_boundary,aten.zeros_like.default,2043
101,outside_boundary,aten.add.Tensor,2190
101,outside_boundary,aten.ne.Scalar,1110
101,outside_boundary,aten.ones.default,317
101,outside_boundary,aten.mul.Tensor,7759
101,outside_boundary,aten.zeros.default,133
101,A,aten.lift_fresh.default,10
101,A,aten.sum.dim_IntList,1
101,A,aten.view.default,1794
101,A,aten.empty.memory_format,6
101,A,aten.zeros.default,1
101,A,aten.empty_like.default,1
101,A,aten.select.int,34
101,A,aten.copy_.default,8
101,A,aten.stack.default,2
101,A,aten.clone.default,1890
101,A,aten.le.Tensor,3
101,A,aten.all.default,3563
101,A,aten._local_scalar_dense.default,3746
101,outside_boundary,aten.slice.Tensor,5855
101,outside_boundary,aten.select.int,7464
101,outside_boundary,aten.allclose.default,486
101,outside_boundary,aten.full_like.default,5848
101,outside_boundary,aten.le.Tensor,5727
101,outside_boundary,aten.index_select.default,1744
101,outside_boundary,aten.le.Scalar,615
101,outside_boundary,aten.index.Tensor,12
101,outside_boundary,aten.bitwise_not.default,15
101,outside_boundary,aten.cat.default,638
101,outside_boundary,aten.unique_dim.default,2
101,outside_boundary,aten.expand.default,168
101,outside_boundary,aten.scatter_add_.default,93
101,outside_boundary,aten.ones_like.default,756
101,outside_boundary,aten.max.default,756
101,outside_boundary,aten.detach.default,3034
101,outside_boundary,aten.abs.default,3891
101,outside_boundary,aten.minimum.default,731
101,outside_boundary,aten.maximum.default,949
101,outside_boundary,aten.ge.Scalar,979
101,outside_boundary,aten.bitwise_and.Tensor,995
101,outside_boundary,aten.pow.Tensor_Scalar,9906
101,outside_boundary,aten.stack.default,4826
101,outside_boundary,aten.min.dim,3566
101,outside_boundary,aten.max.dim,3566
101,outside_boundary,aten.where.self,3015
101,outside_boundary,aten.nextafter.default,5835
101,outside_boundary,aten.unsqueeze.default,614
101,outside_boundary,aten.sum.dim_IntList,735
101,outside_boundary,aten.sub.Tensor,800
101,outside_boundary,aten.eq.Tensor,1150
101,outside_boundary,aten.arange.default,147
101,outside_boundary,aten.min.default,189
101,outside_boundary,aten.nonzero.default,189
101,outside_boundary,aten.lt.Tensor,315
101,outside_boundary,aten.unbind.int,1556
101,outside_boundary,aten.ge.Tensor,326
101,outside_boundary,aten.all.dim,337
101,outside_boundary,aten.count_nonzero.default,315
101,outside_boundary,aten.clamp.default,126
101,outside_boundary,aten.pow.Tensor_Tensor,378
101,outside_boundary,aten._to_copy.default,126
101,outside_boundary,aten.copy_.default,331
101,outside_boundary,aten.full.default,84
101,outside_boundary,aten.scatter_reduce_.two,84
101,outside_boundary,aten.empty.memory_format,92
101,outside_boundary,aten.set_.source_Storage,92
101,outside_boundary,aten.new_empty.default,46
101,outside_boundary,aten.set_.source_Storage_storage_offset,46
101,outside_boundary,aten.div.Tensor,9
101,C,aten.abs.default,157
101,C,aten.ne.Scalar,157
101,C,aten.eq.Tensor,163
101,C,aten.mul.Tensor,405
101,C,aten.all.default,163
101,C,aten._local_scalar_dense.default,253
101,B,aten.lift_fresh.default,14
101,B,aten.expand.default,2
101,B,aten.sum.dim_IntList,1
101,B,aten.view.default,5
101,B,aten.empty.memory_format,5
101,B,aten.slice.Tensor,5
101,B,aten.select.int,1
101,B,aten.unsqueeze.default,3
101,B,aten.pow.Tensor_Tensor,1
101,B,aten.mul.Tensor,81
101,B,aten.detach.default,2
101,B,aten.zeros.default,1
101,B,aten.scatter_add_.default,1
101,C,aten.lift_fresh.default,129
101,C,aten.expand.default,1
101,C,aten.detach.default,4
101,C,aten.gt.Tensor,34
101,C,aten.any.default,90
101,C,aten.slice.Tensor,68
101,C,aten.select.int,278
101,C,aten.lt.Tensor,3
101,C,aten.bitwise_or.Tensor,65
101,C,aten.unsqueeze.default,24
101,C,aten.ones_like.default,18
101,C,aten.stack.default,70
101,C,aten.amin.default,62
101,C,aten.full_like.default,286
101,C,aten.nextafter.default,286
101,C,aten.amax.default,62
101,C,aten.eq.Scalar,808
101,C,aten.bitwise_and.Tensor,407
101,C,aten.where.self,690
101,C,aten.zeros_like.default,247
101,C,aten.index.Tensor,84
101,C,aten.add.Tensor,162
101,C,aten.view.default,108
101,C,aten.index_put_.default,42
101,C,aten.neg.default,6
101,C,aten.cat.default,14
101,C,aten.zeros.default,3
101,C,aten.clone.default,118
101,C,aten.le.Tensor,5
101,C,aten.ge.Tensor,1
101,A,aten.detach.default,174
101,A,aten.unbind.int,4
101,A,aten.isnan.default,10
101,A,aten.any.default,15
101,A,aten.gt.Tensor,5
101,A,aten.ne.Scalar,168
101,A,aten.eq.Scalar,3560
101,A,aten.zeros_like.default,1780
101,A,aten.add.Tensor,1780
101,B,aten.ones_like.default,4
101,B,aten.zeros_like.default,80
101,B,aten.add.Tensor,80
101,B,aten.pow.Tensor_Scalar,76
101,C,aten.isnan.default,56
101,D,aten.zeros.default,364
101,D,aten.clone.default,44408
101,D,aten.view.default,22210
101,D,aten.isnan.default,22204
101,D,aten.any.default,33306
101,D,aten._local_scalar_dense.default,33306
101,D,aten.gt.Tensor,11102
101,D,aten.add.Tensor,4856
101,D,aten.full_like.default,16724
101,D,aten.nextafter.default,16724
101,D,aten.mul.Tensor,14336
101,D,aten.stack.default,4516
101,D,aten.min.dim,4516
101,D,aten.max.dim,4516
101,D,aten.zeros_like.default,1418
101,D,aten.abs.default,5672
101,D,aten.minimum.default,1418
101,D,aten.maximum.default,1418
101,D,aten.le.Scalar,1418
101,D,aten.ge.Scalar,1418
101,D,aten.bitwise_and.Tensor,1418
101,D,aten.pow.Tensor_Scalar,4700
101,D,aten.where.self,1418
101,H,aten.add.Tensor,50
101,H,aten.full_like.default,90
101,H,aten.nextafter.default,90
101,H,aten.clone.default,136
101,H,aten.view.default,72
101,H,aten.isnan.default,68
101,H,aten.any.default,102
101,H,aten._local_scalar_dense.default,198
101,H,aten.gt.Tensor,34
101,H,aten.sub.Tensor,30
101,H,aten.detach.default,96
101,H,aten.lift_fresh.default,48
101,H,aten.abs.default,44
101,H,aten.ne.Scalar,44
101,H,aten.eq.Tensor,44
101,H,aten.mul.Tensor,68
101,F,aten.detach.default,160
101,F,aten._local_scalar_dense.default,176
101,G,aten.lift_fresh.default,29
101,G,aten.abs.default,158
101,G,aten.ne.Scalar,158
101,G,aten.eq.Tensor,158
101,G,aten.mul.Tensor,194
101,G,aten._local_scalar_dense.default,3883
101,G,aten.all.default,180
101,G,aten.view.default,6898
101,G,aten.stack.default,852
101,G,aten.sub.Tensor,33
101,G,aten.full_like.default,263
101,G,aten.nextafter.default,263
101,G,aten.le.Tensor,27
101,G,aten.ge.Tensor,12
101,G,aten.bitwise_and.Tensor,12
101,E,aten.detach.default,504
101,E,aten._local_scalar_dense.default,5578
101,G,aten.clone.default,1680
101,G,aten.isnan.default,840
101,G,aten.any.default,1262
101,G,aten.gt.Tensor,420
101,G,aten.min.dim,6
101,G,aten.max.dim,6
101,G,aten.zeros_like.default,4
101,G,aten.select.int,2624
101,G,aten.slice.Tensor,24
101,G,aten.amin.default,4
101,G,aten.amax.default,4
101,G,aten.add.Tensor,214
101,G,aten.zeros.default,2
101,G,aten.detach.default,4868
101,E,aten.zeros_like.default,1838
101,E,aten.add.Tensor,2506
