plant,step,category,operation,seconds,calls
brusselator,101,A,torch_tm_flowpipe.batched_dense_tm.sparse_tmvector_to_dense,0.009228507056832314,1
brusselator,101,B,BatchedPolynomial.substitute_const_and_drop,0.001402274239808321,1
brusselator,101,C,torch_tm_flowpipe.endpoint_substitution.enclose_constant_substitution,0.01565061742439866,3
brusselator,101,C,DenseRemainderLedger.total,3.4057069569826126e-05,1
brusselator,101,C,BatchedTaylorModel.endpoint,0.0003020847216248512,1
brusselator,101,A,Polynomial.__init__,0.05181211652234197,166
brusselator,101,A,torch_tm_flowpipe.batched_dense_tm.dense_to_sparse_tmvector,0.001652291975915432,1
brusselator,101,B,Polynomial.substitute_const,0.0007932698354125023,2
brusselator,101,C,Polynomial.substitute_const_with_roundoff,0.0015353094786405563,2
brusselator,101,D,Polynomial.evaluate_interval,0.5501890163868666,146
brusselator,101,F,torch_tm_flowpipe.flowpipe._tmvector_constant_part,1.0106712579727173e-05,1
brusselator,101,F,torch_tm_flowpipe.flowpipe._tmvector_rm_constants,2.3680273443460464e-05,1
brusselator,101,G,torch_tm_flowpipe.symbolic_remainder._validated_interval_bounds,0.013912671245634556,15
brusselator,101,G,torch_tm_flowpipe.symbolic_remainder.validate_accepted_boundary_sr_queue,0.0015322668477892876,5
brusselator,101,E,torch_tm_flowpipe.accepted_boundary_sr.split_endpoint_taylor_map,6.641726940870285e-05,1
brusselator,101,G,torch_tm_flowpipe.symbolic_remainder._pack_interval_matrices,0.0020078886300325394,2
brusselator,101,G,torch_tm_flowpipe.symbolic_remainder._pack_interval_columns,0.000773716252297163,1
brusselator,101,G,torch_tm_flowpipe.symbolic_remainder._tensorized_interval_matrix_update_and_image,0.018117713276296854,1
brusselator,101,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_propagate,0.0010197088122367859,1
brusselator,101,E,torch_tm_flowpipe.flowpipe._polynomial_part_for_power,0.00023393193259835243,20
brusselator,101,E,Polynomial.mul_truncate,0.01044289069250226,18
brusselator,101,E,Polynomial.cutoff,0.005270791705697775,28
brusselator,101,E,torch_tm_flowpipe.flowpipe._tm_mul_ctrunc_horner_stage,0.011011670343577862,16
brusselator,101,D,torch_tm_flowpipe.polynomial.evaluate_interval_normal,0.054535250179469585,30
brusselator,101,E,Polynomial.__add__,0.0011867666617035866,22
brusselator,101,E,torch_tm_flowpipe.flowpipe._tm_apply_cutoff_for_horner,0.0005546361207962036,10
brusselator,101,E,torch_tm_flowpipe.flowpipe._insert_ctrunc_normal_horner_scalar,0.010143966414034367,2
brusselator,101,E,torch_tm_flowpipe.flowpipe.insert_ctrunc_normal_dependency_preserving,0.0034904489293694496,1
brusselator,101,D,torch_tm_flowpipe.accepted_boundary_sr._interval_polynomial_range,0.03681052988395095,6
brusselator,101,E,torch_tm_flowpipe.accepted_boundary_sr._linear_polynomial_image,0.027379389386624098,1
brusselator,101,E,torch_tm_flowpipe.accepted_boundary_sr._add_polynomial_images,0.009011814836412668,1
brusselator,101,G,torch_tm_flowpipe.accepted_boundary_sr.prepare_accepted_boundary_sr,0.0010225111618638039,1
brusselator,101,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_sha256,0.00722608994692564,2
brusselator,101,F,torch_tm_flowpipe.flowpipe._tmvector_shift_polynomial_constants,0.00010418379679322243,1
brusselator,101,F,torch_tm_flowpipe.flowpipe._add_right_map_centering_diagnostics,0.0017413091845810413,1
brusselator,101,E,torch_tm_flowpipe.accepted_boundary_sr._scale_and_cutoff_right_map,0.010836851317435503,1
brusselator,101,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_commit,0.0007226699963212013,1
brusselator,101,G,torch_tm_flowpipe.accepted_boundary_sr.commit_accepted_boundary_sr,0.0001669558696448803,1
brusselator,101,E,Polynomial.__mul__,6.83693215250969e-05,2
brusselator,101,F,torch_tm_flowpipe.flowpipe._normalized_tm_from_center_scale,0.00031972117722034454,1
brusselator,101,H,torch_tm_flowpipe.flowpipe._flowstar_normalized_insertion_transition,0.0034374804235994816,1
brusselator,102,A,torch_tm_flowpipe.batched_dense_tm.sparse_tmvector_to_dense,0.00021574925631284714,1
brusselator,102,B,BatchedPolynomial.substitute_const_and_drop,0.00029762275516986847,1
brusselator,102,C,torch_tm_flowpipe.endpoint_substitution.enclose_constant_substitution,0.015395679511129856,3
brusselator,102,C,DenseRemainderLedger.total,3.3671967685222626e-05,1
brusselator,102,C,BatchedTaylorModel.endpoint,0.0002751220017671585,1
brusselator,102,A,Polynomial.__init__,0.047691949643194675,166
brusselator,102,A,torch_tm_flowpipe.batched_dense_tm.dense_to_sparse_tmvector,0.001573964487761259,1
brusselator,102,B,Polynomial.substitute_const,0.000729770865291357,2
brusselator,102,C,Polynomial.substitute_const_with_roundoff,0.0014411984011530876,2
brusselator,102,D,Polynomial.evaluate_interval,0.5507037481293082,146
brusselator,102,F,torch_tm_flowpipe.flowpipe._tmvector_constant_part,9.599141776561737e-06,1
brusselator,102,F,torch_tm_flowpipe.flowpipe._tmvector_rm_constants,2.2557098418474197e-05,1
brusselator,102,G,torch_tm_flowpipe.symbolic_remainder._validated_interval_bounds,0.013716077897697687,15
brusselator,102,G,torch_tm_flowpipe.symbolic_remainder.validate_accepted_boundary_sr_queue,0.0014601247385144234,5
brusselator,102,E,torch_tm_flowpipe.accepted_boundary_sr.split_endpoint_taylor_map,5.0999224185943604e-05,1
brusselator,102,G,torch_tm_flowpipe.symbolic_remainder._pack_interval_matrices,0.0020607253536581993,2
brusselator,102,G,torch_tm_flowpipe.symbolic_remainder._pack_interval_columns,0.0007789852097630501,1
