plant,step,history_length,history_length_after,category,label,seconds,calls,interval_constructions,tensor_outputs,explicit_copy_events,step_seconds,boundary_sum_seconds,nonboundary_seconds,pass_kind
van_der_pol,1,0,1,A,representation_and_coefficients,0.04470629710704088,120,5,2596,344,1.65797029575333,0.523683512583375,1.134286783169955,dispatch_counts_not_timing
van_der_pol,1,0,1,B,point_substitution,0.0027012978680431843,3,0,166,0,1.65797029575333,0.523683512583375,1.134286783169955,dispatch_counts_not_timing
van_der_pol,1,0,1,C,endpoint_error_and_ledger,0.04870658600702882,7,14,3329,62,1.65797029575333,0.523683512583375,1.134286783169955,dispatch_counts_not_timing
van_der_pol,1,0,1,D,polynomial_interval_range,0.27666241442784667,116,1047,19155,4188,1.65797029575333,0.523683512583375,1.134286783169955,dispatch_counts_not_timing
van_der_pol,1,0,1,E,composition_and_cutoff,0.11246282001957297,91,240,7389,1028,1.65797029575333,0.523683512583375,1.134286783169955,dispatch_counts_not_timing
van_der_pol,1,0,1,F,center_scale_and_maps,0.006314221769571304,5,4,412,20,1.65797029575333,0.523683512583375,1.134286783169955,dispatch_counts_not_timing
van_der_pol,1,0,1,G,history_checks_pack_propagate_commit,0.01584097696468234,24,22,1073,91,1.65797029575333,0.523683512583375,1.134286783169955,dispatch_counts_not_timing
van_der_pol,1,0,1,H,other_boundary,0.016288898419588804,1,34,1064,136,1.65797029575333,0.523683512583375,1.134286783169955,dispatch_counts_not_timing
van_der_pol,1,0,1,outside_boundary,nonboundary_or_unattributed,1.134286783169955,0,101,70189,5610,1.65797029575333,0.523683512583375,1.134286783169955,dispatch_counts_not_timing
van_der_pol,2,1,2,A,representation_and_coefficients,0.07160510215908289,112,5,4322,562,2.1915001990273595,1.073979782871902,1.1175204161554575,dispatch_counts_not_timing
van_der_pol,2,1,2,B,point_substitution,0.0019817454740405083,3,0,148,0,2.1915001990273595,1.073979782871902,1.1175204161554575,dispatch_counts_not_timing
van_der_pol,2,1,2,C,endpoint_error_and_ledger,0.04856972210109234,7,14,3329,62,2.1915001990273595,1.073979782871902,1.1175204161554575,dispatch_counts_not_timing
van_der_pol,2,1,2,D,polynomial_interval_range,0.7384539428167045,113,2591,51111,10364,2.1915001990273595,1.073979782871902,1.1175204161554575,dispatch_counts_not_timing
van_der_pol,2,1,2,E,composition_and_cutoff,0.16659105010330677,75,488,11459,2084,2.1915001990273595,1.073979782871902,1.1175204161554575,dispatch_counts_not_timing
van_der_pol,2,1,2,F,center_scale_and_maps,0.007554145064204931,5,4,512,20,2.1915001990273595,1.073979782871902,1.1175204161554575,dispatch_counts_not_timing
van_der_pol,2,1,2,G,history_checks_pack_propagate_commit,0.023132264148443937,30,24,1581,96,2.1915001990273595,1.073979782871902,1.1175204161554575,dispatch_counts_not_timing
van_der_pol,2,1,2,H,other_boundary,0.016091811005026102,1,34,1064,136,2.1915001990273595,1.073979782871902,1.1175204161554575,dispatch_counts_not_timing
van_der_pol,2,1,2,outside_boundary,nonboundary_or_unattributed,1.1175204161554575,0,101,70146,5610,2.1915001990273595,1.073979782871902,1.1175204161554575,dispatch_counts_not_timing
van_der_pol,3,2,3,A,representation_and_coefficients,0.0917151472531259,114,5,5514,711,2.6089258957654238,1.4958644397556782,1.1130614560097456,dispatch_counts_not_timing
van_der_pol,3,2,3,B,point_substitution,0.0021438472904264927,3,0,148,0,2.6089258957654238,1.4958644397556782,1.1130614560097456,dispatch_counts_not_timing
van_der_pol,3,2,3,C,endpoint_error_and_ledger,0.051443069241940975,7,14,3329,62,2.6089258957654238,1.4958644397556782,1.1130614560097456,dispatch_counts_not_timing
van_der_pol,3,2,3,D,polynomial_interval_range,1.084350713994354,115,3669,73770,14676,2.6089258957654238,1.4958644397556782,1.1130614560097456,dispatch_counts_not_timing
