plant,step,category,operation,seconds,calls
van_der_pol,1,A,torch_tm_flowpipe.batched_dense_tm.sparse_tmvector_to_dense,0.002887910697609186,1
van_der_pol,1,B,BatchedPolynomial.substitute_const_and_drop,0.001048229169100523,1
van_der_pol,1,C,torch_tm_flowpipe.endpoint_substitution.enclose_constant_substitution,0.04314892692491412,3
van_der_pol,1,C,DenseRemainderLedger.total,0.0001734178513288498,1
van_der_pol,1,C,BatchedTaylorModel.endpoint,0.0011120461858808994,1
van_der_pol,1,A,Polynomial.__init__,0.0375592028722167,118
van_der_pol,1,A,torch_tm_flowpipe.batched_dense_tm.dense_to_sparse_tmvector,0.004259183537214994,1
van_der_pol,1,B,Polynomial.substitute_const,0.0016530686989426613,2
van_der_pol,1,C,Polynomial.substitute_const_with_roundoff,0.004272195044904947,2
van_der_pol,1,D,Polynomial.evaluate_interval,0.20134876295924187,92
van_der_pol,1,F,torch_tm_flowpipe.flowpipe._tmvector_constant_part,6.464403122663498e-05,1
van_der_pol,1,F,torch_tm_flowpipe.flowpipe._tmvector_rm_constants,2.5563407689332962e-05,1
van_der_pol,1,G,torch_tm_flowpipe.symbolic_remainder._validated_interval_bounds,0.0036417245864868164,12
van_der_pol,1,G,torch_tm_flowpipe.symbolic_remainder.validate_accepted_boundary_sr_queue,0.0012002335861325264,5
van_der_pol,1,E,torch_tm_flowpipe.accepted_boundary_sr.split_endpoint_taylor_map,0.00018242187798023224,1
van_der_pol,1,G,torch_tm_flowpipe.symbolic_remainder._tensorized_interval_matrix_update_and_image,0.00041786208748817444,1
van_der_pol,1,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_propagate,0.002936928067356348,1
van_der_pol,1,E,torch_tm_flowpipe.flowpipe._polynomial_part_for_power,0.0006923447363078594,16
van_der_pol,1,E,Polynomial.mul_truncate,0.001231050118803978,12
van_der_pol,1,E,Polynomial.cutoff,0.0077367196790874004,20
van_der_pol,1,E,torch_tm_flowpipe.flowpipe._tm_mul_ctrunc_horner_stage,0.03487349161878228,10
