plant,step,category,operation,seconds,calls
van_der_pol,1,A,torch_tm_flowpipe.batched_dense_tm.sparse_tmvector_to_dense,0.00209145899862051,1
van_der_pol,1,B,BatchedPolynomial.substitute_const_and_drop,0.0007013962604105473,1
van_der_pol,1,C,torch_tm_flowpipe.endpoint_substitution.enclose_constant_substitution,0.010476390831172466,3
van_der_pol,1,C,DenseRemainderLedger.total,3.626709803938866e-05,1
van_der_pol,1,C,BatchedTaylorModel.endpoint,0.00028572138398885727,1
van_der_pol,1,A,Polynomial.__init__,0.008725588209927082,118
van_der_pol,1,A,torch_tm_flowpipe.batched_dense_tm.dense_to_sparse_tmvector,0.0008827247656881809,1
van_der_pol,1,B,Polynomial.substitute_const,0.0003417092375457287,2
van_der_pol,1,C,Polynomial.substitute_const_with_roundoff,0.000869442243129015,2
van_der_pol,1,D,Polynomial.evaluate_interval,0.04138735355809331,92
van_der_pol,1,F,torch_tm_flowpipe.flowpipe._tmvector_constant_part,1.0021962225437164e-05,1
van_der_pol,1,F,torch_tm_flowpipe.flowpipe._tmvector_rm_constants,2.119271084666252e-05,1
van_der_pol,1,G,torch_tm_flowpipe.symbolic_remainder._validated_interval_bounds,0.0007751351222395897,12
van_der_pol,1,G,torch_tm_flowpipe.symbolic_remainder.validate_accepted_boundary_sr_queue,0.0003757071681320667,5
van_der_pol,1,E,torch_tm_flowpipe.accepted_boundary_sr.split_endpoint_taylor_map,5.188724026083946e-05,1
van_der_pol,1,G,torch_tm_flowpipe.symbolic_remainder._tensorized_interval_matrix_update_and_image,8.766306564211845e-05,1
van_der_pol,1,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_propagate,0.0006316867657005787,1
van_der_pol,1,E,torch_tm_flowpipe.flowpipe._polynomial_part_for_power,0.0002001216635107994,16
van_der_pol,1,E,Polynomial.mul_truncate,0.00034126825630664825,12
van_der_pol,1,E,Polynomial.cutoff,0.0017609968781471252,20
van_der_pol,1,E,torch_tm_flowpipe.flowpipe._tm_mul_ctrunc_horner_stage,0.007196242455393076,10
van_der_pol,1,D,torch_tm_flowpipe.polynomial.evaluate_interval_normal,0.01354737626388669,22
van_der_pol,1,E,Polynomial.__add__,0.0003209090791642666,18
van_der_pol,1,E,torch_tm_flowpipe.flowpipe._tm_apply_cutoff_for_horner,0.00047765951603651047,8
van_der_pol,1,E,torch_tm_flowpipe.flowpipe._insert_ctrunc_normal_horner_scalar,0.007166930008679628,2
van_der_pol,1,E,torch_tm_flowpipe.flowpipe.insert_ctrunc_normal_dependency_preserving,0.0024909507483243942,1
van_der_pol,1,G,torch_tm_flowpipe.accepted_boundary_sr.prepare_accepted_boundary_sr,0.000537957064807415,1
van_der_pol,1,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_sha256,0.00015603285282850266,2
van_der_pol,1,F,torch_tm_flowpipe.flowpipe._tmvector_shift_polynomial_constants,9.837793186306953e-05,1
van_der_pol,1,F,torch_tm_flowpipe.flowpipe._add_right_map_centering_diagnostics,0.0008828965947031975,1
van_der_pol,1,D,torch_tm_flowpipe.accepted_boundary_sr._interval_polynomial_range,0.001906589139252901,2
van_der_pol,1,E,torch_tm_flowpipe.accepted_boundary_sr._scale_and_cutoff_right_map,0.0028516175225377083,1
van_der_pol,1,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_commit,0.0007204185239970684,1
van_der_pol,1,G,torch_tm_flowpipe.accepted_boundary_sr.commit_accepted_boundary_sr,0.0002027573063969612,1
van_der_pol,1,E,Polynomial.__mul__,6.148777902126312e-05,2
van_der_pol,1,F,torch_tm_flowpipe.flowpipe._normalized_tm_from_center_scale,0.00027644122019410133,1
van_der_pol,1,H,torch_tm_flowpipe.flowpipe._flowstar_normalized_insertion_transition,0.003409945871680975,1
van_der_pol,2,A,torch_tm_flowpipe.batched_dense_tm.sparse_tmvector_to_dense,0.00020649703219532967,1
van_der_pol,2,B,BatchedPolynomial.substitute_const_and_drop,0.00019506411626935005,1
van_der_pol,2,C,torch_tm_flowpipe.endpoint_substitution.enclose_constant_substitution,0.010851275641471148,3
van_der_pol,2,C,DenseRemainderLedger.total,3.2856129109859467e-05,1
van_der_pol,2,C,BatchedTaylorModel.endpoint,0.0002514137886464596,1
van_der_pol,2,A,Polynomial.__init__,0.014775346498936415,110
van_der_pol,2,A,torch_tm_flowpipe.batched_dense_tm.dense_to_sparse_tmvector,0.0008470979519188404,1
van_der_pol,2,B,Polynomial.substitute_const,0.00034205056726932526,2
van_der_pol,2,C,Polynomial.substitute_const_with_roundoff,0.0009799851104617119,2
van_der_pol,2,D,Polynomial.evaluate_interval,0.1106477165594697,90
van_der_pol,2,F,torch_tm_flowpipe.flowpipe._tmvector_constant_part,1.0108109563589096e-05,1
van_der_pol,2,F,torch_tm_flowpipe.flowpipe._tmvector_rm_constants,2.0143110305070877e-05,1
van_der_pol,2,G,torch_tm_flowpipe.symbolic_remainder._validated_interval_bounds,0.0012869550846517086,15
van_der_pol,2,G,torch_tm_flowpipe.symbolic_remainder.validate_accepted_boundary_sr_queue,0.0004854942671954632,5
van_der_pol,2,E,torch_tm_flowpipe.accepted_boundary_sr.split_endpoint_taylor_map,4.96753491461277e-05,1
van_der_pol,2,G,torch_tm_flowpipe.symbolic_remainder._pack_interval_matrices,6.446382030844688e-05,2
van_der_pol,2,G,torch_tm_flowpipe.symbolic_remainder._pack_interval_columns,1.720106229186058e-05,1
van_der_pol,2,G,torch_tm_flowpipe.symbolic_remainder._tensorized_interval_matrix_update_and_image,0.0006611468270421028,1
van_der_pol,2,G,torch_tm_flowpipe.symbolic_remainder.accepted_boundary_sr_queue_propagate,0.0006766202859580517,1
van_der_pol,2,E,torch_tm_flowpipe.flowpipe._polynomial_part_for_power,0.00013240380212664604,11
van_der_pol,2,E,Polynomial.mul_truncate,0.0011757006868720055,11
van_der_pol,2,E,Polynomial.cutoff,0.0015871766954660416,15
van_der_pol,2,E,torch_tm_flowpipe.flowpipe._tm_mul_ctrunc_horner_stage,0.006091470830142498,9
van_der_pol,2,D,torch_tm_flowpipe.polynomial.evaluate_interval_normal,0.02373901568353176,17
van_der_pol,2,E,Polynomial.__add__,0.0005364157259464264,16
van_der_pol,2,E,torch_tm_flowpipe.flowpipe._tm_apply_cutoff_for_horner,0.00022042496129870415,4
van_der_pol,2,E,torch_tm_flowpipe.flowpipe._insert_ctrunc_normal_horner_scalar,0.005340244621038437,2
