pass_kind,category,plant,step,history_length,seconds,step_seconds,calls,interval_constructions,tensor_outputs,explicit_copy_events
wall,A,brusselator,1001,0,0.04086922202259302,0.8037638841196895,146,5,0,0
wall,B,brusselator,1001,0,0.0009681200608611107,0.8037638841196895,3,0,0,0
wall,C,brusselator,1001,0,0.016358681954443455,0.8037638841196895,7,24,0,0
wall,D,brusselator,1001,0,0.2330768145620823,0.8037638841196895,146,1765,0,0
wall,E,brusselator,1001,0,0.04373572254553437,0.8037638841196895,105,469,0,0
wall,F,brusselator,1001,0,0.002189884427934885,0.8037638841196895,5,4,0,0
wall,G,brusselator,1001,0,0.0035657137632369995,0.8037638841196895,24,20,0,0
wall,H,brusselator,1001,0,0.0033870297484099865,0.8037638841196895,1,34,0,0
wall,outside_boundary,brusselator,1001,0,0.45961269503459334,0.8037638841196895,0,125,0,0
counts,A,brusselator,1001,0,0.19553514616563916,3.5053883912041783,146,5,12413,1577
counts,B,brusselator,1001,0,0.004087945446372032,3.5053883912041783,3,0,328,0
counts,C,brusselator,1001,0,0.07141032116487622,3.5053883912041783,7,24,5040,102
counts,D,brusselator,1001,0,1.0971704055555165,3.5053883912041783,146,1765,74264,7336
counts,E,brusselator,1001,0,0.22408156841993332,3.5053883912041783,105,469,16107,2174
counts,F,brusselator,1001,0,0.011650922242552042,3.5053883912041783,5,4,822,20
counts,G,brusselator,1001,0,0.018602360039949417,3.5053883912041783,24,20,1317,83
counts,H,brusselator,1001,0,0.016037868801504374,3.5053883912041783,1,34,1064,136
counts,outside_boundary,brusselator,1001,0,1.8668118533678353,3.5053883912041783,0,125,122234,11802
