category,operation,calls
A,aten._local_scalar_dense.default,1666
A,aten.add.Tensor,789
A,aten.all.default,1581
A,aten.any.default,15
A,aten.clone.default,850
A,aten.copy_.default,8
A,aten.detach.default,76
A,aten.empty.memory_format,1
A,aten.empty_like.default,1
A,aten.eq.Scalar,1578
A,aten.gt.Tensor,5
A,aten.isnan.default,10
A,aten.le.Tensor,3
A,aten.ne.Scalar,70
A,aten.select.int,34
A,aten.stack.default,2
A,aten.unbind.int,4
A,aten.view.default,801
A,aten.zeros.default,1
A,aten.zeros_like.default,789
B,aten.add.Tensor,31
B,aten.detach.default,2
B,aten.expand.default,2
B,aten.lift_fresh.default,4
B,aten.mul.Tensor,32
B,aten.ones_like.default,4
B,aten.pow.Tensor_Scalar,27
B,aten.pow.Tensor_Tensor,1
B,aten.scatter_add_.default,1
B,aten.select.int,1
B,aten.slice.Tensor,5
B,aten.unsqueeze.default,3
B,aten.view.default,3
B,aten.zeros.default,1
B,aten.zeros_like.default,31
C,aten._local_scalar_dense.default,165
C,aten.abs.default,111
C,aten.add.Tensor,96
C,aten.all.default,117
C,aten.amax.default,39
C,aten.amin.default,39
C,aten.any.default,48
C,aten.bitwise_and.Tensor,249
C,aten.bitwise_or.Tensor,42
C,aten.cat.default,14
C,aten.clone.default,62
C,aten.detach.default,4
C,aten.eq.Scalar,492
C,aten.eq.Tensor,117
C,aten.expand.default,1
C,aten.full_like.default,174
C,aten.ge.Tensor,1
C,aten.gt.Tensor,20
C,aten.index.Tensor,60
C,aten.index_put_.default,30
C,aten.isnan.default,28
C,aten.le.Tensor,5
C,aten.lift_fresh.default,93
C,aten.lt.Tensor,3
C,aten.mul.Tensor,267
C,aten.ne.Scalar,111
C,aten.neg.default,6
C,aten.nextafter.default,174
C,aten.ones_like.default,18
C,aten.select.int,140
C,aten.slice.Tensor,68
C,aten.stack.default,47
C,aten.unsqueeze.default,24
C,aten.view.default,68
C,aten.where.self,420
C,aten.zeros.default,3
C,aten.zeros_like.default,138
D,aten._local_scalar_dense.default,7983
D,aten.abs.default,1144
D,aten.add.Tensor,2278
D,aten.any.default,7983
D,aten.bitwise_and.Tensor,286
D,aten.clone.default,4740
D,aten.full_like.default,1430
D,aten.ge.Scalar,286
D,aten.gt.Tensor,2661
D,aten.index.Tensor,356
D,aten.index_put_.default,356
D,aten.isnan.default,5322
D,aten.le.Scalar,286
D,aten.lift_fresh.default,729
D,aten.max.dim,323
D,aten.maximum.default,286
D,aten.min.dim,323
D,aten.minimum.default,286
D,aten.mul.Tensor,712
D,aten.nextafter.default,3496
D,aten.ones_like.default,17
D,aten.pow.Tensor_Scalar,862
D,aten.select.int,5054
D,aten.slice.Tensor,644
D,aten.stack.default,2145
D,aten.unsqueeze.default,322
D,aten.view.default,2961
D,aten.where.self,286
D,aten.zeros.default,120
D,aten.zeros_like.default,392
E,aten._local_scalar_dense.default,3026
E,aten.abs.default,497
E,aten.add.Tensor,1158
E,aten.all.default,201
E,aten.any.default,2388
E,aten.clone.default,3366
E,aten.detach.default,288
E,aten.eq.Scalar,10
E,aten.eq.Tensor,291
E,aten.equal.default,16
E,aten.full_like.default,914
E,aten.gt.Tensor,796
E,aten.isnan.default,1592
E,aten.le.Tensor,191
E,aten.lift_fresh.default,314
E,aten.max.dim,115
E,aten.min.dim,115
E,aten.mul.Tensor,1481
E,aten.ne.Scalar,291
E,aten.nextafter.default,914
E,aten.stack.default,115
E,aten.sub.Tensor,308
E,aten.view.default,1615
E,aten.zeros.default,250
E,aten.zeros_like.default,782
F,aten._local_scalar_dense.default,132
F,aten.abs.default,82
F,aten.all.default,8
F,aten.any.default,14
F,aten.clone.default,20
F,aten.detach.default,116
F,aten.eq.Scalar,8
F,aten.eq.Tensor,52
F,aten.full_like.default,6
F,aten.gt.Tensor,4
F,aten.isnan.default,8
F,aten.lift_fresh.default,66
F,aten.max.default,30
F,aten.mul.Tensor,52
F,aten.ne.Scalar,54
F,aten.neg.default,2
F,aten.nextafter.default,6
F,aten.ones.default,2
F,aten.sub.Tensor,40
F,aten.view.default,16
F,aten.zeros.default,6
G,aten._local_scalar_dense.default,2599
G,aten.abs.default,112
G,aten.add.Tensor,212
G,aten.all.default,126
G,aten.amax.default,4
G,aten.amin.default,4
G,aten.any.default,1256
G,aten.bitwise_and.Tensor,9
G,aten.clone.default,1673
G,aten.detach.default,2420
G,aten.empty.memory_format,1
G,aten.eq.Tensor,112
G,aten.full_like.default,256
G,aten.ge.Scalar,2
G,aten.ge.Tensor,9
G,aten.gt.Tensor,418
G,aten.isnan.default,836
G,aten.le.Scalar,2
G,aten.le.Tensor,19
G,aten.lift_fresh.default,26
G,aten.max.dim,6
G,aten.min.dim,6
G,aten.mul.Tensor,148
G,aten.ne.Scalar,112
G,aten.nextafter.default,256
G,aten.ones_like.default,2
G,aten.reciprocal.default,4
G,aten.select.int,2598
G,aten.slice.Tensor,24
G,aten.stack.default,834
G,aten.sub.Tensor,28
G,aten.view.default,4430
G,aten.zeros.default,2
G,aten.zeros_like.default,4
H,aten._local_scalar_dense.default,198
H,aten.abs.default,44
H,aten.add.Tensor,50
H,aten.all.default,4
H,aten.any.default,102
H,aten.clone.default,136
H,aten.detach.default,96
H,aten.div.Tensor,2
H,aten.eq.Scalar,4
H,aten.eq.Tensor,44
H,aten.full_like.default,90
H,aten.gt.Tensor,34
H,aten.isnan.default,68
H,aten.lift_fresh.default,48
H,aten.max.dim,6
H,aten.min.dim,6
H,aten.mul.Tensor,68
H,aten.ne.Scalar,44
H,aten.nextafter.default,90
H,aten.stack.default,6
H,aten.sub.Tensor,30
H,aten.view.default,72
H,aten.zeros.default,8
outside_boundary,aten._local_scalar_dense.default,5460
outside_boundary,aten._to_copy.default,54
outside_boundary,aten.abs.default,1929
outside_boundary,aten.add.Tensor,911
outside_boundary,aten.all.default,2818
outside_boundary,aten.all.dim,158
outside_boundary,aten.allclose.default,156
outside_boundary,aten.amax.default,2
outside_boundary,aten.amin.default,2
outside_boundary,aten.any.default,481
outside_boundary,aten.any.dim,6
outside_boundary,aten.arange.default,72
outside_boundary,aten.bitwise_and.Tensor,480
outside_boundary,aten.bitwise_not.default,4
outside_boundary,aten.cat.default,438
outside_boundary,aten.clamp.default,54
outside_boundary,aten.clone.default,4574
outside_boundary,aten.copy_.default,742
outside_boundary,aten.count_nonzero.default,144
outside_boundary,aten.detach.default,1514
outside_boundary,aten.div.Tensor,6
outside_boundary,aten.eq.Scalar,196
outside_boundary,aten.eq.Tensor,569
outside_boundary,aten.equal.default,25
outside_boundary,aten.expand.default,77
outside_boundary,aten.fill_.Tensor,626
outside_boundary,aten.full.default,36
outside_boundary,aten.full_like.default,4685
outside_boundary,aten.ge.Scalar,465
outside_boundary,aten.ge.Tensor,154
outside_boundary,aten.gt.Tensor,223
outside_boundary,aten.index.Tensor,16
outside_boundary,aten.index_put_.default,16
outside_boundary,aten.index_select.default,840
outside_boundary,aten.isnan.default,158
outside_boundary,aten.le.Scalar,292
