accepted_step,canonical_object_sha256,operator,implementation,stage_class,channel,component,lo,hi,lo_hex,hi_hex,width,exact_bernstein_lo,exact_bernstein_hi,exact_local_outward_contained
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,A,Torch,reporting_endpoint,endpoint,0,1.5127036733689663,1.5587985776105435,0x1.83408c45a8a59p+0,0x1.8f0d6c6fe37b7p+0,0.04609490424157725,58522963815750299538174597/38685626227668133590597632,60303099137662119083043069/38685626227668133590597632,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,A,Torch,reporting_endpoint,endpoint,1,2.932328310981636,2.9754593438092614,0x1.775688ba6688ap+1,0x1.7cdbda0e1e83dp+1,0.043131032827625315,113441063078925815537484845/38685626227668133590597632,115106477008666244780661941/38685626227668133590597632,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,B,Flow*,reporting_endpoint,endpoint,0,1.512703673368968,1.5587985776105422,0x1.83408c45a8a61p+0,0x1.8f0d6c6fe37b1p+0,0.04609490424157414,58522963815750299538174597/38685626227668133590597632,60303099137662119083043069/38685626227668133590597632,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,B,Flow*,reporting_endpoint,endpoint,1,2.9323283109816383,2.9754593438092583,0x1.775688ba6688fp+1,0x1.7cdbda0e1e836p+1,0.043131032827619986,113441063078925815537484845/38685626227668133590597632,115106477008666244780661941/38685626227668133590597632,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,C,Torch,reporting_tube,tube,0,1.476964340136407,1.5587997749477853,0x1.7a1a55c23e7c9p+0,0x1.8f0d808669b3bp+0,0.08183543481137834,426580956704533381/288230376151711744,125787732398405302411264347456140884723895639412277407586043558987669060048587857983551791972899805485858169394094986547/80695308690215893426747474125094121072803306025913234775958104891895238188026287332176417290004307232371974124148359168,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,C,Torch,reporting_tube,tube,1,2.930415350552512,3.02346536063425,0x1.7717d9a728e29p+1,0x1.8300e9b641a85p+1,0.09305001008173797,236629531333598014713630799377735866587869428993276633854133274073507559050892662930357795850226943482044357175990911079/80695308690215893426747474125094121072803306025913234775958104891895238188026287332176417290004307232371974124148359168,870455735978169467/288230376151711744,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,D,Flow*,reporting_tube,tube,0,1.476964340136411,1.5587997749477813,0x1.7a1a55c23e7dbp+0,0x1.8f0d808669b29p+0,0.08183543481137034,426580956704533381/288230376151711744,125787732398405302411264347456140884723895639412277407586043558987669060048587857983551791972899805485858169394094986547/80695308690215893426747474125094121072803306025913234775958104891895238188026287332176417290004307232371974124148359168,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,D,Flow*,reporting_tube,tube,1,2.9304153505525194,3.0234653606342405,0x1.7717d9a728e3ap+1,0x1.8300e9b641a70p+1,0.09305001008172109,236629531333598014713630799377735866587869428993276633854133274073507559050892662930357795850226943482044357175990911079/80695308690215893426747474125094121072803306025913234775958104891895238188026287332176417290004307232371974124148359168,870455735978169467/288230376151711744,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,E,Torch,reporting_endpoint,endpoint,0,1.5127036632418787,1.5587985840817924,0x1.83408c1a29cbdp+0,0x1.8f0d6c8baeb21p+0,0.04609492083991373,58522963423977584491668485/38685626227668133590597632,60303099388006424369661597/38685626227668133590597632,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,E,Torch,reporting_endpoint,endpoint,1,2.9323283041647143,2.975459354504746,0x1.775688abc2e43p+1,0x1.7cdbda25166b7p+1,0.04313105034003151,113441062815208950313161069/38685626227668133590597632,115106477422427739541546037/38685626227668133590597632,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,E,Torch,reporting_tube,tube,0,1.4769643301053195,1.5587997814190342,0x1.7a1a559729307p+0,0x1.8f0d80a234ea5p+0,0.08183545131371472,894605100451405355770757/604462909807314587353088,125787732920604707302713235401281184780758857772790457245008410109719070432173039713309110464204295778515255939468678451/80695308690215893426747474125094121072803306025913234775958104891895238188026287332176417290004307232371974124148359168,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,E,Torch,reporting_tube,tube,1,2.93041534373559,3.0234653712337343,0x1.7717d998853e2p+1,0x1.8300e9cd04c92p+1,0.09305002749814406,236629530783504454876855990872513353376751071369870592537712735631343416959167742408394691532162636372531253791316869223/80695308690215893426747474125094121072803306025913234775958104891895238188026287332176417290004307232371974124148359168,1825477994025084970355295/604462909807314587353088,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,F,Flow*,reporting_endpoint,endpoint,0,1.5127036632418807,1.5587985840817908,0x1.83408c1a29cc6p+0,0x1.8f0d6c8baeb1ap+0,0.04609492083991018,58522963423977584491668485/38685626227668133590597632,60303099388006424369661597/38685626227668133590597632,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,F,Flow*,reporting_endpoint,endpoint,1,2.932328304164717,2.9754593545047423,0x1.775688abc2e49p+1,0x1.7cdbda25166afp+1,0.04313105034002529,113441062815208950313161069/38685626227668133590597632,115106477422427739541546037/38685626227668133590597632,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,F,Flow*,reporting_tube,tube,0,1.4769643301053235,1.55879978141903,0x1.7a1a559729319p+0,0x1.8f0d80a234e92p+0,0.08183545131370651,894605100451405355770757/604462909807314587353088,125787732920604707302713235401281184780758857772790457245008410109719070432173039713309110464204295778515255939468678451/80695308690215893426747474125094121072803306025913234775958104891895238188026287332176417290004307232371974124148359168,True
1,732fbd1a5863163b969a16e81d55054ef0ed93350bd3c1f7f2bb03d74e155cb6,F,Flow*,reporting_tube,tube,1,2.930415343735598,3.023465371233725,0x1.7717d998853f4p+1,0x1.8300e9cd04c7dp+1,0.09305002749812674,236629530783504454876855990872513353376751071369870592537712735631343416959167742408394691532162636372531253791316869223/80695308690215893426747474125094121072803306025913234775958104891895238188026287332176417290004307232371974124148359168,1825477994025084970355295/604462909807314587353088,True
