actual_sha256,endpoint_equal,lane_id,layout,observed_replays,oracle_lane_id,oracle_sha256,passed,queue_equal,remainder_equal,replay_equal,scenario,status_equal,tube_equal
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,embed_b1_0,B1,,serial_r0_0,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,duplicate_embedding,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,embed_b2_0,B2,,serial_r0_0,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,duplicate_embedding,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,embed_b2_1,B2,,serial_r0_0,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,duplicate_embedding,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,embed_b8_0,B8,,serial_r0_0,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,duplicate_embedding,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,embed_b8_1,B8,,serial_r0_0,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,duplicate_embedding,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,embed_b8_2,B8,,serial_r0_0,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,duplicate_embedding,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,embed_b8_3,B8,,serial_r0_0,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,duplicate_embedding,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,embed_b8_4,B8,,serial_r0_0,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,duplicate_embedding,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,embed_b8_5,B8,,serial_r0_0,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,duplicate_embedding,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,embed_b8_6,B8,,serial_r0_0,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,duplicate_embedding,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,embed_b8_7,B8,,serial_r0_0,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,duplicate_embedding,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,heterogeneous_0_frozen_accept,B8,8,heterogeneous_0_frozen_accept,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,heterogeneous_lane_isolation,True,True
1386c74700127c1159c4fe42cb1095e79ecc5d9586e1fedced2feb4410931cc2,True,heterogeneous_1_shifted,B8,8,heterogeneous_1_shifted,1386c74700127c1159c4fe42cb1095e79ecc5d9586e1fedced2feb4410931cc2,True,True,True,True,heterogeneous_lane_isolation,True,True
f6a04cff4db5486b16604bc4a9af4fa635260c5aa69e3c3c9febb328c0777f7d,True,heterogeneous_2_designed_reject,B8,0,heterogeneous_2_designed_reject,d9fbffac99a44ce5b1d98a8d5e0789f7bddd4a605c435b65a8d405b3a1a87302,True,True,False,True,heterogeneous_lane_isolation,False,True
b5173e28f2ede2058d26ab8e40073bbe6abf3aae1ac22f00b2d59cbe8cb6292e,True,heterogeneous_3_different_refinement,B8,6,heterogeneous_3_different_refinement,b5173e28f2ede2058d26ab8e40073bbe6abf3aae1ac22f00b2d59cbe8cb6292e,True,True,True,True,heterogeneous_lane_isolation,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,heterogeneous_4_duplicate,B8,8,heterogeneous_0_frozen_accept,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,heterogeneous_lane_isolation,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,heterogeneous_5_duplicate,B8,8,heterogeneous_0_frozen_accept,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,heterogeneous_lane_isolation,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,heterogeneous_6_duplicate,B8,8,heterogeneous_0_frozen_accept,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,heterogeneous_lane_isolation,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,heterogeneous_7_duplicate,B8,8,heterogeneous_0_frozen_accept,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,heterogeneous_lane_isolation,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,chunk_0,2xB4,,chunk_0,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,chunk_invariance,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,chunk_1,2xB4,,chunk_1,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,chunk_invariance,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,chunk_2,2xB4,,chunk_2,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,chunk_invariance,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,chunk_3,2xB4,,chunk_3,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,chunk_invariance,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,chunk_4,2xB4,,chunk_4,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,chunk_invariance,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,chunk_5,2xB4,,chunk_5,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,chunk_invariance,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,chunk_6,2xB4,,chunk_6,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,chunk_invariance,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,chunk_7,2xB4,,chunk_7,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,chunk_invariance,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,chunk_0,4xB2,,chunk_0,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,chunk_invariance,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,chunk_1,4xB2,,chunk_1,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,chunk_invariance,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,chunk_2,4xB2,,chunk_2,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,chunk_invariance,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,chunk_3,4xB2,,chunk_3,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,chunk_invariance,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,chunk_4,4xB2,,chunk_4,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,chunk_invariance,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,chunk_5,4xB2,,chunk_5,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,chunk_invariance,True,True
0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,chunk_6,4xB2,,chunk_6,0e75230f0af6c8c3bc3f98123c36ef85c977bf01c79ca3e73ec4078a497a7f93,True,True,True,True,chunk_invariance,True,True
