step,t_start,t_end,h,h_hex,scheduler_time_hex,t_start_exact,t_end_exact,safety_check_passed,queue_size,queue_reset_count,published_endpoint_x_lo,published_endpoint_x_hi,published_endpoint_y_lo,published_endpoint_y_hi,common_endpoint_x_lo,common_endpoint_x_hi,common_endpoint_y_lo,common_endpoint_y_hi,published_tube_x_lo,published_tube_x_hi,published_tube_y_lo,published_tube_y_hi,common_tube_x_lo,common_tube_x_hi,common_tube_y_lo,common_tube_y_hi
1,0.0,0.01,0.01,0x1.47ae147ae147bp-7,0x1.47ae147ae147bp-7,0,5764607523034235/576460752303423488,True,1,0,1.1234178287800551,1.4243144325118016,2.3123280567849647,2.4336373987696858,1.1234178287800565,1.4243144325118002,2.312328056784968,2.433637398769682,1.099309738103765,1.4245550667800313,2.3116622683089743,2.4610647926212508,1.0993097381037682,1.4245550667800282,2.3116622683089822,2.461064792621243
2,0.01,0.02,0.01,0x1.47ae147ae147bp-7,0x1.47ae147ae147bp-6,5764607523034235/576460752303423488,5764607523034235/288230376151711744,True,2,0,1.1464521782433623,1.4484647162429092,2.2731231696448493,2.416321914175911,1.1464521782433632,1.4484647162429083,2.273123169644853,2.4163219141759074,1.1226097159630968,1.4487148700898649,2.272243310280373,2.4454638862357836,1.1226097159630999,1.448714870089862,2.272243310280382,2.445463886235775
3,0.02,0.03,0.01,0x1.47ae147ae147bp-7,0x1.eb851eb851eb8p-6,5764607523034235/288230376151711744,17293822569102705/576460752303423488,True,3,0,1.169299183769991,1.4722224120674787,2.2326082683882165,2.3973917856029403,1.1692991837699924,1.4722224120674774,2.23260826838822,2.397391785602937,1.145737360118985,1.4724818959778565,2.231472890988584,2.4282521179269905,1.1457373601189877,1.4724818959778538,2.231472890988592,2.428252117926982
4,0.03,0.04,0.01,0x1.47ae147ae147bp-7,0x1.47ae147ae147bp-5,17293822569102705/576460752303423488,5764607523034235/144115188075855872,True,4,0,1.1919455475319485,1.4955719767111917,2.1908615046353117,2.3768535379191627,1.1919455475319496,1.4955719767111906,2.1908615046353144,2.37685353791916,1.168679059343397,1.4958405143445497,2.189446474537785,2.4094140128925283,1.1686790593434004,1.4958405143445466,2.189446474537793,2.409414012892521
5,0.04,0.05,0.01,0x1.47ae147ae147bp-7,0x1.999999999999ap-5,5764607523034235/144115188075855872,28823037615171175/576460752303423488,True,5,0,1.2143781285561015,1.5184986024230727,2.147964631139461,2.35471909557841,1.2143781285561026,1.5184986024230716,2.1479646311394642,2.3547190955784068,1.1914212583337087,1.5187758855599667,2.146247126263123,2.3889556792750932,1.1914212583337116,1.5187758855599638,2.1462471262631313,2.3889556792750857
6,0.05,0.06,0.01,0x1.47ae147ae147bp-7,0x1.eb851eb851eb8p-5,28823037615171175/576460752303423488,17293822569102705/288230376151711744,True,6,0,1.2365839762055164,1.5409882714534062,2.1040025077139606,2.331005842770984,1.2365839762055177,1.5409882714534051,2.104002507713964,2.3310058427709808,1.213950547062238,1.5412739610777975,2.101961243995508,2.366888676663546,1.213950547062241,1.5412739610777944,2.1019612439955164,2.366888676663538
7,0.06,0.07,0.01,0x1.47ae147ae147bp-7,0x1.1eb851eb851ecp-4,17293822569102705/288230376151711744,40352252661239645/576460752303423488,True,7,0,1.2585503665660522,1.5630278029632403,2.059062587652395,2.305736639733627,1.2585503665660533,1.563027802963239,2.059062587652398,2.305736639733624,1.2362536992412645,1.563321530598372,2.056678028880695,2.3432300797295755,1.2362536992412672,1.5633215305983694,2.0566780288807025,2.3432300797295675
8,0.07,0.08,0.01,0x1.47ae147ae147bp-7,0x1.47ae147ae147bp-4,40352252661239645/576460752303423488,5764607523034235/72057594037927936,True,8,0,1.2802648368967622,1.5846048965953687,2.0132343895213927,2.2789397950677297,1.2802648368967635,1.5846048965953674,2.013234389521396,2.278939795067726,1.2583177091656692,1.5849062658849737,2.010488938370371,2.3180024986892604,1.2583177091656723,1.5849062658849706,2.0104889383703797,2.318002498689252
9,0.08,0.09,0.01,0x1.47ae147ae147bp-7,0x1.70a3d70a3d70ap-4,5764607523034235/72057594037927936,51881467707308115/576460752303423488,True,9,0,1.301715219432946,1.6057081708582128,1.9666089612130813,2.250648992713334,1.3017152194329473,1.6057081708582115,1.966608961213083,2.2506489927133306,1.280129828201007,1.606016759380148,1.963487128609875,2.291234054516168,1.2801298282010103,1.6060167593801449,1.9634871286098807,2.2912340545161602
10,0.09,0.1,0.01,0x1.47ae147ae147bp-7,0x1.999999999999ap-4,51881467707308115/576460752303423488,28823037615171175/288230376151711744,True,10,0,1.3228896742737226,1.6263271960897125,1.919278341733373,2.2209031743020553,1.322889674273724,1.626327196089711,1.9192783417333745,2.220903174302052,1.301677600622829,1.6266425573857708,1.9157668920741568,2.2629583089155423,1.301677600622832,1.6266425573857677,1.9157668920741617,2.262958308915534
11,0.1,0.11,0.01,0x1.47ae147ae147bp-7,0x1.c28f5c28f5c29p-4,28823037615171175/288230376151711744,63410682753376585/576460752303423488,True,11,0,1.3437767211005147,1.6464525218188155,1.8713350278474299,2.1897463765375984,1.343776721100516,1.6464525218188144,1.8713350278474319,2.189746376537595,1.3229488985244298,1.6467741876211481,1.8674230980387596,2.2332141479570335,1.3229488985244326,1.646774187621145,1.8674230980387647,2.2332141479570256
12,0.11,0.12,0.01,0x1.47ae147ae147bp-7,0x1.eb851eb851eb8p-4,63410682753376585/576460752303423488,17293822569102705/144115188075855872,True,12,0,1.3643652696150939,1.6660756982702412,1.822871459459099,2.1572275169535584,1.3643652696150952,1.6660756982702398,1.8228714594591005,2.1572275169535553,1.3439319556505434,1.6664031809008473,1.8185506504614797,2.202045611788588,1.3439319556505465,1.6664031809008437,1.8185506504614837,2.2020456117885794
13,0.12,0.13,0.01,0x1.47ae147ae147bp-7,0x1.0a3d70a3d70a4p-3,17293822569102705/144115188075855872,74939897799445055/576460752303423488,True,13,0,1.38464464849716,1.6851892919208629,1.7739795108140664,2.123400148518407,1.3846446484971613,1.6851892919208615,1.7739795108140681,2.1234001485184035,1.3646153999204247,1.6855220868400622,1.76924395044693,2.1695016906524622,1.3646153999204278,1.685522086840059,1.7692439504469342,2.1695016906524547
14,0.13,0.14,0.01,0x1.47ae147ae147bp-7,0x1.1eb851eb851ecp-3,74939897799445055/576460752303423488,40352252661239645/288230376151711744,True,14,0,1.4046046323624375,1.7037868954120756,1.7247500103558944,2.0883221680196953,1.4046046323624388,1.703786895412074,1.7247500103558964,2.0883221680196926,1.3849882840866685,1.7041244838880822,1.7195950318248072,2.1356374263313223,1.3849882840866719,1.7041244838880791,1.7195950318248117,2.1356374263313156
15,0.14,0.15,0.01,0x1.47ae147ae147bp-7,0x1.3333333333333p-3,40352252661239645/288230376151711744,86469112845513525/576460752303423488,True,15,0,1.4242354573000915,1.7218631385841878,1.6752712827340839,2.05205624067755,1.4242354573000928,1.7218631385841867,1.6752712827340859,2.052056240677547,1.4050401049614674,1.7222049905638845,1.6696957243153014,2.1005107204626747,1.4050401049614705,1.7222049905638817,1.6696957243153059,2.100510720462667
16,0.15,0.16,0.01,0x1.47ae147ae147bp-7,0x1.47ae147ae147bp-3,86469112845513525/576460752303423488,5764607523034235/36028797018963968,True,16,0,1.4435278641360443,1.7394136714508905,1.6256309724916191,2.0146676916744313,1.4435278641360458,1.7394136714508892,1.6256309724916205,2.014667691674428,1.424760850778572,1.739759248251038,1.6196365021835715,2.0641832020607755,1.424760850778575,1.7397592482510351,1.6196365021835755,2.064183202060768
17,0.16,0.17,0.01,0x1.47ae147ae147bp-7,0x1.5c28f5c28f5c3p-3,5764607523034235/36028797018963968,97998327891581995/576460752303423488,True,17,0,1.462473099133364,1.7564351774270706,1.5759136134797251,1.976226208437685,1.4624730991333652,1.7564351774270697,1.5759136134797271,1.976226208437683,1.444141005470492,1.756783934758226,1.5695043824818729,2.0267215981201874,1.4441410054704953,1.7567839347582228,1.569504382481877,2.0267215981201803
18,0.17,0.18,0.01,0x1.47ae147ae147bp-7,0x1.70a3d70a3d70ap-3,97998327891581995/576460752303423488,51881467707308115/288230376151711744,True,18,0,1.4810629476151498,1.7729253395763818,1.5262015635689452,1.9368035575212557,1.4810629476151507,1.7729253395763809,1.5262015635689472,1.9368035575212539,1.4631715864322832,1.7732767302884491,1.5193841410654236,1.988195162677013,1.4631715864322863,1.7732767302884458,1.519384141065428,1.9881951626770085
19,0.18,0.19,0.01,0x1.47ae147ae147bp-7,0x1.851eb851eb852p-3,51881467707308115/288230376151711744,109527542937650465/576460752303423488,True,19,0,1.4992897064482902,1.7888828691413723,1.4765747076180125,1.896473423318645,1.4992897064482917,1.788882869141371,1.4765747076180142,1.8964734233186433,1.481844120762782,1.7892363459915548,1.4693580183837478,1.9486755027196065,1.481844120762785,1.7892363459915517,1.469358018383752,1.9486755027196025
20,0.19,0.2,0.01,0x1.47ae147ae147bp-7,0x1.999999999999ap-3,109527542937650465/576460752303423488,28823037615171175/144115188075855872,True,20,0,1.5171462132112798,1.804307467196823,1.4270991303555378,1.8553220163080881,1.5171462132112812,1.8043074671968218,1.4270991303555398,1.8553220163080864,1.5001506763124457,1.8046624874013126,1.4194939568001441,1.908247608799193,1.5001506763124488,1.8046624874013095,1.419493956800148,1.9082476087991889
21,0.2,0.21,0.01,0x1.47ae147ae147bp-7,0x1.ae147ae147ae1p-3,28823037615171175/144115188075855872,121056757983718935/576460752303423488,True,21,0,1.5346195171795198,1.8192061373608301,1.3772117783957256,1.8140626714988342,1.5346195171795212,1.8192061373608288,1.3772117783957274,1.8140626714988326,1.5180774244831987,1.8195622788488588,1.3692076781239233,1.8676470218335068,1.5180774244832018,1.8195622788488557,1.3692076781239277,1.8676470218335024
22,0.21,0.22,0.01,0x1.47ae147ae147bp-7,0x1.c28f5c28f5c29p-3,121056757983718935/576460752303423488,63410682753376585/288230376151711744,True,22,0,1.5517066024621549,1.833577439986217,1.3272740663846243,1.7724817237286963,1.551706602462156,1.8335774399862157,1.327274066384626,1.7724817237286945,1.5356206397166607,1.8339342446450226,1.318871428824555,1.8266505506014927,1.5356206397166638,1.8339342446450195,1.3188714288245589,1.826650550601489
23,0.22,0.23,0.01,0x1.47ae147ae147bp-7,0x1.d70a3d70a3d71p-3,63410682753376585/288230376151711744,132585973029787405/576460752303423488,True,23,0,1.5684052925351815,1.8474205583021701,1.277661692747669,1.7303480126261275,1.5684052925351828,1.8474205583021688,1.2776616927476705,1.7303480126261257,1.5527774581444538,1.8477775242481254,1.2688735959802275,1.7850159555062814,1.5527774581444567,1.8477775242481222,1.2688735959802315,1.7850159555062775
24,0.23,0.24,0.01,0x1.47ae147ae147bp-7,0x1.eb851eb851eb8p-3,132585973029787405/576460752303423488,17293822569102705/72057594037927936,True,24,0,1.5847109340808372,1.8607385794974587,1.2284444850994185,1.6877324464452865,1.5847109340808383,1.8607385794974574,1.2284444850994205,1.6877324464452848,1.5695425015508002,1.8610952161475531,1.2192858471550918,1.7428141950444325,1.5695425015508033,1.8610952161475502,1.219285847155096,1.742814195044428
25,0.24,0.25,0.01,0x1.47ae147ae147bp-7,0x1.0000000000000p-2,17293822569102705/72057594037927936,144115188075855875/576460752303423488,True,25,0,1.6006194709220103,1.873535380423295,1.1796880525947198,1.644705862603535,1.6006194709220116,1.8735353804232937,1.179688052594721,1.6447058626035336,1.5859109651834455,1.8738912523767342,1.1701628901999805,1.7001291544675758,1.5859109651834487,1.8738912523767313,1.1701628901999845,1.7001291544675718
26,0.25,0.26,0.01,0x1.47ae147ae147bp-7,0x1.0a3d70a3d70a4p-2,144115188075855875/576460752303423488,74939897799445055/288230376151711744,True,26,0,1.6161274464079893,1.8858155799276715,1.1314536738903338,1.6013386783830625,1.6161274464079909,1.8858155799276701,1.1314536738903356,1.6013386783830608,1.6018786807933798,1.886170292629796,1.121559767861203,1.6570398642566027,1.601878680793383,1.8861702926297932,1.1215597678612075,1.6570398642565984
27,0.26,0.27,0.01,0x1.47ae147ae147bp-7,0x1.147ae147ae148p-2,74939897799445055/288230376151711744,155644403121924345/576460752303423488,True,27,0,1.6312319950159737,1.897584497620957,1.0837981878650338,1.5577005915164666,1.6312319950159753,1.8975844976209557,1.0837981878650353,1.5577005915164646,1.6174421925065072,1.897937600933256,1.0735563198414786,1.6135956030009042,1.6174421925065103,1.897937600933253,1.0735563198414828,1.6135956030009002
28,0.27,0.28,0.01,0x1.47ae147ae147bp-7,0x1.1eb851eb851ecp-2,155644403121924345/576460752303423488,40352252661239645/144115188075855872,True,28,0,1.6459308372848407,1.9088481054887012,1.0367739381731012,1.5138602804941534,1.645930837284842,1.9088481054887,1.0367739381731031,1.5138602804941514,1.6325985839606385,1.9091991669657704,1.0262061575491186,1.5698665407163293,1.6325985839606414,1.9091991669657673,1.0262061575491221,1.5698665407163257
29,0.28,0.29,0.01,0x1.47ae147ae147bp-7,0x1.28f5c28f5c28fp-2,40352252661239645/144115188075855872,167173618167992815/576460752303423488,True,29,0,1.6602222711020211,1.9196129798679633,0.9904287539842224,1.469885122394233,1.6602222711020225,1.9196129798679618,0.9904287539842233,1.4698851223942315,1.6473455432178716,1.9199615860504748,0.9795581836311826,1.5259218909993562,1.6473455432178747,1.919961586050472,0.9795581836311852,1.5259218909993524
30,0.29,0.3,0.01,0x1.47ae147ae147bp-7,0x1.3333333333333p-2,167173618167992815/576460752303423488,86469112845513525/288230376151711744,True,30,0,1.6741051607899928,1.9298862528765697,0.944805966537219,1.4258409281595368,1.674105160789994,1.9298862528765683,0.94480596653722,1.4258409281595354,1.661681353403411,1.9302320104054944,0.9336566073739616,1.4818296208034194,1.661681353403414,1.9302320104054913,0.9336566073739642,1.4818296208034156
31,0.3,0.31,0.01,0x1.47ae147ae147bp-7,0x1.3d70a3d70a3d7p-2,86469112845513525/288230376151711744,178702833214061285/576460752303423488,True,31,0,1.6875772516475127,1.9396772361445795,0.8999443373909345,1.3817918140945868,1.6875772516475138,1.9396772361445784,0.8999443373909354,1.381791814094585,1.6756032076505893,1.9400197735810254,0.8885408683304915,1.4376563004248217,1.6756032076505922,1.9400197735810225,0.888540868330494,1.437656300424818
32,0.31,0.32,0.01,0x1.47ae147ae147bp-7,0x1.47ae147ae147bp-2,178702833214061285/576460752303423488,5764607523034235/18014398509481984,True,32,0,1.700574679909123,1.9490578466300221,0.8558744349146646,1.337803533713453,1.7005746799091241,1.949057846630021,0.8558744349146655,1.3378035337134515,1.689046689126669,1.9493968470605414,0.8442418280501107,1.3934705947581743,1.6890466891266722,1.9493968470605387,0.8442418280501135,1.3934705947581705
33,0.32,0.33,0.01,0x1.47ae147ae147bp-7,0x1.51eb851eb851fp-2,5764607523034235/18014398509481984,190232048260129755/576460752303423488,True,33,0,1.7130955430371742,1.9580389735248582,0.812626628401455,1.2939357131770415,1.7130955430371753,1.9580389735248571,0.812626628401456,1.2939357131770397,1.702009408149335,1.9583741409453936,0.800790155211676,1.3493350833717557,1.7020094081493378,1.9583741409453908,0.8007901552116787,1.3493350833717515
34,0.33,0.34,0.01,0x1.47ae147ae147bp-7,0x1.5c28f5c28f5c3p-2,190232048260129755/576460752303423488,97998327891581995/288230376151711744,True,34,0,1.7251982450157917,1.9665720673789755,0.7702306886524101,1.250242154887778,1.7251982450157928,1.9665720673789742,0.7702306886524108,1.2502421548877765,1.714549343105089,1.9669030978199606,0.7582159317915185,1.3053065353851883,1.7145493431050922,1.9669030978199575,0.7582159317915211,1.3053065353851838
35,0.34,0.35000000000000003,0.01,0x1.47ae147ae147bp-7,0x1.6666666666667p-2,97998327891581995/288230376151711744,201761263306198225/576460752303423488,True,35,0,1.7368846298869955,1.9746659393846067,0.7287072147475115,1.2067791262689018,1.7368846298869969,1.9746659393846053,0.7287072147475124,1.2067791262689005,1.7266679145137702,1.9749925516486544,0.7165396438057058,1.2614446125166738,1.7266679145137738,1.9749925516486508,0.7165396438057081,1.2614446125166696
36,0.35000000000000003,0.36,0.01,0x1.47ae147ae147bp-7,0x1.70a3d70a3d70ap-2,201761263306198225/576460752303423488,51881467707308115/144115188075855872,True,36,0,1.7481570799446386,1.9823295985110145,0.6880760268792521,1.1635971479566012,1.74815707994464,1.9823295985110132,0.6880760268792527,1.1635971479565999,1.7383671145261812,1.9826515335377208,0.6757808230902337,1.2178033880717694,1.7383671145261843,1.9826515335377177,0.6757808230902356,1.2178033880717658
37,0.36,0.37,0.01,0x1.47ae147ae147bp-7,0x1.7ae147ae147aep-2,51881467707308115/144115188075855872,213290478352266695/576460752303423488,True,37,0,1.7590184450869812,1.9895722571902097,0.6483519520413683,1.1207452785944079,1.7590184450869824,1.9895722571902086,0.6483519520413693,1.1207452785944063,1.7496494350947764,1.989889278339027,0.6359540483966932,1.1744353976768673,1.7496494350947793,1.989889278339024,0.6359540483966953,1.1744353976768638
38,0.37,0.38,0.01,0x1.47ae147ae147bp-7,0x1.851eb851eb852p-2,213290478352266695/576460752303423488,109527542937650465/288230376151711744,True,38,0,1.7694720269351396,1.9964032831211134,0.6095462098373097,1.0782698340006363,1.7694720269351412,1.996403283121112,0.6095462098373106,1.0782698340006347,1.7605178520634803,1.9967151760408113,0.5970701690257031,1.1313905036388197,1.7605178520634839,1.996715176040808,0.5970701690257052,1.131390503638816
