plant,view,range_kind,state,comparison,accepted_steps,requested_steps,full_requested_coverage,compared_duration,near_zero_denominator_steps,P50,P95,max_ratio,max_at_time,max_at_step,max_abs_absolute_width_difference,max_abs_absolute_width_difference_at_time,max_abs_lower_shift,max_abs_lower_shift_at_time,max_abs_upper_shift,max_abs_upper_shift_at_time,max_abs_center_shift,max_abs_center_shift_at_time,engineering_width_alert_steps
van_der_pol,published,endpoint,x,repaired_vs_old,1000,1000,True,10.0,0,1.0000000000454987,1.000000000244227,1.000000000665965,7.3100000000000005,731,5.394640290035113e-11,9.89,2.6972868383268178e-11,9.89,2.6973534517082953e-11,9.89,6.661338147750939e-16,9.97,0
van_der_pol,published,endpoint,x,repaired_vs_flowstar,1000,1000,True,10.0,0,1.1975754660984186,1.267866369770668,1.2781452841273644,2.85,285,0.03757096308402008,3.0700000000000003,0.036680452742051894,3.11,0.03570088002397087,6.45,0.018159027832052477,9.83,
van_der_pol,published,endpoint,y,repaired_vs_old,1000,1000,True,10.0,0,1.0000000000404952,1.0000000002357754,1.0000000006703136,9.82,982,7.533840218343357e-11,10.0,3.760414202247375e-11,10.0,3.773426016095982e-11,10.0,8.393286066166183e-14,9.82,0
van_der_pol,published,endpoint,y,repaired_vs_flowstar,1000,1000,True,10.0,0,1.1653677563024925,1.2513914221637878,1.2661819569471957,3.49,349,0.06799630516463218,3.49,0.06319617036596625,6.84,0.06522485146878099,3.5100000000000002,0.03221317121473766,6.890000000000001,
van_der_pol,published,tube,x,repaired_vs_old,1000,1000,True,10.0,0,1.0000000000401443,1.0000000002213378,1.0000000006586083,7.3100000000000005,731,5.397893243497265e-11,9.89,2.6989077639427705e-11,9.89,2.6989854795544943e-11,9.89,7.216449660063518e-16,9.86,0
van_der_pol,published,tube,x,repaired_vs_flowstar,1000,1000,True,10.0,0,1.174051267101354,1.2270782438387862,1.2347670185184676,2.85,285,0.0376481829124079,3.0700000000000003,0.036725091658809994,3.11,0.035750304609064476,6.45,0.018159027832052754,9.83,
van_der_pol,published,tube,y,repaired_vs_old,1000,1000,True,10.0,0,1.0000000000356981,1.0000000002135687,1.0000000006618672,9.82,982,7.646283606277393e-11,10.0,3.816635896214393e-11,10.0,3.829647710063e-11,10.0,8.415490526658687e-14,9.84,0
van_der_pol,published,tube,y,repaired_vs_flowstar,1000,1000,True,10.0,0,1.1835510832014038,1.231182354911978,1.2622728623468336,3.49,349,0.07950357440765887,3.5,0.06996633308543787,6.86,0.07138321214087395,3.52,0.032213171214737435,6.890000000000001,
van_der_pol,common,endpoint,x,repaired_vs_old,1000,1000,True,10.0,0,1.0000000000454987,1.000000000244217,1.000000000665965,7.3100000000000005,731,5.394640290035113e-11,9.89,2.6972868383268178e-11,9.89,2.6973534517082953e-11,9.89,5.551115123125783e-16,9.96,0
van_der_pol,common,endpoint,x,repaired_vs_flowstar,1000,1000,True,10.0,0,1.1975754660985138,1.2678663697706758,1.2781452841273657,2.85,285,0.037570963084021414,3.0700000000000003,0.03668045274205223,3.11,0.035700880023971426,6.45,0.0181590278320522,9.83,
van_der_pol,common,endpoint,y,repaired_vs_old,1000,1000,True,10.0,0,1.0000000000404952,1.0000000002357798,1.0000000006703043,9.82,982,7.533929036185327e-11,10.0,3.76045861116836e-11,10.0,3.773470425016967e-11,10.0,8.393286066166183e-14,9.82,0
van_der_pol,common,endpoint,y,repaired_vs_flowstar,1000,1000,True,10.0,0,1.1653677563025322,1.2513914221638123,1.2661819569472081,3.49,349,0.06799630516463395,3.49,0.06319617036596736,6.84,0.06522485146878165,3.5100000000000002,0.032213171214737435,6.890000000000001,
van_der_pol,common,tube,x,repaired_vs_old,1000,1000,True,10.0,0,1.0000000000401443,1.000000000221329,1.0000000006586083,7.3100000000000005,731,5.39793765241825e-11,9.89,2.698929968403263e-11,9.89,2.6990076840149868e-11,9.89,4.996003610813204e-16,9.8,0
van_der_pol,common,tube,x,repaired_vs_flowstar,1000,1000,True,10.0,0,1.1740512671013297,1.227078243838774,1.2347670185184663,2.85,285,0.03764818291240757,3.0700000000000003,0.03672509165880944,3.11,0.03575030460906381,6.45,0.0181590278320522,9.83,
van_der_pol,common,tube,y,repaired_vs_old,1000,1000,True,10.0,0,1.0000000000357006,1.0000000002135667,1.0000000006618763,9.82,982,7.645883925988528e-11,10.0,3.816413851609468e-11,10.0,3.82947007437906e-11,10.0,8.393286066166183e-14,9.83,0
van_der_pol,common,tube,y,repaired_vs_flowstar,1000,1000,True,10.0,0,1.1835510832013874,1.2311823549119372,1.2622728623468247,3.49,349,0.07950357440765576,3.5,0.06996633308543698,6.86,0.07138321214087262,3.52,0.032213171214737324,6.890000000000001,
brusselator,published,endpoint,x,repaired_vs_old,1000,1000,True,20.0,0,1.0000000001278213,1.0000000014706694,1.0000000062591532,14.56,728,3.317710550732045e-10,14.42,1.6548007408800913e-10,14.42,1.6629098098519535e-10,14.42,5.266898028821743e-13,14.36,0
brusselator,published,endpoint,x,repaired_vs_flowstar,1000,1000,True,20.0,0,0.995777528256074,1.1100877952949817,1.3566840776660203,7.2,360,0.06491698354646758,7.2,0.03180780135569128,7.2,0.0331091821907763,7.2,0.0010773608416159153,7.28,
brusselator,published,endpoint,y,repaired_vs_old,1000,1000,True,20.0,0,1.0000000001446059,1.0000000012949264,1.000000006720498,14.700000000000001,735,2.464388693113051e-10,14.38,1.2373568836210325e-10,14.38,1.2270318094920185e-10,14.38,5.313527395855999e-13,14.36,0
brusselator,published,endpoint,y,repaired_vs_flowstar,1000,1000,True,20.0,0,0.991124252516929,1.0061440348400983,1.038454790795147,13.46,673,0.05304501785848159,14.46,0.025553718736963882,14.48,0.027531884016946506,14.46,0.0010796627674853898,7.28,
brusselator,published,tube,x,repaired_vs_old,1000,1000,True,20.0,0,1.0000000000644031,1.0000000008270507,1.0000000042290558,14.56,728,3.4199088005948397e-10,14.42,1.7058976453654395e-10,14.42,1.7140111552294002e-10,14.42,5.266898028821743e-13,14.36,0
brusselator,published,tube,x,repaired_vs_flowstar,1000,1000,True,20.0,0,1.005926467492685,1.0887618804633172,1.188031348412901,7.22,361,0.06770884196121862,7.22,0.033024385332537154,7.22,0.03468445662868147,7.22,0.0010773608416154712,7.28,
brusselator,published,tube,y,repaired_vs_old,1000,1000,True,20.0,0,1.000000000073029,1.0000000007457954,1.0000000055366827,14.700000000000001,735,3.4958502759252497e-10,14.4,1.752666900500799e-10,14.4,1.7431833754244508e-10,14.4,5.31574784190525e-13,14.36,0
brusselator,published,tube,y,repaired_vs_flowstar,1000,1000,True,20.0,0,1.0020406267429303,1.1376513545256492,1.2031840431889178,7.640000000000001,382,0.07448944152911019,7.22,0.03802727716408216,7.22,0.03646216436502803,7.22,0.0010796627674857229,7.28,
brusselator,common,endpoint,x,repaired_vs_old,1000,1000,True,20.0,0,1.0000000001277713,1.0000000014710901,1.000000006259139,14.56,728,3.3177061098399463e-10,14.42,1.6547962999879928e-10,14.42,1.6629098098519535e-10,14.42,5.264677582772492e-13,14.36,0
brusselator,common,endpoint,x,repaired_vs_flowstar,1000,1000,True,20.0,0,0.995777528256729,1.1100877952951078,1.3566840776661562,7.2,360,0.06491698354648268,7.2,0.031807801355698384,7.2,0.03310918219078429,7.2,0.0010773608416152491,7.28,
brusselator,common,endpoint,y,repaired_vs_old,1000,1000,True,20.0,0,1.000000000144389,1.0000000012949264,1.0000000067206138,14.700000000000001,735,2.464397574897248e-10,14.38,1.2373568836210325e-10,14.38,1.2270406912762155e-10,14.38,5.313527395855999e-13,14.36,0
brusselator,common,endpoint,y,repaired_vs_flowstar,1000,1000,True,20.0,0,0.9911242525176691,1.0061440348611272,1.038454790850262,13.46,673,0.053045017858475374,14.46,0.02555371873696033,14.48,0.027531884016943398,14.46,0.0010796627674856119,7.28,
brusselator,common,tube,x,repaired_vs_old,1000,1000,True,20.0,0,1.0000000000644031,1.0000000008270507,1.0000000042290285,14.56,728,3.4199088005948397e-10,14.42,1.7058976453654395e-10,14.42,1.7140111552294002e-10,14.42,5.264677582772492e-13,14.36,0
brusselator,common,tube,x,repaired_vs_flowstar,1000,1000,True,20.0,0,1.0059264674909028,1.0887618804632209,1.1880313484128868,7.22,361,0.06770884196120885,7.22,0.03302438533253227,7.22,0.034684456628676585,7.22,0.001077360841615027,7.28,
brusselator,common,tube,y,repaired_vs_old,1000,1000,True,20.0,0,1.000000000073029,1.000000000745793,1.000000005536703,14.700000000000001,735,3.4958569372633974e-10,14.4,1.752669120946848e-10,14.4,1.7431878163165493e-10,14.4,5.31574784190525e-13,14.36,0
brusselator,common,tube,y,repaired_vs_flowstar,1000,1000,True,20.0,0,1.0020406267425985,1.1376513545256297,1.2031840431888623,7.640000000000001,382,0.07448944152909975,7.22,0.038027277164077944,7.22,0.03646216436502181,7.22,0.0010796627674856119,7.28,
