run_id,plant,route,batch,steps,lane_steps,requests,dispatches,semantic_device_groups,packets,mean_dispatch_size,mean_ready_requests,mean_ready_keys,mean_selected_keys,actual_kernel_invocations,h2d_copy_operations,d2h_copy_operations,metadata_h2d_bytes,numeric_h2d_bytes,metadata_d2h_bytes,numeric_d2h_bytes,device_allocation_operations,pinned_allocation_operations,scratch_packets,scratch_growth_packets,scratch_last_growth_packet,scratch_no_growth_final_quarter,scratch_final_device_capacity_bytes,scratch_cumulative_device_allocation_bytes,external_cpu_fallback_requests,oversize_parent_requests
small-b1-van_der_pol-S_gpu,van_der_pol,S_gpu,1,3,3,323,323,323,0,1,,,,1292,2584,2152,18739,31424,11628,24848,5168,0,0,0,0,True,0,0,0,0
small-b1-van_der_pol-G0,van_der_pol,G0,1,3,3,323,323,323,0,1,1,1,1,1292,2584,2152,18739,31424,11628,24848,5168,0,0,0,0,True,0,0,0,0
small-b1-van_der_pol-Gp,van_der_pol,Gp,1,3,3,323,323,323,323,1,1,1,1,1292,646,646,221904,31424,64600,24848,4,4,323,2,2,True,1536,1664,0,0
small-b2-van_der_pol-S_gpu,van_der_pol,S_gpu,2,3,6,646,646,646,0,1,,,,2584,5168,4304,37478,62848,23256,49696,10336,0,0,0,0,True,0,0,0,0
small-b2-van_der_pol-G0,van_der_pol,G0,2,3,6,646,586,586,0,1.1023890784982935,1.4453924914675769,1.3430034129692834,1,2344,4688,3844,34522,62848,21336,49696,9376,0,0,0,0,True,0,0,0,0
small-b2-van_der_pol-Gp,van_der_pol,Gp,2,3,6,646,434,434,434,1.4884792626728112,1.4884792626728112,1.4654377880184333,1.4654377880184333,1736,868,868,403104,62848,88496,49696,4,4,434,2,6,True,3072,3328,0,0
prefix-b8-van_der_pol-G0,van_der_pol,G0,8,20,160,17675,10798,10798,0,1.6368771994813855,5.157529172068902,3.650583441378033,1,43192,86384,45628,902063,2297152,416236,440240,172768,0,0,0,0,True,0,0,0,0
prefix-b8-van_der_pol-Gp,van_der_pol,Gp,8,20,160,17675,3728,3728,3728,4.741148068669528,4.741148068669528,3.831276824034335,3.831276824034335,14912,7456,7456,11842128,2297152,857176,440240,10,10,3728,6,1237,True,14336,25600,0,0
prefix-b32-van_der_pol-G0,van_der_pol,G0,32,20,640,70704,25508,25508,0,2.771836286655167,19.349184569546807,8.259369609534264,1,102032,204064,107296,2086368,9198704,1099072,1761904,408128,0,0,0,0,True,0,0,0,0
prefix-b32-van_der_pol-Gp,van_der_pol,Gp,32,20,640,70704,5257,5257,5257,13.449495910214951,13.449495910214951,8.989157314057447,8.989157314057447,21028,10514,10514,45559192,9198704,1574976,1781552,18,18,5257,10,294,True,45056,88704,0,0
continuous-b2-van_der_pol-Gp,van_der_pol,Gp,2,120,240,26655,17806,17806,17806,1.4969673143884084,1.4969673143884084,1.451252386835898,1.451252386835898,71224,35612,35612,22100104,3934160,3631992,630512,7,7,17806,5,5871,True,6144,9472,0,0
history-reset-van_der_pol-G0,van_der_pol,G0,1,3,3,338,338,338,0,1,1,1,1,1352,2704,2232,44330,69376,12168,61888,5408,0,0,0,0,True,0,0,0,0
history-reset-van_der_pol-Gp,van_der_pol,Gp,1,3,3,338,338,338,338,1,1,1,1,1352,676,676,373320,69376,67600,61888,9,9,338,4,25,True,5632,9856,0,0
