plant,reference,view,coordinate,samples,near_zero_references,ratio_over_1p10,gpu_width_p50,gpu_width_p95,gpu_width_max,reference_width_p50,reference_width_p95,reference_width_max,width_ratio_p50,width_ratio_p95,width_ratio_max,worst_step,worst_exact_time,worst_gpu_lo_hex,worst_gpu_hi_hex,worst_reference_lo_hex,worst_reference_hi_hex,worst_lower_abs_diff,worst_upper_abs_diff,lower_abs_diff_p50,lower_abs_diff_p95,lower_abs_diff_max,lower_abs_diff_max_step,lower_abs_diff_max_exact_time,upper_abs_diff_p50,upper_abs_diff_p95,upper_abs_diff_max,upper_abs_diff_max_step,upper_abs_diff_max_exact_time,center_abs_diff_p50,center_abs_diff_p95,center_abs_diff_max
brusselator,stock_flowstar,endpoint,x,1000,0,58,0.006116752395534636,0.132242322687671,0.25820881047134847,0.006326725362554714,0.11650919833335974,0.19832840939623786,0.9957944347087357,1.110100660614781,1.356684077665797,360,259407338536540575/36028797018963968,0x1.6735ba36726a6p+1,0x1.86d0bf51741b6p+1,0x1.6b480163bcb17p+1,0x1.8293d35e19a8bp+1,0.03180780135567618,0.0331091821907612,5.604111661330902e-05,0.005915642339826664,0.03180780135567618,360,259407338536540575/36028797018963968,8.50787530281838e-05,0.0068005524941052945,0.0331091821907612,360,259407338536540575/36028797018963968,1.3470871950554963e-05,0.00032654640545927123,0.001077360841615027
brusselator,stock_flowstar,endpoint,y,1000,0,0,0.014642630022598135,0.10791964780714497,0.2241055160003631,0.015034058746313583,0.11835909744545409,0.23692488586248683,0.9911294064099181,1.0061486821866836,1.0384547907177013,673,3879580863002040155/288230376151711744,0x1.2e2b4315c35e6p+2,0x1.2e371abe5670bp+2,0x1.2e2b4472ee00cp+2,0x1.2e36abd7bf1f8p+2,3.2518668113823423e-07,2.6440798381877073e-05,0.00010982155174887875,0.001982725431428573,0.025553718735118913,724,1043393961669196535/72057594037927936,5.605995439883493e-05,0.0031407967006391157,0.027531884015242092,723,4167811239153751905/288230376151711744,2.6981100735790076e-05,0.000459218190925541,0.001079662767485945
brusselator,stock_flowstar,tube,x,1000,0,44,0.011439626057658303,0.17954290730533898,0.43814046027089226,0.011486788290253347,0.16478125620582462,0.3738557608489961,1.0059460479645035,1.0887752628743368,1.1880313484127911,361,2081023315815358835/288230376151711744,0x1.666b1f4554229p+1,0x1.9d2d58549d348p+1,0x1.6aa543e4d0c42p+1,0x1.98bcce052a0d0p+1,0.03302438533252117,0.03468445662866415,4.940610261097711e-05,0.006970640025920717,0.03302438533252117,361,2081023315815358835/288230376151711744,3.066025438372422e-05,0.0075477708906185855,0.03468445662866415,361,2081023315815358835/288230376151711744,1.3470871950568841e-05,0.00032654640545924906,0.001077360841614805
brusselator,stock_flowstar,tube,y,1000,0,92,0.02878920806345997,0.1983730207401623,0.5190414757801709,0.028589634823111387,0.17768494062980186,0.4481775351177293,1.0020408144603148,1.1377740136878,1.2031840431884406,382,1101040036899538885/144115188075855872,0x1.bf5ba31b22629p-1,0x1.cc2c6f619d8bep-1,0x1.c0730445174acp-1,0x1.cb19c7a501044p-1,0.002131496783889353,0.0020954530466632537,0.00015312208402484817,0.008608987233852847,0.03802727716407106,361,2081023315815358835/288230376151711744,0.0001550426303462693,0.007824531908231205,0.03646216436500893,361,2081023315815358835/288230376151711744,2.698110073606763e-05,0.00045921819092543557,0.001079662767486167
brusselator,strict_cpu,endpoint,x,1000,0,0,0.006116752395534636,0.132242322687671,0.25820881047134847,0.006116752282999488,0.13224232268767103,0.2582088104673601,1.0000000000008529,1.0000000641298643,1.0000006559729473,898,2588308777842371515/144115188075855872,0x1.7b6be24ffc343p-2,0x1.7b86962ece5bcp-2,0x1.7b6be2508f23dp-2,0x1.7b86962e3b6bfp-2,3.340938636853252e-11,3.340955290198622e-11,1.1102230246251565e-15,1.4263324965568807e-10,1.925491988075123e-10,808,582225359826457735/36028797018963968,1.1102230246251565e-15,1.4277407034413154e-10,1.9271306772594698e-10,808,582225359826457735/36028797018963968,5.551115123125783e-17,5.375977440991162e-14,8.704148513061227e-14
brusselator,strict_cpu,endpoint,y,1000,0,0,0.014642630022598135,0.10791964780714497,0.2241055160003631,0.014642629904740523,0.107919647807145,0.22410551599864492,1.0000000000004132,1.0000000170917411,1.0000000262015416,1000,720575940379279375/36028797018963968,0x1.25ed5b8f708b4p+2,0x1.2675efc2dc003p+2,0x1.25ed5b8f8e90ap+2,0x1.2675efc2bdfbbp+2,1.092157475568456e-10,1.092033130589698e-10,3.1086244689504383e-15,1.142404837395361e-10,1.1786660536472482e-10,891,5136265303023503385/288230376151711744,3.1086244689504383e-15,1.1423881840499916e-10,1.1786571718630512e-10,891,5136265303023503385/288230376151711744,2.220446049250313e-16,5.410671910510697e-14,8.781864124784988e-14
brusselator,strict_cpu,tube,x,1000,0,0,0.011439626057658303,0.17954290730533898,0.43814046027089226,0.011439625941456338,0.1795429073050597,0.4381404602668342,1.0000000000004354,1.0000000354724414,1.0000005307063087,898,2588308777842371515/144115188075855872,0x1.7b645f73758a3p-2,0x1.7b87438812ff7p-2,0x1.7b645f7410debp-2,0x1.7b87438777aacp-2,3.531797077016563e-11,3.5318137303619324e-11,1.2212453270876722e-15,1.4662319691716157e-10,1.9564072584188352e-10,809,4663567486134696115/288230376151711744,1.2212453270876722e-15,1.467667987142817e-10,1.9580237431426895e-10,809,4663567486134696115/288230376151711744,2.7755575615628914e-17,5.375144773722694e-14,8.693046282814976e-14
brusselator,strict_cpu,tube,y,1000,0,0,0.02878920806345997,0.1983730207401623,0.5190414757801709,0.02878920794593154,0.19837302074015,0.5190414757774171,1.00000000000022,1.000000009144348,1.0000000140784615,1000,720575940379279375/36028797018963968,0x1.2576eeed69d3ep+2,0x1.2677a6daa7d55p+2,0x1.2576eeed8825cp+2,0x1.2677a6da89845p+2,1.1030287794255855e-10,1.1029044344468275e-10,3.1086244689504383e-15,1.149006667588992e-10,1.1853318326870976e-10,891,5136265303023503385/288230376151711744,3.1086244689504383e-15,1.148997785804795e-10,1.1853229509029006e-10,891,5136265303023503385/288230376151711744,2.220446049250313e-16,5.4012350148013815e-14,8.79296635503124e-14
van_der_pol,stock_flowstar,endpoint,x,1000,0,853,0.09139089815229923,0.24009153521741347,0.30447743639718805,0.07664765147793379,0.2138975549577288,0.3045266557025432,1.1977408924259176,1.2678684041836616,1.2781452841273582,285,1642913144064756975/576460752303423488,-0x1.5567cf9797035p-3,-0x1.846603639b88cp-7,-0x1.14157e087a5aap-3,-0x1.bf75563c8caa7p-7,0.031895291500024875,0.0018023638275588751,0.006884525733385272,0.03279938095087062,0.036680452742049674,311,1792792939663647085/576460752303423488,0.0008973498005794833,0.031013992880594168,0.03570088002396865,645,3718171852357081575/576460752303423488,0.0062625957047099945,0.017808204666316777,0.018159027832052477
van_der_pol,stock_flowstar,endpoint,y,1000,0,823,0.10786362742514904,0.35185271181934574,0.4819290987987882,0.09385486412081867,0.31251881320774494,0.47764086854906684,1.1653679271468107,1.2513929987733958,1.2661819569471449,349,2011848025538948015/576460752303423488,-0x1.eb62bb01c2cacp+0,-0x1.989552a608fe0p+0,-0x1.ea9764797087fp+0,-0x1.a93230d0a509cp+0,0.0031026919189216517,0.06489361324570009,0.0057518906621812915,0.03620603254329188,0.06319617036596115,684,985747886438854185/144115188075855872,0.0019125222890892524,0.037595101111026916,0.06522485146877566,351,2023377240585016485/576460752303423488,0.006272784242140131,0.02848501275688107,0.032213171214737324
