plant,block,order,S_wall_s,Q_wall_s,G0_wall_s,Gp_wall_s,G0_over_Gp,S_over_Gp,Q_over_Gp,faster_strict_cpu_over_Gp,Gp_faster_than_G0,Gp_faster_than_faster_cpu,successful_lane_steps
van_der_pol,0,S/Q/G0/Gp,385.100582439,351.426385537,313.236395425,283.337686812,1.1055232325406763,1.3591576425007013,1.240309361917598,1.240309361917598,True,True,640
van_der_pol,1,Gp/G0/Q/S,387.461875158,338.94437496,295.630526895,281.972137395,1.0484387912443516,1.3741140480671852,1.202049174401904,1.202049174401904,True,True,640
van_der_pol,2,Q/Gp/S/G0,395.450633366,335.838450766,300.069028939,289.787116011,1.0354809180944045,1.364624621030388,1.1589143623391867,1.1589143623391867,True,True,640
van_der_pol,3,G0/S/Gp/Q,394.987573318,338.019363491,308.714370973,281.326249651,1.0973535934025935,1.4040196171100379,1.2015208815755045,1.2015208815755045,True,True,640
van_der_pol,4,S/G0/Q/Gp,391.16261899,340.443834069,295.948169063,281.984941297,1.0495176363027603,1.3871755604779223,1.207312108593871,1.207312108593871,True,True,640
brusselator,0,S/Q/G0/Gp,565.653806098,491.467965214,430.06621549,414.769146956,1.0368809219448107,1.363779852598357,1.1849192950365146,1.1849192950365146,True,True,640
brusselator,1,Gp/G0/Q/S,560.325997024,484.743442481,431.443925609,416.448262341,1.0360084664147815,1.3454876576365415,1.1639943933397372,1.1639943933397372,True,True,640
brusselator,2,Q/Gp/S/G0,571.869578744,485.724465098,428.168972514,408.171508578,1.0489927971838793,1.4010521722505724,1.190000906212639,1.190000906212639,True,True,640
brusselator,3,G0/S/Gp/Q,571.182119026,495.127683326,422.551964106,408.65255455,1.0340127802976926,1.3977206618834779,1.2116103957094424,1.2116103957094424,True,True,640
brusselator,4,S/G0/Q/Gp,567.834392385,495.829448627,434.585307845,414.355909816,1.0488213092893572,1.3704025426767874,1.1966269501192328,1.1966269501192328,True,True,640
