plant,batch,route,samples,median_wall_s,min_wall_s,max_wall_s,median_throughput
van_der_pol,1,S,3,1.034827127,1.026252788,1.048636503,1.932689961267318
van_der_pol,1,Q,3,1.070339539,1.069029212,1.07688149,1.8685659336368776
van_der_pol,1,G,3,0.953833122,0.948084056,0.972223576,2.0968028409481043
van_der_pol,1,L,1,0.878380341,0.878380341,0.878380341,2.2769179894475804
van_der_pol,8,S,3,96.077389707,96.030088555,97.293187325,1.6653241776024514
van_der_pol,8,Q,3,93.584353499,92.113858674,94.107942052,1.7096875067017445
van_der_pol,8,G,3,75.568494895,75.312927502,77.473593424,2.1172844612336776
van_der_pol,8,L,1,78.326374352,78.326374352,78.326374352,2.0427346640731434
van_der_pol,32,S,3,389.618935786,380.674167618,440.445435039,1.6426306352613287
van_der_pol,32,Q,3,338.178078204,336.574444084,339.632947694,1.8924940475116523
van_der_pol,32,G,3,304.43626694,293.602178748,327.027444437,2.1022462482307827
van_der_pol,32,L,1,416.844538873,416.844538873,416.844538873,1.535344571696521
brusselator,1,S,3,1.561019782,1.542219473,1.564359167,1.2812137444136502
brusselator,1,Q,3,1.602976173,1.599271376,1.632018192,1.2476791818165096
brusselator,1,G,3,1.453380622,1.449670297,1.453604542,1.376102013282519
brusselator,1,L,1,1.293045446,1.293045446,1.293045446,1.5467360456563566
brusselator,8,S,3,141.555391569,140.46988917,141.562258735,1.1302995825631221
brusselator,8,Q,3,135.248714032,132.79962205,136.127630447,1.1830057028279308
brusselator,8,G,3,111.773801939,111.458258855,112.75710698,1.4314624466949708
brusselator,8,L,1,114.898771199,114.898771199,114.898771199,1.3925301230844889
brusselator,32,S,3,579.601399722,565.117348378,672.750039749,1.1042071332246084
brusselator,32,Q,3,499.855880076,479.291473527,557.758084132,1.2803690533813306
brusselator,32,G,3,430.506967031,428.080941312,572.208190897,1.486619379039956
brusselator,32,L,1,532.54858429,532.54858429,532.54858429,1.2017682872131854
