run_id,plant,route,batch,reason,groups
formal-b1-rep0-van_der_pol-S,van_der_pol,S,1,serial,215
formal-b1-rep0-van_der_pol-Q,van_der_pol,Q,1,all_waiting,215
formal-b1-rep0-van_der_pol-G,van_der_pol,G,1,all_waiting,215
formal-b1-rep0-brusselator-S,brusselator,S,1,serial,294
formal-b1-rep0-brusselator-Q,brusselator,Q,1,all_waiting,294
formal-b1-rep0-brusselator-G,brusselator,G,1,all_waiting,294
formal-b1-rep1-van_der_pol-G,van_der_pol,G,1,all_waiting,215
formal-b1-rep1-van_der_pol-Q,van_der_pol,Q,1,all_waiting,215
formal-b1-rep1-van_der_pol-S,van_der_pol,S,1,serial,215
formal-b1-rep1-brusselator-G,brusselator,G,1,all_waiting,294
formal-b1-rep1-brusselator-Q,brusselator,Q,1,all_waiting,294
formal-b1-rep1-brusselator-S,brusselator,S,1,serial,294
formal-b1-rep2-van_der_pol-Q,van_der_pol,Q,1,all_waiting,215
formal-b1-rep2-van_der_pol-S,van_der_pol,S,1,serial,215
formal-b1-rep2-van_der_pol-G,van_der_pol,G,1,all_waiting,215
formal-b1-rep2-brusselator-Q,brusselator,Q,1,all_waiting,294
formal-b1-rep2-brusselator-S,brusselator,S,1,serial,294
formal-b1-rep2-brusselator-G,brusselator,G,1,all_waiting,294
formal-b8-rep0-van_der_pol-S,van_der_pol,S,8,serial,17675
formal-b8-rep0-van_der_pol-Q,van_der_pol,Q,8,all_waiting,5801
formal-b8-rep0-van_der_pol-Q,van_der_pol,Q,8,timeout,5376
formal-b8-rep0-van_der_pol-G,van_der_pol,G,8,all_waiting,7020
formal-b8-rep0-van_der_pol-G,van_der_pol,G,8,timeout,3922
formal-b8-rep0-brusselator-S,brusselator,S,8,serial,26685
formal-b8-rep0-brusselator-Q,brusselator,Q,8,all_waiting,8644
formal-b8-rep0-brusselator-Q,brusselator,Q,8,timeout,7323
formal-b8-rep0-brusselator-G,brusselator,G,8,all_waiting,11642
formal-b8-rep0-brusselator-G,brusselator,G,8,timeout,2834
formal-b8-rep1-van_der_pol-G,van_der_pol,G,8,all_waiting,7222
formal-b8-rep1-van_der_pol-G,van_der_pol,G,8,timeout,3577
formal-b8-rep1-van_der_pol-Q,van_der_pol,Q,8,all_waiting,4515
formal-b8-rep1-van_der_pol-Q,van_der_pol,Q,8,timeout,7409
formal-b8-rep1-van_der_pol-S,van_der_pol,S,8,serial,17675
formal-b8-rep1-brusselator-G,brusselator,G,8,all_waiting,11230
formal-b8-rep1-brusselator-G,brusselator,G,8,timeout,3749
