run_id,cpu_s,wall_s,peak_rss_kib,peak_gpu_allocated_bytes
formal-b1-rep0-van_der_pol-S,1.025363531,1.026252788,449272,0
formal-b1-rep0-van_der_pol-Q,1.068479282,1.069029212,449836,0
formal-b1-rep0-van_der_pol-G,0.970241378,0.972223576,641024,8192
formal-b1-rep0-brusselator-S,1.540944559,1.542219473,448500,0
formal-b1-rep0-brusselator-Q,1.63085449,1.632018192,448876,0
formal-b1-rep0-brusselator-G,1.451484947,1.453604542,639608,8192
formal-b1-rep1-van_der_pol-G,0.953337616,0.953833122,640452,8192
formal-b1-rep1-van_der_pol-Q,1.069641968,1.070339539,450024,0
formal-b1-rep1-van_der_pol-S,1.046627103,1.048636503,450204,0
formal-b1-rep1-brusselator-G,1.452759154,1.453380622,638508,8192
formal-b1-rep1-brusselator-Q,1.601957956,1.602976173,449148,0
formal-b1-rep1-brusselator-S,1.563068004,1.564359167,448588,0
formal-b1-rep2-van_der_pol-Q,1.075883783,1.07688149,450376,0
formal-b1-rep2-van_der_pol-S,1.034275597,1.034827127,449192,0
formal-b1-rep2-van_der_pol-G,0.946052915,0.948084056,640548,8192
formal-b1-rep2-brusselator-Q,1.598052034,1.599271376,449312,0
formal-b1-rep2-brusselator-S,1.559762877,1.561019782,448464,0
formal-b1-rep2-brusselator-G,1.44891787,1.449670297,638564,8192
legacy-b1-van_der_pol-L,0.877564914,0.878380341,449192,0
legacy-b1-brusselator-L,1.292297231,1.293045446,448292,0
formal-b8-rep0-van_der_pol-S,97.219551392,97.293187325,474540,0
formal-b8-rep0-van_der_pol-Q,92.042170985,92.113858674,482384,0
formal-b8-rep0-van_der_pol-G,75.253646358,75.312927502,696036,10240
formal-b8-rep0-brusselator-S,141.45828179,141.562258735,484552,0
formal-b8-rep0-brusselator-Q,132.695619281,132.79962205,491320,0
formal-b8-rep0-brusselator-G,112.669858789,112.75710698,687772,10240
formal-b8-rep1-van_der_pol-G,75.508544854,75.568494895,695452,10240
formal-b8-rep1-van_der_pol-Q,93.510484812,93.584353499,482580,0
formal-b8-rep1-van_der_pol-S,95.960111175,96.030088555,474632,0
formal-b8-rep1-brusselator-G,111.689712144,111.773801939,687852,8192
formal-b8-rep1-brusselator-Q,136.024082889,136.127630447,490660,0
formal-b8-rep1-brusselator-S,140.368733688,140.46988917,484596,0
formal-b8-rep2-van_der_pol-Q,94.034952276,94.107942052,485984,0
formal-b8-rep2-van_der_pol-S,96.007178583,96.077389707,475036,0
formal-b8-rep2-van_der_pol-G,77.411818609,77.473593424,696064,10240
formal-b8-rep2-brusselator-Q,135.146936155,135.248714032,493448,0
formal-b8-rep2-brusselator-S,141.452934673,141.555391569,484984,0
formal-b8-rep2-brusselator-G,111.372368184,111.458258855,687864,10240
legacy-b8-van_der_pol-L,78.269593616,78.326374352,452544,0
legacy-b8-brusselator-L,114.817783237,114.898771199,451776,0
formal-b32-rep0-van_der_pol-S,380.39624977,380.674167618,548940,0
formal-b32-rep0-van_der_pol-Q,336.306840013,336.574444084,553856,0
formal-b32-rep0-van_der_pol-G,304.190659936,304.43626694,841608,13312
formal-b32-rep0-brusselator-S,579.161878955,579.601399722,595716,0
formal-b32-rep0-brusselator-Q,499.462527492,499.855880076,572344,0
formal-b32-rep0-brusselator-G,427.74527809,428.080941312,786232,16384
formal-b32-rep1-van_der_pol-G,293.365697949,293.602178748,839000,15360
formal-b32-rep1-van_der_pol-Q,339.36249062,339.632947694,553172,0
formal-b32-rep1-van_der_pol-S,389.331357209,389.618935786,548884,0
formal-b32-rep1-brusselator-G,430.207018272,430.506967031,785884,16384
formal-b32-rep1-brusselator-Q,478.978713274,479.291473527,576864,0
formal-b32-rep1-brusselator-S,564.776694096,565.117348378,596036,0
formal-b32-rep2-van_der_pol-Q,337.951726957,338.178078204,550792,0
formal-b32-rep2-van_der_pol-S,440.125029433,440.445435039,548700,0
formal-b32-rep2-van_der_pol-G,326.781969908,327.027444437,836856,16384
formal-b32-rep2-brusselator-Q,557.361259092,557.758084132,567024,0
formal-b32-rep2-brusselator-S,672.277093958,672.750039749,595704,0
formal-b32-rep2-brusselator-G,571.798568797,572.208190897,767968,18432
legacy-b32-van_der_pol-L,416.434876962,416.844538873,460136,0
legacy-b32-brusselator-L,532.072409326,532.54858429,458684,0
