run_id,plant,route,batch,cold_cuda_service_s,compile_load_s,timed_service_startup_s,serialization_outside_timing_s,wall_s,rss_scope,gpu_memory_scope
formal-b1-rep0-van_der_pol-S,van_der_pol,S,1,0.0,0.0,0.0,0.007956183981150389,1.026252788,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b1-rep0-van_der_pol-Q,van_der_pol,Q,1,0.0,0.0,3.953e-06,0.008309661876410246,1.069029212,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b1-rep0-van_der_pol-G,van_der_pol,G,1,0.395799494,0.14470487087965012,0.000117174,0.012075921054929495,0.972223576,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b1-rep0-brusselator-S,brusselator,S,1,0.0,0.0,0.0,0.010786796920001507,1.542219473,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b1-rep0-brusselator-Q,brusselator,Q,1,0.0,0.0,4.161e-06,0.011363983619958162,1.632018192,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b1-rep0-brusselator-G,brusselator,G,1,0.397575993,0.1458566510118544,0.000132518,0.01605662563815713,1.453604542,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b1-rep1-van_der_pol-G,van_der_pol,G,1,0.394208521,0.1458061747252941,0.000128093,0.01183592900633812,0.953833122,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b1-rep1-van_der_pol-Q,van_der_pol,Q,1,0.0,0.0,3.774e-06,0.008288364857435226,1.070339539,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b1-rep1-van_der_pol-S,van_der_pol,S,1,0.0,0.0,0.0,0.007920421194285154,1.048636503,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b1-rep1-brusselator-G,brusselator,G,1,0.395496191,0.14494002284482121,0.000130216,0.015924071427434683,1.453380622,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b1-rep1-brusselator-Q,brusselator,Q,1,0.0,0.0,3.941e-06,0.011053693946450949,1.602976173,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b1-rep1-brusselator-S,brusselator,S,1,0.0,0.0,0.0,0.011514734011143446,1.564359167,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b1-rep2-van_der_pol-Q,van_der_pol,Q,1,0.0,0.0,5.181e-06,0.008111822884529829,1.07688149,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b1-rep2-van_der_pol-S,van_der_pol,S,1,0.0,0.0,0.0,0.00818734709173441,1.034827127,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b1-rep2-van_der_pol-G,van_der_pol,G,1,0.398013845,0.14504501409828663,0.000129818,0.011707058642059565,0.948084056,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b1-rep2-brusselator-Q,brusselator,Q,1,0.0,0.0,3.717e-06,0.011270925868302584,1.599271376,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b1-rep2-brusselator-S,brusselator,S,1,0.0,0.0,0.0,0.010754584800451994,1.561019782,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b1-rep2-brusselator-G,brusselator,G,1,0.393940785,0.14432162791490555,0.000130079,0.016028420068323612,1.449670297,process lifetime high-water mark,process lifetime Torch allocator high-water mark
legacy-b1-van_der_pol-L,van_der_pol,L,1,0.0,0.0,0.0,0.00034204917028546333,0.878380341,process lifetime high-water mark,process lifetime Torch allocator high-water mark
legacy-b1-brusselator-L,brusselator,L,1,0.0,0.0,0.0,0.000359879806637764,1.293045446,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b8-rep0-van_der_pol-S,van_der_pol,S,8,0.0,0.0,0.0,0.6561982650309801,97.293187325,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b8-rep0-van_der_pol-Q,van_der_pol,Q,8,0.0,0.0,3.713e-06,0.44471162278205156,92.113858674,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b8-rep0-van_der_pol-G,van_der_pol,G,8,0.398316166,0.1445564259774983,0.000121335,0.6126259630545974,75.312927502,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b8-rep0-brusselator-S,brusselator,S,8,0.0,0.0,0.0,0.9713521017692983,141.562258735,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b8-rep0-brusselator-Q,brusselator,Q,8,0.0,0.0,3.515e-06,0.6323475311510265,132.79962205,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b8-rep0-brusselator-G,brusselator,G,8,0.405808923,0.15383356483653188,0.000123454,0.8168715792708099,112.75710698,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b8-rep1-van_der_pol-G,van_der_pol,G,8,0.396024228,0.14644463220611215,0.000116201,0.604716507717967,75.568494895,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b8-rep1-van_der_pol-Q,van_der_pol,Q,8,0.0,0.0,3.815e-06,0.472256937995553,93.584353499,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b8-rep1-van_der_pol-S,van_der_pol,S,8,0.0,0.0,0.0,0.6429861728101969,96.030088555,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b8-rep1-brusselator-G,brusselator,G,8,0.397399967,0.14653347292914987,0.000125358,0.8473291196860373,111.773801939,process lifetime high-water mark,process lifetime Torch allocator high-water mark
formal-b8-rep1-brusselator-Q,brusselator,Q,8,0.0,0.0,3.892e-06,0.6205567461438477,136.127630447,process lifetime high-water mark,process lifetime Torch allocator high-water mark
