case,plant,view,variable,entries,near_zero,warnings,max_abs_diff_p50,max_abs_diff_p95,max_abs_diff_max,max_abs_diff_worst_task,max_abs_diff_worst_step,max_abs_diff_worst_time,max_abs_diff_worst_exact_time,center_abs_diff_p50,center_abs_diff_p95,center_abs_diff_max,center_abs_diff_worst_task,center_abs_diff_worst_step,center_abs_diff_worst_time,center_abs_diff_worst_exact_time,gpu_cpu_width_ratio_p50,gpu_cpu_width_ratio_p95,gpu_cpu_width_ratio_max,gpu_cpu_width_ratio_worst_task,gpu_cpu_width_ratio_worst_step,gpu_cpu_width_ratio_worst_time,gpu_cpu_width_ratio_worst_exact_time
history,brusselator,endpoint,x,3,0,0,0.0,9.992007221626408e-17,1.1102230246251565e-16,0,1001,20.02,5770372130557269235/288230376151711744,0.0,9.992007221626408e-17,1.1102230246251565e-16,0,1001,20.02,5770372130557269235/288230376151711744,1.0,1.0,1.0,0,999,19.98,5758842915511200765/288230376151711744
history,brusselator,endpoint,y,3,0,0,0.0,7.993605777301126e-16,8.881784197001252e-16,0,1001,20.02,5770372130557269235/288230376151711744,0.0,0.0,0.0,0,999,19.98,5758842915511200765/288230376151711744,1.0,1.0,1.0,0,999,19.98,5758842915511200765/288230376151711744
history,brusselator,tube,x,3,0,0,0.0,4.996003610813204e-17,5.551115123125783e-17,0,1000,20.0,720575940379279375/36028797018963968,0.0,4.996003610813204e-17,5.551115123125783e-17,0,1000,20.0,720575940379279375/36028797018963968,1.0,1.0,1.0,0,999,19.98,5758842915511200765/288230376151711744
history,brusselator,tube,y,3,0,0,0.0,0.0,0.0,0,999,19.98,5758842915511200765/288230376151711744,0.0,0.0,0.0,0,999,19.98,5758842915511200765/288230376151711744,1.0,1.0,1.0,0,999,19.98,5758842915511200765/288230376151711744
history,van_der_pol,endpoint,x,3,0,0,0.0,0.0,0.0,0,99,0.99,570696144780389265/576460752303423488,0.0,0.0,0.0,0,99,0.99,570696144780389265/576460752303423488,1.0,1.0,1.0,0,99,0.99,570696144780389265/576460752303423488
history,van_der_pol,endpoint,y,3,0,0,0.0,4.996003610813204e-17,5.551115123125783e-17,0,100,1.0,144115188075855875/144115188075855872,0.0,0.0,0.0,0,99,0.99,570696144780389265/576460752303423488,1.0,1.0,1.0,0,99,0.99,570696144780389265/576460752303423488
history,van_der_pol,tube,x,3,0,0,0.0,1.9984014443252816e-16,2.220446049250313e-16,0,101,1.01,582225359826457735/576460752303423488,0.0,1.9984014443252816e-16,2.220446049250313e-16,0,101,1.01,582225359826457735/576460752303423488,1.0,1.0,1.0,0,99,0.99,570696144780389265/576460752303423488
history,van_der_pol,tube,y,3,0,0,0.0,4.996003610813204e-17,5.551115123125783e-17,0,100,1.0,144115188075855875/144115188075855872,0.0,0.0,0.0,0,99,0.99,570696144780389265/576460752303423488,1.0,1.0,1.0,0,99,0.99,570696144780389265/576460752303423488
long-b2,brusselator,endpoint,x,240,0,0,0.0,1.1102230246251565e-16,4.440892098500626e-16,31,16,0.32,5764607523034235/18014398509481984,0.0,0.0,4.440892098500626e-16,0,35,0.7000000000000001,201761263306198225/288230376151711744,1.0,1.0,1.0,31,1,0.02,5764607523034235/288230376151711744
long-b2,brusselator,endpoint,y,240,0,0,0.0,0.0,4.440892098500626e-16,0,17,0.34,97998327891581995/288230376151711744,0.0,0.0,2.220446049250313e-16,0,31,0.62,178702833214061285/288230376151711744,1.0,1.0,1.0,31,1,0.02,5764607523034235/288230376151711744
long-b2,brusselator,tube,x,240,0,0,0.0,1.1657341758563954e-16,4.440892098500626e-16,31,13,0.26,74939897799445055/288230376151711744,0.0,0.0,4.440892098500626e-16,31,13,0.26,74939897799445055/288230376151711744,1.0,1.0,1.0,31,1,0.02,5764607523034235/288230376151711744
long-b2,brusselator,tube,y,240,0,0,0.0,1.1102230246247779e-17,4.440892098500626e-16,31,14,0.28,40352252661239645/144115188075855872,0.0,0.0,4.440892098500626e-16,31,16,0.32,5764607523034235/18014398509481984,1.0,1.0,1.0,31,1,0.02,5764607523034235/288230376151711744
long-b2,van_der_pol,endpoint,x,240,0,0,0.0,2.220446049250313e-16,4.440892098500626e-16,31,62,0.62,178702833214061285/288230376151711744,0.0,0.0,4.440892098500626e-16,31,83,0.8300000000000001,478462424411841505/576460752303423488,1.0,1.0,1.0,31,1,0.01,5764607523034235/576460752303423488
long-b2,van_der_pol,endpoint,y,240,0,0,0.0,1.1102230246251565e-16,4.440892098500626e-16,0,10,0.1,28823037615171175/288230376151711744,0.0,6.938893903907228e-18,1.1102230246251565e-16,0,39,0.39,224819693398335165/576460752303423488,1.0,1.0,1.0000000000000033,0,32,0.32,5764607523034235/18014398509481984
long-b2,van_der_pol,tube,x,240,0,0,0.0,2.220446049250313e-16,4.440892098500626e-16,31,43,0.43,247878123490472105/576460752303423488,0.0,0.0,4.440892098500626e-16,31,84,0.84,121056757983718935/144115188075855872,1.0,1.0,1.0,31,1,0.01,5764607523034235/576460752303423488
long-b2,van_der_pol,tube,y,240,0,0,0.0,1.1102230246251565e-16,2.220446049250313e-16,31,10,0.1,28823037615171175/288230376151711744,0.0,2.9143354396409886e-17,2.220446049250313e-16,31,19,0.19,109527542937650465/576460752303423488,1.0,1.0,1.0,31,1,0.01,5764607523034235/576460752303423488
original,brusselator,endpoint,x,20,0,0,0.0,2.3314683517128303e-16,4.440892098500626e-16,0,16,0.32,5764607523034235/18014398509481984,0.0,0.0,0.0,0,1,0.02,5764607523034235/288230376151711744,1.0,1.0,1.0,0,1,0.02,5764607523034235/288230376151711744
original,brusselator,endpoint,y,20,0,0,0.0,4.440892098500626e-16,4.440892098500626e-16,0,3,0.06,17293822569102705/288230376151711744,0.0,2.2204460492503446e-17,4.440892098500626e-16,0,17,0.34,97998327891581995/288230376151711744,1.0,1.0,1.0,0,1,0.02,5764607523034235/288230376151711744
original,brusselator,tube,x,20,0,0,0.0,4.440892098500626e-16,4.440892098500626e-16,0,15,0.3,86469112845513525/288230376151711744,0.0,4.440892098500626e-16,4.440892098500626e-16,0,15,0.3,86469112845513525/288230376151711744,1.0,1.0,1.0,0,1,0.02,5764607523034235/288230376151711744
original,brusselator,tube,y,20,0,0,1.1102230246251565e-16,4.440892098500626e-16,4.440892098500626e-16,0,5,0.1,28823037615171175/288230376151711744,0.0,4.440892098500626e-16,4.440892098500626e-16,0,5,0.1,28823037615171175/288230376151711744,0.9999999999999996,1.0,1.0,0,1,0.02,5764607523034235/288230376151711744
original,van_der_pol,endpoint,x,20,0,0,0.0,2.220446049250313e-16,2.220446049250313e-16,0,3,0.03,17293822569102705/576460752303423488,0.0,0.0,0.0,0,1,0.01,5764607523034235/576460752303423488,1.0,1.0,1.0,0,1,0.01,5764607523034235/576460752303423488
original,van_der_pol,endpoint,y,20,0,0,0.0,4.440892098500626e-16,4.440892098500626e-16,0,3,0.03,17293822569102705/576460752303423488,0.0,0.0,0.0,0,1,0.01,5764607523034235/576460752303423488,1.0,1.0,1.0,0,1,0.01,5764607523034235/576460752303423488
original,van_der_pol,tube,x,20,0,0,0.0,2.220446049250313e-16,2.220446049250313e-16,0,3,0.03,17293822569102705/576460752303423488,0.0,1.1102230246251723e-17,2.220446049250313e-16,0,9,0.09,51881467707308115/576460752303423488,1.0,1.0,1.0,0,1,0.01,5764607523034235/576460752303423488
original,van_der_pol,tube,y,20,0,0,0.0,4.440892098500626e-16,4.440892098500626e-16,0,3,0.03,17293822569102705/576460752303423488,0.0,2.3314683517128303e-16,4.440892098500626e-16,0,9,0.09,51881467707308115/576460752303423488,1.0,1.0,1.0,0,1,0.01,5764607523034235/576460752303423488
prefix-b32,brusselator,endpoint,x,640,0,0,0.0,0.0,4.440892098500626e-16,22,13,0.26,74939897799445055/288230376151711744,0.0,0.0,4.440892098500626e-16,2,18,0.36,51881467707308115/144115188075855872,1.0,1.0,1.0,7,1,0.02,5764607523034235/288230376151711744
prefix-b32,brusselator,endpoint,y,640,0,0,0.0,0.0,4.440892098500626e-16,24,15,0.3,86469112845513525/288230376151711744,0.0,0.0,2.220446049250313e-16,5,18,0.36,51881467707308115/144115188075855872,1.0,1.0,1.0,7,1,0.02,5764607523034235/288230376151711744
prefix-b32,brusselator,tube,x,640,0,0,0.0,0.0,4.440892098500626e-16,24,17,0.34,97998327891581995/288230376151711744,0.0,0.0,4.440892098500626e-16,31,13,0.26,74939897799445055/288230376151711744,1.0,1.0,1.0,7,1,0.02,5764607523034235/288230376151711744
prefix-b32,brusselator,tube,y,640,0,0,0.0,0.0,4.440892098500626e-16,7,4,0.08,5764607523034235/72057594037927936,0.0,0.0,4.440892098500626e-16,31,16,0.32,5764607523034235/18014398509481984,1.0,1.0,1.0,7,1,0.02,5764607523034235/288230376151711744
prefix-b32,van_der_pol,endpoint,x,640,0,0,0.0,2.220446049250313e-16,2.220446049250313e-16,5,4,0.04,5764607523034235/144115188075855872,0.0,0.0,0.0,14,1,0.01,5764607523034235/576460752303423488,1.0,1.0,1.0,14,1,0.01,5764607523034235/576460752303423488
prefix-b32,van_der_pol,endpoint,y,640,0,0,0.0,2.220446049250313e-16,4.440892098500626e-16,5,12,0.12,17293822569102705/144115188075855872,0.0,0.0,4.440892098500626e-16,4,13,0.13,74939897799445055/576460752303423488,1.0,1.0,1.0000000000000042,20,14,0.14,40352252661239645/288230376151711744
prefix-b32,van_der_pol,tube,x,640,0,0,0.0,2.220446049250313e-16,2.220446049250313e-16,14,5,0.05,28823037615171175/576460752303423488,0.0,0.0,2.220446049250313e-16,14,5,0.05,28823037615171175/576460752303423488,1.0,1.0,1.0,14,1,0.01,5764607523034235/576460752303423488
prefix-b32,van_der_pol,tube,y,640,0,0,0.0,2.220446049250313e-16,4.440892098500626e-16,14,5,0.05,28823037615171175/576460752303423488,0.0,0.0,4.440892098500626e-16,25,10,0.1,28823037615171175/288230376151711744,1.0,1.0,1.0000000000000022,5,18,0.18,51881467707308115/288230376151711744
prefix-b8,brusselator,endpoint,x,160,0,0,0.0,0.0,4.440892098500626e-16,20,17,0.34,97998327891581995/288230376151711744,0.0,0.0,0.0,20,1,0.02,5764607523034235/288230376151711744,1.0,1.0,1.0,20,1,0.02,5764607523034235/288230376151711744
prefix-b8,brusselator,endpoint,y,160,0,0,0.0,0.0,4.440892098500626e-16,24,15,0.3,86469112845513525/288230376151711744,0.0,0.0,0.0,20,1,0.02,5764607523034235/288230376151711744,1.0,1.0,1.0,20,1,0.02,5764607523034235/288230376151711744
prefix-b8,brusselator,tube,x,160,0,0,0.0,1.1102230246247779e-17,4.440892098500626e-16,8,14,0.28,40352252661239645/144115188075855872,0.0,0.0,2.220446049250313e-16,0,13,0.26,74939897799445055/288230376151711744,1.0,1.0,1.0,20,1,0.02,5764607523034235/288230376151711744
prefix-b8,brusselator,tube,y,160,0,0,0.0,0.0,4.440892098500626e-16,12,5,0.1,28823037615171175/288230376151711744,0.0,0.0,0.0,20,1,0.02,5764607523034235/288230376151711744,1.0,1.0,1.0,20,1,0.02,5764607523034235/288230376151711744
prefix-b8,van_der_pol,endpoint,x,160,0,0,0.0,2.220446049250313e-16,2.220446049250313e-16,12,9,0.09,51881467707308115/576460752303423488,0.0,0.0,0.0,12,1,0.01,5764607523034235/576460752303423488,1.0,1.0,1.0,12,1,0.01,5764607523034235/576460752303423488
prefix-b8,van_der_pol,endpoint,y,160,0,0,0.0,2.331468351712791e-16,4.440892098500626e-16,12,10,0.1,28823037615171175/288230376151711744,0.0,0.0,4.440892098500626e-16,4,13,0.13,74939897799445055/576460752303423488,1.0,1.0,1.0000000000000042,20,14,0.14,40352252661239645/288230376151711744
prefix-b8,van_der_pol,tube,x,160,0,0,0.0,2.220446049250313e-16,2.220446049250313e-16,12,3,0.03,17293822569102705/576460752303423488,0.0,0.0,2.220446049250313e-16,8,15,0.15,86469112845513525/576460752303423488,1.0,1.0,1.0,12,1,0.01,5764607523034235/576460752303423488
prefix-b8,van_der_pol,tube,y,160,0,0,0.0,2.220446049250313e-16,4.440892098500626e-16,28,8,0.08,5764607523034235/72057594037927936,0.0,0.0,2.220446049250313e-16,0,15,0.15,86469112845513525/576460752303423488,1.0,1.0,1.0,12,1,0.01,5764607523034235/576460752303423488
small-b1,brusselator,endpoint,x,2,0,0,0.0,0.0,0.0,0,1,0.02,5764607523034235/288230376151711744,0.0,0.0,0.0,0,1,0.02,5764607523034235/288230376151711744,1.0,1.0,1.0,0,1,0.02,5764607523034235/288230376151711744
small-b1,brusselator,endpoint,y,2,0,0,0.0,0.0,0.0,0,1,0.02,5764607523034235/288230376151711744,0.0,0.0,0.0,0,1,0.02,5764607523034235/288230376151711744,1.0,1.0,1.0,0,1,0.02,5764607523034235/288230376151711744
small-b1,brusselator,tube,x,2,0,0,0.0,0.0,0.0,0,1,0.02,5764607523034235/288230376151711744,0.0,0.0,0.0,0,1,0.02,5764607523034235/288230376151711744,1.0,1.0,1.0,0,1,0.02,5764607523034235/288230376151711744
small-b1,brusselator,tube,y,2,0,0,0.0,0.0,0.0,0,1,0.02,5764607523034235/288230376151711744,0.0,0.0,0.0,0,1,0.02,5764607523034235/288230376151711744,1.0,1.0,1.0,0,1,0.02,5764607523034235/288230376151711744
small-b1,van_der_pol,endpoint,x,2,0,0,0.0,0.0,0.0,0,1,0.01,5764607523034235/576460752303423488,0.0,0.0,0.0,0,1,0.01,5764607523034235/576460752303423488,1.0,1.0,1.0,0,1,0.01,5764607523034235/576460752303423488
small-b1,van_der_pol,endpoint,y,2,0,0,0.0,0.0,0.0,0,1,0.01,5764607523034235/576460752303423488,0.0,0.0,0.0,0,1,0.01,5764607523034235/576460752303423488,1.0,1.0,1.0,0,1,0.01,5764607523034235/576460752303423488
small-b1,van_der_pol,tube,x,2,0,0,0.0,0.0,0.0,0,1,0.01,5764607523034235/576460752303423488,0.0,0.0,0.0,0,1,0.01,5764607523034235/576460752303423488,1.0,1.0,1.0,0,1,0.01,5764607523034235/576460752303423488
small-b1,van_der_pol,tube,y,2,0,0,0.0,0.0,0.0,0,1,0.01,5764607523034235/576460752303423488,0.0,0.0,0.0,0,1,0.01,5764607523034235/576460752303423488,1.0,1.0,1.0,0,1,0.01,5764607523034235/576460752303423488
small-b2,brusselator,endpoint,x,4,0,0,0.0,0.0,0.0,0,1,0.02,5764607523034235/288230376151711744,0.0,0.0,0.0,0,1,0.02,5764607523034235/288230376151711744,1.0,1.0,1.0,0,1,0.02,5764607523034235/288230376151711744
small-b2,brusselator,endpoint,y,4,0,0,0.0,0.0,0.0,0,1,0.02,5764607523034235/288230376151711744,0.0,0.0,0.0,0,1,0.02,5764607523034235/288230376151711744,1.0,1.0,1.0,0,1,0.02,5764607523034235/288230376151711744
small-b2,brusselator,tube,x,4,0,0,0.0,0.0,0.0,0,1,0.02,5764607523034235/288230376151711744,0.0,0.0,0.0,0,1,0.02,5764607523034235/288230376151711744,1.0,1.0,1.0,0,1,0.02,5764607523034235/288230376151711744
small-b2,brusselator,tube,y,4,0,0,0.0,0.0,0.0,0,1,0.02,5764607523034235/288230376151711744,0.0,0.0,0.0,0,1,0.02,5764607523034235/288230376151711744,1.0,1.0,1.0,0,1,0.02,5764607523034235/288230376151711744
small-b2,van_der_pol,endpoint,x,4,0,0,0.0,1.8873791418627653e-16,2.220446049250313e-16,31,2,0.02,5764607523034235/288230376151711744,0.0,0.0,0.0,31,1,0.01,5764607523034235/576460752303423488,1.0,1.0,1.0,31,1,0.01,5764607523034235/576460752303423488
small-b2,van_der_pol,endpoint,y,4,0,0,0.0,0.0,0.0,31,1,0.01,5764607523034235/576460752303423488,0.0,0.0,0.0,31,1,0.01,5764607523034235/576460752303423488,1.0,1.0,1.0,31,1,0.01,5764607523034235/576460752303423488
