plant,step,t_end_exact,metric,archived_lower,archived_upper,archive_equal_to_base,optimized_lower,optimized_upper,fresh_pair_equal,status
brusselator,1,5764607523034235/288230376151711744,endpoint_x,1.5127036632418787,1.5587985840817924,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,1,5764607523034235/288230376151711744,endpoint_y,2.9323283041647143,2.975459354504746,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,1,5764607523034235/288230376151711744,tube_x,1.4769643301053195,1.5587997814190342,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,1,5764607523034235/288230376151711744,tube_y,2.93041534373559,3.0234653712337343,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,2,5764607523034235/144115188075855872,endpoint_x,1.5463761512597176,1.5995568289904463,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,2,5764607523034235/144115188075855872,endpoint_y,2.882151718027856,2.929036268761628,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,2,5764607523034235/144115188075855872,tube_x,1.5091610849669643,1.599560475664733,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,2,5764607523034235/144115188075855872,tube_y,2.879988090442659,2.9794957467883094,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,3,17293822569102705/288230376151711744,endpoint_x,1.5812330143145414,1.6420417716863276,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,3,17293822569102705/288230376151711744,endpoint_y,2.8296820619328633,2.880477517200108,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,3,17293822569102705/288230376151711744,tube_x,1.542558504555239,1.642050100228244,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,3,17293822569102705/288230376151711744,tube_y,2.82723976496597,2.933429250009568,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,4,5764607523034235/72057594037927936,endpoint_x,1.6172348433671606,1.6862124799735374,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,4,5764607523034235/72057594037927936,endpoint_y,2.7749418026833594,2.8297835083504186,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,4,5764607523034235/72057594037927936,tube_x,1.5771400487046197,1.6862265640478284,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,4,5764607523034235/72057594037927936,tube_y,2.7721880313653253,2.8852488009853534,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,5,28823037615171175/288230376151711744,endpoint_x,1.654323576054368,1.7319953954935234,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,5,28823037615171175/288230376151711744,endpoint_y,2.717984429542491,2.776977016553929,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,5,28823037615171175/288230376151711744,tube_x,1.612873183600804,1.7320163996256255,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,5,28823037615171175/288230376151711744,tube_y,2.7148885952469546,2.8349482840988482,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,6,17293822569102705/144115188075855872,endpoint_x,1.6924201921285364,1.7792786458552614,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,6,17293822569102705/144115188075855872,endpoint_y,2.6588996222700265,2.72210711110098,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,6,17293822569102705/144115188075855872,tube_x,1.6497084277421035,1.7793078016632742,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,6,17293822569102705/144115188075855872,tube_y,2.655431148554631,2.7825455441356635,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,7,40352252661239645/288230376151711744,endpoint_x,1.7314225405126513,1.827906483953842,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,7,40352252661239645/288230376151711744,endpoint_y,2.5978182301679418,2.6652531734046794,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,7,40352252661239645/288230376151711744,tube_x,1.6875771061125615,1.8279450093106397,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,7,40352252661239645/288230376151711744,tube_y,2.593947553205131,2.728083249990641,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,8,5764607523034235/36028797018963968,endpoint_x,1.7712034662823395,1.8776742320575164,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,8,5764607523034235/36028797018963968,endpoint_y,2.5349167301435727,2.606528776792372,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,8,5764607523034235/36028797018963968,tube_x,1.7263887420449675,1.877723581961918,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,8,5764607523034235/36028797018963968,tube_y,2.5306167297875257,2.671632673626508,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,9,51881467707308115/288230376151711744,endpoint_x,1.8116093808123521,1.928324270576033,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,9,51881467707308115/288230376151711744,endpoint_y,2.4704206980014884,2.5460851920110756,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,9,51881467707308115/288230376151711744,tube_x,1.766028884493343,1.9283863901391307,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,9,51881467707308115/288230376151711744,tube_y,2.46566822587049,2.6132977770585266,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,10,28823037615171175/144115188075855872,endpoint_x,1.8524594000763894,1.9795437211459983,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,10,28823037615171175/144115188075855872,endpoint_y,2.404606745304977,2.484114247911486,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,10,28823037615171175/144115188075855872,tube_x,1.8063588329886926,1.9796195831350432,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,10,28823037615171175/144115188075855872,tube_y,2.399383589261432,2.5532197217920163,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,11,63410682753376585/288230376151711744,endpoint_x,1.8935452559153152,2.030964446495234,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,11,63410682753376585/288230376151711744,endpoint_y,2.3378024228308516,2.420850174338819,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,11,63410682753376585/288230376151711744,tube_x,1.8472120316113918,2.0310545655199586,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,11,63410682753376585/288230376151711744,tube_y,2.3320997966901773,2.491576710187341,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,12,17293822569102705/72057594037927936,endpoint_x,1.9346316371377177,2.0821665111580105,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,12,17293822569102705/72057594037927936,endpoint_y,2.270383501561498,2.356570137567086,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,12,17293822569102705/72057594037927936,tube_x,1.888340216037718,2.08232371751359,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,12,17293822569102705/72057594037927936,tube_y,2.2642033334431493,2.4285896745225357,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,13,74939897799445055/288230376151711744,endpoint_x,1.9754535547226004,2.1326891596555995,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,13,74939897799445055/288230376151711744,endpoint_y,2.2027632941750888,2.2915980744790168,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,13,74939897799445055/288230376151711744,tube_x,1.9294373209580002,2.1330425766722443,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,13,74939897799445055/288230376151711744,tube_y,2.196119506899518,2.3645284333402583,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,14,40352252661239645/144115188075855872,endpoint_x,2.015368368654769,2.1823930755970893,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,14,40352252661239645/144115188075855872,endpoint_y,2.1318137788465834,2.2298705610756375,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,14,40352252661239645/144115188075855872,tube_x,1.969935763721596,2.1830254040260724,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,14,40352252661239645/144115188075855872,tube_y,2.124048289276196,2.303965384291314,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,15,86469112845513525/288230376151711744,endpoint_x,2.0543436497737635,2.2304877472056006,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,15,86469112845513525/288230376151711744,endpoint_y,2.0609930126384364,2.168795162031814,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,15,86469112845513525/288230376151711744,tube_x,2.009888377837654,2.231416060566029,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,15,86469112845513525/288230376151711744,tube_y,2.051774483450986,2.243953674685375,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,16,5764607523034235/18014398509481984,endpoint_x,2.0921324618485437,2.276380717090723,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,16,5764607523034235/18014398509481984,endpoint_y,1.9914571630264635,2.1081144219288905,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,16,5764607523034235/18014398509481984,tube_x,2.049065944129263,2.277612857513329,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,16,5764607523034235/18014398509481984,tube_y,1.9806930734877168,2.183980226306,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,17,97998327891581995/288230376151711744,endpoint_x,2.1283361807053782,2.319640566947612,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,17,97998327891581995/288230376151711744,endpoint_y,1.9237025925891773,2.048238061297917,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,17,97998327891581995/288230376151711744,tube_x,2.0870752144240723,2.3211747189721983,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,17,97998327891581995/288230376151711744,tube_y,1.9114074345984253,2.124343663939195,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,18,51881467707308115/144115188075855872,endpoint_x,2.1626572075595054,2.359770246322751,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,18,51881467707308115/144115188075855872,endpoint_y,1.8581975293579662,1.98958483314381,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,18,51881467707308115/144115188075855872,tube_x,2.1236122871731347,2.361593006117755,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,18,51881467707308115/144115188075855872,tube_y,1.844430048309788,2.065428234604078,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,19,109527542937650465/288230376151711744,endpoint_x,2.1947339806674115,2.3964000804543413,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,19,109527542937650465/288230376151711744,endpoint_y,1.7953832640437637,1.9325523081722493,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,19,109527542937650465/288230376151711744,tube_x,2.1582951105502097,2.398487139284575,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,19,109527542937650465/288230376151711744,tube_y,1.7802398750515025,2.007617584528193,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,20,28823037615171175/72057594037927936,endpoint_x,2.2244038227136733,2.429048268617819,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,20,28823037615171175/72057594037927936,endpoint_y,1.7357247157569304,1.8774414689266072,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,20,28823037615171175/72057594037927936,tube_x,2.1909278215402637,2.4313647224214368,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,20,28823037615171175/72057594037927936,tube_y,1.7193499765932643,1.9512014393282036,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,21,121056757983718935/288230376151711744,endpoint_x,2.2514317993983153,2.457414253111513,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,21,121056757983718935/288230376151711744,endpoint_y,1.6796088044300699,1.8245341276760993,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,21,121056757983718935/288230376151711744,tube_x,2.221229417288996,2.4599171630873804,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,21,121056757983718935/288230376151711744,tube_y,1.6621907804221,1.89646629470574,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,22,63410682753376585/144115188075855872,endpoint_x,2.2756133116889767,2.481290576290121,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,22,63410682753376585/144115188075855872,endpoint_y,1.6273071894473352,1.7741134196299173,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,22,63410682753376585/144115188075855872,tube_x,2.248908584866193,2.483962108743519,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,22,63410682753376585/144115188075855872,tube_y,1.6090601406839817,1.8437259498936551,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,23,132585973029787405/288230376151711744,endpoint_x,2.296672575923119,2.5006732984557893,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,23,132585973029787405/288230376151711744,endpoint_y,1.578997900902493,1.7264307090832733,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,23,132585973029787405/288230376151711744,tube_x,2.2736129605411595,2.5035063649158276,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,23,132585973029787405/288230376151711744,tube_y,1.5601518421559786,1.7932783794536735,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,24,17293822569102705/36028797018963968,endpoint_x,2.3143503855799974,2.5156753768137556,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,24,17293822569102705/36028797018963968,endpoint_y,1.5346747198224409,1.6817924124726142,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,24,17293822569102705/36028797018963968,tube_x,2.2950581209365133,2.5186214480783202,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,24,17293822569102705/36028797018963968,tube_y,1.515427504374603,1.7455266795250999,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,25,144115188075855875/288230376151711744,endpoint_x,2.328785622423778,2.526138612483592,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,25,144115188075855875/288230376151711744,endpoint_y,1.4943018898150333,1.6404092187583248,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,25,144115188075855875/288230376151711744,tube_x,2.3133166101779694,2.5291512127773785,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,25,144115188075855875/288230376151711744,tube_y,1.4747750312506243,1.7008213380173733,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,26,74939897799445055/144115188075855872,endpoint_x,2.339967930626518,2.5321733640959825,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,26,74939897799445055/144115188075855872,endpoint_y,1.4580335769218544,1.6021817361922592,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,26,74939897799445055/144115188075855872,tube_x,2.328308964192274,2.535215930843905,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
brusselator,26,74939897799445055/144115188075855872,tube_y,1.4384471374002787,1.6590240235001603,True,,,,NOT_RUN_REFERENCE_DEFECT_STOP
