plant,batch,mode,requests,groups,median_s,min_s,max_s,requests_per_second,effective_mean_group_size,singleton_request_fraction,median_group_size,max_group_size,peak_allocated_bytes
brusselator,1,B_cpu_full,326,326,0.403458128,0.402333043,0.410243657,808.0144564592833,1.0,1.0,1.0,1,1224704
brusselator,1,CPU_tensor_compute,326,326,0.321705167,0.320767976,0.323145945,1013.3502145459789,1.0,1.0,1.0,1,1224704
brusselator,1,GPU_full_roundtrip,326,326,0.249088371,0.245855537,0.249305303,1308.772459714709,1.0,1.0,1.0,1,1232896
brusselator,1,GPU_resident,326,326,0.044818637,0.043652875,0.045318537,7273.759797737714,1.0,1.0,1.0,1,2420736
brusselator,1,S_scalar_full,326,326,0.209987395,0.209157644,0.216357567,1552.47413779289,1.0,1.0,1.0,1,1224704
brusselator,8,B_cpu_full,2608,326,1.04814875,1.04076197,1.053316509,2488.196451123946,8.0,0.0,8.0,8,1226752
brusselator,8,CPU_tensor_compute,2608,326,0.855756707,0.850865775,1.082695039,3047.5951618805134,8.0,0.0,8.0,8,1226752
brusselator,8,GPU_full_roundtrip,2608,326,0.362031124,0.360442224,0.36763926,7203.800521857895,8.0,0.0,8.0,8,1236992
brusselator,8,GPU_resident,2608,326,0.045941616,0.045281991,0.047942982,56767.7027294817,8.0,0.0,8.0,8,2424832
brusselator,8,S_scalar_full,2608,326,1.683789135,1.678419605,1.702689277,1548.887533354941,8.0,0.0,8.0,8,1226752
brusselator,32,B_cpu_full,10432,326,3.202794764,3.19932888,3.213433956,3257.1553186166007,32.0,0.0,32.0,32,1617920
brusselator,32,CPU_tensor_compute,10432,326,2.644766496,2.631950301,2.895911578,3944.3935847559983,32.0,0.0,32.0,32,1617920
brusselator,32,GPU_full_roundtrip,10432,326,0.739785818,0.737388019,0.744659873,14101.378731756115,32.0,0.0,32.0,32,1637376
brusselator,32,GPU_resident,10432,326,0.045433024,0.045067449,0.047093036,229612.71519148714,32.0,0.0,32.0,32,3350528
brusselator,32,S_scalar_full,10432,326,6.768963263,6.754000351,7.027360025,1541.1518122756875,32.0,0.0,32.0,32,1617920
van_der_pol,1,B_cpu_full,238,238,0.288628458,0.285964362,0.295763176,824.589514316014,1.0,1.0,1.0,1,892416
van_der_pol,1,CPU_tensor_compute,238,238,0.227961913,0.226335884,0.235461228,1044.0340531797522,1.0,1.0,1.0,1,892416
van_der_pol,1,GPU_full_roundtrip,238,238,0.17836963,0.17782386,0.179672392,1334.307863956437,1.0,1.0,1.0,1,900608
van_der_pol,1,GPU_resident,238,238,0.032700008,0.032176835,0.033786737,7278.285681153349,1.0,1.0,1.0,1,1764864
van_der_pol,1,S_scalar_full,238,238,0.150662279,0.150450219,0.154724599,1579.6920209868854,1.0,1.0,1.0,1,892416
van_der_pol,8,B_cpu_full,1904,238,0.756978856,0.754104509,0.760682167,2515.261800126158,8.0,0.0,8.0,8,894464
van_der_pol,8,CPU_tensor_compute,1904,238,0.612402617,0.606392606,0.61551009,3109.065747183115,8.0,0.0,8.0,8,894464
van_der_pol,8,GPU_full_roundtrip,1904,238,0.264633727,0.259518045,0.268194809,7194.850110696586,8.0,0.0,8.0,8,904704
van_der_pol,8,GPU_resident,1904,238,0.033350792,0.032021153,0.033867072,57090.098490014876,8.0,0.0,8.0,8,1768960
van_der_pol,8,S_scalar_full,1904,238,1.211858168,1.199514487,1.22040087,1571.14095549835,8.0,0.0,8.0,8,894464
van_der_pol,32,B_cpu_full,7616,238,2.30820229,2.293001645,2.560909629,3299.5374941769073,32.0,0.0,32.0,32,1115648
van_der_pol,32,CPU_tensor_compute,7616,238,1.895766244,1.883193883,1.91670218,4017.372935141259,32.0,0.0,32.0,32,1115648
van_der_pol,32,GPU_full_roundtrip,7616,238,0.539979857,0.531401602,0.805715964,14104.229817594845,32.0,0.0,32.0,32,1134080
van_der_pol,32,GPU_resident,7616,238,0.03336443,0.033056505,0.034018358,228267.04966936345,32.0,0.0,32.0,32,2330112
van_der_pol,32,S_scalar_full,7616,238,4.879528478,4.839153203,4.895131611,1560.8065480789269,32.0,0.0,32.0,32,1115648
