plant,batch,backend,scope,sparse_input_packing_s,grouping_and_packing_s,compute_and_transfers_s,scatter_and_wrap_s,fallback_s,h2d_and_structure_s,kernel_and_sync_s,d2h_and_checks_s
brusselator,1,cpu,SEPARATE_INSTRUMENTED_TRAVERSAL,0.01051956182345748,0.05997284268960357,0.33161972649395466,0.0065153525210917,0.00012260954827070236,0.0,0.0,0.0
brusselator,1,cuda,SEPARATE_INSTRUMENTED_TRAVERSAL,0.010649403091520071,0.0609800023958087,0.16603505052626133,0.0081930928863585,0.00010787695646286011,0.060500350780785084,0.05580191453918815,0.04231733921915293
brusselator,8,cpu,SEPARATE_INSTRUMENTED_TRAVERSAL,0.05609723739326,0.09498697007074952,0.8538158028386533,0.03306410042569041,0.00011831009760499,0.0,0.0,0.0
brusselator,8,cuda,SEPARATE_INSTRUMENTED_TRAVERSAL,0.056237553246319294,0.09757439885288477,0.1700433469377458,0.03508559800684452,0.0001216307282447815,0.061924250330775976,0.057375285774469376,0.04305786406621337
brusselator,32,cpu,SEPARATE_INSTRUMENTED_TRAVERSAL,0.21738096931949258,0.2005988322198391,2.600186217110604,0.1288034967146814,0.00011618435382843018,0.0,0.0,0.0
brusselator,32,cuda,SEPARATE_INSTRUMENTED_TRAVERSAL,0.21147796791046858,0.20033686235547066,0.17182370275259018,0.12648667488247156,0.00011632498353719711,0.06245871214196086,0.0574300792068243,0.0440930943004787
van_der_pol,1,cpu,SEPARATE_INSTRUMENTED_TRAVERSAL,0.0070562418550252914,0.042814929503947496,0.22968325717374682,0.004641770850867033,7.98441469669342e-05,0.0,0.0,0.0
van_der_pol,1,cuda,SEPARATE_INSTRUMENTED_TRAVERSAL,0.007831895723938942,0.04413905739784241,0.12109833117574453,0.006002894137054682,8.066929876804352e-05,0.043889683205634356,0.04075808683410287,0.03054716531187296
van_der_pol,8,cpu,SEPARATE_INSTRUMENTED_TRAVERSAL,0.04009580332785845,0.0695525691844523,0.6133143794722855,0.024377285037189722,8.83699394762516e-05,0.0,0.0,0.0
van_der_pol,8,cuda,SEPARATE_INSTRUMENTED_TRAVERSAL,0.03918807581067085,0.07012788904830813,0.12312719784677029,0.02523414883762598,8.336594328284264e-05,0.044814199674874544,0.0414498345926404,0.03138996288180351
van_der_pol,32,cpu,SEPARATE_INSTRUMENTED_TRAVERSAL,0.1567393490113318,0.14490143721923232,1.8719473420642316,0.0933120814152062,8.61980952322483e-05,0.0,0.0,0.0
van_der_pol,32,cuda,SEPARATE_INSTRUMENTED_TRAVERSAL,0.15357192512601614,0.1461412962526083,0.12570822425186634,0.0930862626992166,8.372962474822998e-05,0.045621203258633614,0.041908822022378445,0.032470250967890024
