file,line,function,primitive_calls,calls,self_seconds,inclusive_seconds_not_additive
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,56,__init__,19804,19804,0.22672846300000002,0.761742718
~,0,<method 'clone' of 'torch._C.TensorBase' objects>,92551,92551,0.18659175600000003,0.18659175600000003
~,0,<built-in method torch.any>,60493,60493,0.147738542,0.147738542
~,0,<built-in method torch.stack>,17964,17964,0.11498459000000001,0.11498459000000001
~,0,<built-in method torch.min>,15220,15220,0.11007601700000001,0.11007601700000001
~,0,<built-in method torch.max>,16586,16586,0.10251127500000001,0.10251127500000001
~,0,<built-in method torch.full_like>,37931,37931,0.094436714,0.094436714
~,0,<method 'pow' of 'torch._C.TensorBase' objects>,30763,30763,0.089303196,0.089303196
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,483,_power_interval_bounds,1314,1314,0.08391424,0.37769135800000003
~,0,<built-in method torch.nextafter>,37920,37920,0.083214298,0.083214298
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,152,__mul__,5972,5972,0.079270346,0.5108030960000001
~,0,<built-in method torch.isnan>,39608,39608,0.076694762,0.076694762
~,0,<method 'reshape' of 'torch._C.TensorBase' objects>,44128,44128,0.069466992,0.069466992
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1127,validate_dense_subdivision_cover,438,438,0.06927593400000001,0.152610137
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,15,_as_tensor,39610,39610,0.06677447,0.23835710400000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,175,pow_int,5200,5200,0.063987999,0.35372409200000005
~,0,<built-in method torch.all>,14856,14856,0.044140910000000005,0.044140910000000005
~,0,<built-in method torch.abs>,16382,16382,0.042008186,0.042008186
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,516,_monomial_interval_bounds_for_exponents,438,438,0.039743514,0.5082852400000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,393,_interval_mul,1713,1713,0.03699766,0.105472702
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,127,_is_zero_tensor,5482,5482,0.035195869000000005,0.048772769
~,0,<built-in method torch.where>,9712,9712,0.034728381,0.034728381
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,542,_range_for_terms,438,438,0.033715016,0.5630978520000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,135,__add__,4374,4374,0.032283077,0.246427315
~,0,<method 'index_select' of 'torch._C.TensorBase' objects>,3994,3994,0.030084612,0.030084612
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,316,evaluate_interval,218,218,0.028672568000000002,1.102594719
~,0,<built-in method torch.isfinite>,3359,3359,0.028614625,0.028614625
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,235,mul_truncate,26,26,0.022382439,0.065152291
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1012,_subdivision_influence_scores,92,92,0.022066313,0.04195166
~,0,<built-in method torch.zeros_like>,11801,11801,0.021449843,0.021449843
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,242,__post_init__,1338,1338,0.020635417,0.043473833
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,142,__init__,252,252,0.019876197,0.096734918
~,0,<built-in method torch.is_floating_point>,42502,42502,0.016547316,0.016547316
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,36,_down,14216,14216,0.016083849,0.094109919
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,40,_up,14644,14644,0.014416291000000001,0.07599699900000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1038,_split_leaf_pair,276,276,0.011880310000000002,0.013271424
~,0,<built-in method torch.maximum>,4189,4189,0.011826417,0.011826417
~,0,<built-in method torch.minimum>,3670,3670,0.010851663000000001,0.010851663000000001
~,0,<method 'unbind' of 'torch._C.TensorBase' objects>,3600,3600,0.010218291000000001,0.010218291000000001
~,0,<method 'numel' of 'torch._C.TensorBase' objects>,46411,46411,0.010102461,0.010102461
~,0,<built-in method torch.allclose>,432,432,0.010000299,0.010000299
~,0,<built-in method torch.as_tensor>,2397,2397,0.009951583,0.009951583
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1317,_range_for_terms_with_policy,346,346,0.009621081,0.8286480620000001
~,0,<method 'detach' of 'torch._C.TensorBase' objects>,4621,4621,0.008822985,0.008822985
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,28,_neg_inf_like,14216,14216,0.007980378,0.046070981000000004
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2278,__post_init__,464,464,0.007046954,0.013265816000000001
~,0,<method 'sum' of 'torch._C.TensorBase' objects>,1406,1406,0.007028779000000001,0.007028779000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,367,_down,4342,4342,0.006642077000000001,0.035299481
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,32,_pos_inf_like,14644,14644,0.00636118,0.034673947000000004
~,0,<built-in method builtins.isinstance>,53943,53943,0.006300859000000001,0.006300859000000001
~,0,<built-in method torch.tensor>,714,714,0.0059306210000000005,0.0059306210000000005
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/torch/_tensor.py,1099,__iter__,3600,3600,0.0054586470000000005,0.019481843000000002
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1195,_identity_dense_cover,346,346,0.005277803,0.11944509700000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,371,_up,4363,4363,0.005241974,0.027220177
~,0,<method 'to' of 'torch._C.TensorBase' objects>,3314,3314,0.005223205000000001,0.005223205000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,107,_coef,2822,2822,0.005020795000000001,0.017794078
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,577,_interval_is_valid,438,438,0.0048737,0.01705747
~,0,<built-in method torch.cat>,997,997,0.004865264,0.004865264
~,0,<built-in method torch.ones_like>,1774,1774,0.004684606,0.004684606
