file,line,function,primitive_calls,calls,self_seconds,inclusive_seconds_not_additive
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,56,__init__,12888,12888,0.148785161,0.5031247400000001
~,0,<method 'clone' of 'torch._C.TensorBase' objects>,64517,64517,0.13234437300000002,0.13234437300000002
~,0,<built-in method torch.any>,39189,39189,0.09867619100000001,0.09867619100000001
~,0,<built-in method torch.stack>,10442,10442,0.067205874,0.067205874
~,0,<built-in method torch.min>,8293,8293,0.060859632000000004,0.060859632000000004
~,0,<built-in method torch.full_like>,24225,24225,0.059312513000000004,0.059312513000000004
~,0,<built-in method torch.max>,8912,8912,0.054426474,0.054426474
~,0,<built-in method torch.nextafter>,24212,24212,0.053024605,0.053024605
~,0,<method 'reshape' of 'torch._C.TensorBase' objects>,35077,35077,0.051687268,0.051687268
~,0,<built-in method torch.isnan>,25776,25776,0.051405465000000004,0.051405465000000004
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,152,__mul__,3700,3700,0.050861924,0.32166099800000003
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,15,_as_tensor,25778,25778,0.043157413000000006,0.155912389
~,0,<method 'pow' of 'torch._C.TensorBase' objects>,14921,14921,0.04240468,0.04240468
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,175,pow_int,3236,3236,0.040728581,0.223544752
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,483,_power_interval_bounds,567,567,0.036210689000000004,0.16265642800000002
~,0,<built-in method torch.all>,11160,11160,0.033927663000000004,0.033927663000000004
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1127,validate_dense_subdivision_cover,189,189,0.029684477,0.06535255100000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,242,__post_init__,1506,1506,0.024959547000000002,0.052760114000000004
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,127,_is_zero_tensor,3598,3598,0.023450874,0.032840182
~,0,<built-in method torch.abs>,9063,9063,0.02308727,0.02308727
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,135,__add__,2734,2734,0.020821779000000002,0.157318715
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,393,_interval_mul,1036,1036,0.020293944,0.060345554
~,0,<built-in method torch.where>,5093,5093,0.018057886000000002,0.018057886000000002
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,316,evaluate_interval,152,152,0.018045528,0.678945044
~,0,<built-in method torch.isfinite>,1943,1943,0.016964861,0.016964861
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,516,_monomial_interval_bounds_for_exponents,189,189,0.016486309,0.21861897200000002
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,542,_range_for_terms,189,189,0.014383524000000002,0.24221366400000002
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,142,__init__,184,184,0.0134382,0.06506966
~,0,<method 'index_select' of 'torch._C.TensorBase' objects>,1740,1740,0.012975450000000001,0.012975450000000001
~,0,<built-in method torch.zeros_like>,6956,6956,0.012815981,0.012815981
~,0,<built-in method torch.allclose>,486,486,0.011520008,0.011520008
~,0,<built-in method torch.is_floating_point>,27664,27664,0.010651035000000001,0.010651035000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,36,_down,8896,8896,0.010124526,0.059308541000000006
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1012,_subdivision_influence_scores,42,42,0.009674975,0.018430818
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,40,_up,9196,9196,0.009166315000000001,0.048273050000000005
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,235,mul_truncate,18,18,0.008252748,0.031194262
~,0,<method 'numel' of 'torch._C.TensorBase' objects>,36059,36059,0.007191664,0.007191664
~,0,<method 'detach' of 'torch._C.TensorBase' objects>,4901,4901,0.006871352000000001,0.006871352000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2278,__post_init__,493,493,0.006835417000000001,0.013455772000000001
~,0,<built-in method torch.as_tensor>,1509,1509,0.006773183,0.006773183
~,0,<built-in method torch.maximum>,2337,2337,0.0065397120000000005,0.0065397120000000005
~,0,<built-in method torch.minimum>,2119,2119,0.006208611,0.006208611
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/symbolic_remainder.py,542,<genexpr>,3637,3637,0.005319971000000001,0.008333018000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1038,_split_leaf_pair,126,126,0.0052303490000000005,0.0058299910000000005
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,28,_neg_inf_like,8896,8896,0.00490344,0.02873523
~,0,<built-in method builtins.isinstance>,39333,39333,0.004775667,0.004775667
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/symbolic_remainder.py,416,<genexpr>,720,720,0.004674242,0.022341496000000002
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/endpoint_substitution.py,37,_mul,62,62,0.004362376,0.007864125000000001
~,0,<method 'unbind' of 'torch._C.TensorBase' objects>,1560,1560,0.004331065,0.004331065
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1317,_range_for_terms_with_policy,147,147,0.004065443,0.35678473800000005
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,367,_down,2769,2769,0.003974618,0.020761152
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,375,_interval_add,719,719,0.003943919000000001,0.011569543000000002
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,32,_pos_inf_like,9196,9196,0.003856472,0.021740424
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,107,_coef,1852,1852,0.003453901,0.012121117
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,371,_up,2796,2796,0.003244419,0.016574004
~,0,<method 'hex' of 'float' objects>,5758,5758,0.003165181,0.003165181
~,0,<method 'sum' of 'torch._C.TensorBase' objects>,609,609,0.003136733,0.003136733
