file,line,function,primitive_calls,calls,self_seconds,inclusive_seconds_not_additive
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,56,__init__,12984,12984,0.147367479,0.487566435
~,0,<method 'clone' of 'torch._C.TensorBase' objects>,66083,66083,0.128119852,0.128119852
~,0,<built-in method torch.stack>,17722,17722,0.111457659,0.111457659
~,0,<built-in method torch.min>,13740,13740,0.101228492,0.101228492
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,483,_power_interval_bounds,1548,1548,0.09895646000000001,0.441214188
~,0,<built-in method torch.max>,15340,15340,0.09633069500000001,0.09633069500000001
~,0,<built-in method torch.any>,40215,40215,0.09496637000000001,0.09496637000000001
~,0,<method 'pow' of 'torch._C.TensorBase' objects>,32055,32055,0.09100395800000001,0.09100395800000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1127,validate_dense_subdivision_cover,516,516,0.081543584,0.178880163
~,0,<built-in method torch.full_like>,28935,28935,0.075214288,0.075214288
~,0,<built-in method torch.nextafter>,28922,28922,0.06702456700000001,0.06702456700000001
~,0,<method 'reshape' of 'torch._C.TensorBase' objects>,35596,35596,0.051101196,0.051101196
~,0,<built-in method torch.isnan>,25968,25968,0.049762867,0.049762867
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,152,__mul__,3700,3700,0.047895988,0.31176391800000003
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,516,_monomial_interval_bounds_for_exponents,516,516,0.046809832,0.595359553
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,15,_as_tensor,25970,25970,0.043193274000000004,0.15250952
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,393,_interval_mul,2017,2017,0.042884297,0.12429951400000001
~,0,<built-in method torch.all>,14098,14098,0.042062470000000005,0.042062470000000005
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,542,_range_for_terms,516,516,0.039659266000000006,0.659871387
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,175,pow_int,3236,3236,0.039576299,0.21690467500000002
~,0,<built-in method torch.abs>,13880,13880,0.035957877,0.035957877
~,0,<built-in method torch.where>,10092,10092,0.035775714,0.035775714
~,0,<method 'index_select' of 'torch._C.TensorBase' objects>,4702,4702,0.035730732,0.035730732
~,0,<built-in method torch.isfinite>,3449,3449,0.029164520000000003,0.029164520000000003
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1012,_subdivision_influence_scores,108,108,0.025537321,0.048703327000000005
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,242,__post_init__,1572,1572,0.024542931,0.050406384000000005
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,127,_is_zero_tensor,3598,3598,0.023781788,0.032036422
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,135,__add__,2734,2734,0.019941275,0.152171609
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,316,evaluate_interval,152,152,0.017471053,0.658442584
~,0,<built-in method torch.zeros_like>,8075,8075,0.015661873,0.015661873
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1038,_split_leaf_pair,324,324,0.013525922000000001,0.014999341000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,142,__init__,184,184,0.013202362,0.06345261
~,0,<method 'detach' of 'torch._C.TensorBase' objects>,7517,7517,0.012050372,0.012050372
~,0,<method 'unbind' of 'torch._C.TensorBase' objects>,4240,4240,0.011750834,0.011750834
~,0,<built-in method torch.allclose>,504,504,0.011509438,0.011509438
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1317,_range_for_terms_with_policy,408,408,0.011319675000000001,0.9696780850000001
~,0,<built-in method torch.is_floating_point>,27904,27904,0.011091272000000001,0.011091272000000001
~,0,<built-in method torch.maximum>,3711,3711,0.010909449,0.010909449
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,36,_down,8896,8896,0.010208464,0.059212348000000005
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,40,_up,9196,9196,0.009384351,0.048432502
~,0,<built-in method torch.minimum>,3100,3100,0.009369947,0.009369947
~,0,<method 'numel' of 'torch._C.TensorBase' objects>,38287,38287,0.00845075,0.00845075
~,0,<method 'sum' of 'torch._C.TensorBase' objects>,1656,1656,0.008167827,0.008167827
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2278,__post_init__,540,540,0.008117978,0.015222344
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,235,mul_truncate,18,18,0.007821695,0.03039429
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,367,_down,5124,5124,0.007710543,0.041849159000000004
~,0,<built-in method torch.as_tensor>,1605,1605,0.007207986,0.007207986
