plant,mode,step,history_length,replays,phase,operation,dependency_fixed,category,exclusive_seconds,calls,step_seconds,instrumentation
van_der_pol,optimized,91,90,4,other,object_checks_and_small_tensors,False,python_objects_and_small_tensor_checks,0.002426412422209978,92,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,candidate,object_checks_and_small_tensors,False,python_objects_and_small_tensor_checks,0.0057815187610685825,246,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,candidate,polynomial_component,True,polynomial_multiply_truncate_range,0.0002577691338956356,24,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,candidate,interval_arithmetic,False,candidate_construction_excluding_classified_polynomial_work,0.0035009728744626045,114,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,candidate,polynomial_sub,True,polynomial_multiply_truncate_range,9.393971413373947e-05,8,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,candidate,interval_arithmetic,True,polynomial_multiply_truncate_range,0.005715637467801571,120,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,candidate,polynomial_mul_trunc,True,polynomial_multiply_truncate_range,0.03006542706862092,8,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,candidate,polynomial_range_bound,True,polynomial_multiply_truncate_range,0.016086803749203682,16,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,candidate,polynomial_integrate,True,polynomial_multiply_truncate_range,0.004520996939390898,4,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,candidate,polynomial_add,True,polynomial_multiply_truncate_range,4.702433943748474e-05,4,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,candidate,polynomial_apply_cutoff,True,polynomial_multiply_truncate_range,0.004309031646698713,4,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,candidate,dense_polynomial_picard,False,candidate_construction_excluding_classified_polynomial_work,0.004837626125663519,1,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,other,interval_arithmetic,False,other_including_unclassified_python,0.0012825787998735905,60,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,other,polynomial_component,True,polynomial_multiply_truncate_range,6.196647882461548e-05,6,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,other,polynomial_sub,True,polynomial_multiply_truncate_range,3.0172057449817657e-05,3,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,other,interval_arithmetic,True,polynomial_multiply_truncate_range,0.0014655324630439281,30,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,other,polynomial_mul_trunc,True,polynomial_multiply_truncate_range,0.006604926660656929,2,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,other,polynomial_range_bound,True,polynomial_multiply_truncate_range,0.004995452240109444,5,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,other,polynomial_integrate,True,polynomial_multiply_truncate_range,0.0010739066638052464,1,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,other,polynomial_add,True,polynomial_multiply_truncate_range,1.1630356311798096e-05,1,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,initial,polynomial_component,True,polynomial_multiply_truncate_range,0.00013972818851470947,11,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,initial,object_checks_and_small_tensors,False,python_objects_and_small_tensor_checks,0.00399599177762866,133,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,initial,interval_arithmetic,True,polynomial_multiply_truncate_range,0.0029107476584613323,60,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,initial,polynomial_mul_trunc,True,polynomial_multiply_truncate_range,0.016111308243125677,4,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,initial,polynomial_range_bound,True,polynomial_multiply_truncate_range,0.008105479646474123,8,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,initial,interval_arithmetic,False,initial_remainder_excluding_classified_polynomial_work,0.0263323406688869,452,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,initial,polynomial_apply_cutoff,True,polynomial_multiply_truncate_range,0.003081735223531723,3,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,initial,polynomial_sub,True,polynomial_multiply_truncate_range,5.387794226408005e-05,5,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,initial,polynomial_integrate,True,polynomial_multiply_truncate_range,0.0010770405642688274,1,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,initial,polynomial_add,True,polynomial_multiply_truncate_range,1.146690919995308e-05,1,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,initial,image,False,initial_remainder_excluding_classified_polynomial_work,0.025214211083948612,1,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,replay,object_checks_and_small_tensors,False,python_objects_and_small_tensor_checks,0.009196910541504622,276,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,replay,polynomial_component,True,refinement_fixed_preparation,0.00037416722625494003,30,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,replay,interval_arithmetic,True,refinement_fixed_preparation,0.0029366686940193176,60,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,replay,polynomial_mul_trunc,True,refinement_fixed_preparation,0.013246181886643171,4,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,replay,polynomial_range_bound,True,refinement_fixed_preparation,0.00779440114274621,8,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,replay,interval_arithmetic,False,refinement_dynamic_and_dispatch,0.033874000422656536,647,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,replay,polynomial_apply_cutoff,True,refinement_fixed_preparation,0.003061152994632721,3,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,replay,polynomial_sub,True,refinement_fixed_preparation,7.3225237429142e-05,5,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,replay,polynomial_integrate,True,refinement_fixed_preparation,0.0015140906907618046,1,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,replay,polynomial_add,True,refinement_fixed_preparation,1.1199619621038437e-05,1,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,replay,image,False,refinement_dynamic_and_dispatch,0.013838784769177437,4,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,replay,_post_accept_refine_raw_remainder,False,refinement_dynamic_and_dispatch,0.021378483157604933,1,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,boundary,endpoint_correction,False,boundary_and_endpoint_correction,0.010028569027781487,3,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,boundary,boundary,False,boundary_and_endpoint_correction,0.39164227480068803,1,0.7224252908490598,nested_function_timer
van_der_pol,optimized,91,90,4,other,unattributed,False,other_including_unclassified_python,0.03325192676857114,0,0.7224252908490598,nested_function_timer
van_der_pol,optimized,92,91,4,other,object_checks_and_small_tensors,False,python_objects_and_small_tensor_checks,0.0024494589306414127,92,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,candidate,object_checks_and_small_tensors,False,python_objects_and_small_tensor_checks,0.005717939231544733,246,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,candidate,polynomial_component,True,polynomial_multiply_truncate_range,0.0002356511540710926,24,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,candidate,interval_arithmetic,False,candidate_construction_excluding_classified_polynomial_work,0.0034290021285414696,114,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,candidate,polynomial_sub,True,polynomial_multiply_truncate_range,9.467499330639839e-05,8,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,candidate,interval_arithmetic,True,polynomial_multiply_truncate_range,0.005657366942614317,120,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,candidate,polynomial_mul_trunc,True,polynomial_multiply_truncate_range,0.027115087490528822,8,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,candidate,polynomial_range_bound,True,polynomial_multiply_truncate_range,0.01584414066746831,16,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,candidate,polynomial_integrate,True,polynomial_multiply_truncate_range,0.00438410509377718,4,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,candidate,polynomial_add,True,polynomial_multiply_truncate_range,4.701828584074974e-05,4,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,candidate,polynomial_apply_cutoff,True,polynomial_multiply_truncate_range,0.004066396038979292,4,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,candidate,dense_polynomial_picard,False,candidate_construction_excluding_classified_polynomial_work,0.0046935658901929855,1,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,other,interval_arithmetic,False,other_including_unclassified_python,0.0012967167422175407,60,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,other,polynomial_component,True,polynomial_multiply_truncate_range,6.138766184449196e-05,6,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,other,polynomial_sub,True,polynomial_multiply_truncate_range,3.0217692255973816e-05,3,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,other,interval_arithmetic,True,polynomial_multiply_truncate_range,0.0014241691678762436,30,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,other,polynomial_mul_trunc,True,polynomial_multiply_truncate_range,0.006608725991100073,2,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,other,polynomial_range_bound,True,polynomial_multiply_truncate_range,0.004915955942124128,5,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,other,polynomial_integrate,True,polynomial_multiply_truncate_range,0.0011590281501412392,1,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,other,polynomial_add,True,polynomial_multiply_truncate_range,1.1702999472618103e-05,1,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,initial,polynomial_component,True,polynomial_multiply_truncate_range,0.00012602703645825386,11,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,initial,object_checks_and_small_tensors,False,python_objects_and_small_tensor_checks,0.00390441482886672,133,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,initial,interval_arithmetic,True,polynomial_multiply_truncate_range,0.0028412179090082645,60,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,initial,polynomial_mul_trunc,True,polynomial_multiply_truncate_range,0.013259266037493944,4,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,initial,polynomial_range_bound,True,polynomial_multiply_truncate_range,0.0078113023191690445,8,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,initial,interval_arithmetic,False,initial_remainder_excluding_classified_polynomial_work,0.026087567675858736,452,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,initial,polynomial_apply_cutoff,True,polynomial_multiply_truncate_range,0.003056639339774847,3,0.7013536738231778,nested_function_timer
van_der_pol,optimized,92,91,4,initial,polynomial_sub,True,polynomial_multiply_truncate_range,5.3052324801683426e-05,5,0.7013536738231778,nested_function_timer
