file,line,function,primitive_calls,calls,self_seconds,inclusive_seconds_not_additive
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,56,__init__,5952,5952,0.069812492,0.227959077
~,0,<method 'clone' of 'torch._C.TensorBase' objects>,29241,29241,0.056146698,0.056146698
~,0,<built-in method torch.any>,18116,18116,0.043022776000000006,0.043022776000000006
~,0,<built-in method torch.stack>,4748,4748,0.035362363,0.035362363
~,0,<built-in method torch.full_like>,13202,13202,0.032492333000000005,0.032492333000000005
~,0,<built-in method torch.min>,4065,4065,0.031675954,0.031675954
~,0,<built-in method torch.nextafter>,12873,12873,0.029841869000000004,0.029841869000000004
~,0,<built-in method torch.max>,4365,4365,0.029373729,0.029373729
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,393,_interval_mul,1195,1195,0.026592280000000003,0.0769557
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,152,__mul__,1719,1719,0.022986571,0.14893719
~,0,<built-in method torch.isnan>,11904,11904,0.022656626000000003,0.022656626000000003
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,15,_as_tensor,11906,11906,0.020925839,0.071872106
~,0,<method 'reshape' of 'torch._C.TensorBase' objects>,13554,13554,0.020804752000000003,0.020804752000000003
~,0,<built-in method unique_dim>,2,2,0.01780315,0.01780315
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,175,pow_int,1415,1415,0.016395702,0.08641040100000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,483,_power_interval_bounds,270,270,0.014393764000000002,0.060319007
~,0,<built-in method torch.all>,5029,5029,0.014321003,0.014321003
~,0,<method 'pow' of 'torch._C.TensorBase' objects>,4988,4988,0.01415397,0.01415397
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1127,validate_dense_subdivision_cover,90,90,0.013792358000000001,0.03050013
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,127,_is_zero_tensor,1684,1684,0.011033087,0.015076506000000002
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,135,__add__,1389,1389,0.010275165000000001,0.07877221100000001
~,0,<built-in method torch.abs>,3910,3910,0.009827443,0.009827443
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,242,__post_init__,565,565,0.009760212,0.020740692
~,0,<built-in method torch.isfinite>,1127,1127,0.009291473,0.009291473
~,0,<method 'sum' of 'torch._C.TensorBase' objects>,416,416,0.008409834,0.008409834
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,316,evaluate_interval,94,94,0.007842083,0.288643608
~,0,<built-in method torch.where>,2040,2040,0.007293887000000001,0.007293887000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,516,_monomial_interval_bounds_for_exponents,90,90,0.007253067,0.08249092200000001
~,0,<built-in method torch.zeros_like>,3778,3778,0.006774830000000001,0.006774830000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,142,__init__,126,126,0.006655327000000001,0.030499271
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/scanner.py,145,need_more_tokens,8833,8833,0.006560057,0.011287248000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,542,_range_for_terms,90,90,0.0063257980000000005,0.09292626100000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2853,_affine_power_transform_matrix,16,16,0.006151005,0.03480318
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2898,_power_to_bernstein_matrix,16,16,0.005572120000000001,0.013900427000000002
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/reader.py,99,forward,2962,2962,0.005399326,0.005670372000000001
~,0,<built-in method torch.is_floating_point>,12785,12785,0.005321092,0.005321092
~,0,<built-in method torch.as_tensor>,1253,1253,0.005290966,0.005290966
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,36,_down,4074,4074,0.005004768000000001,0.027973654
~,0,<method 'index_select' of 'torch._C.TensorBase' objects>,840,840,0.004968220000000001,0.004968220000000001
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/scanner.py,1270,scan_plain,520,520,0.004755429,0.013859772000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,40,_up,4266,4266,0.004712285,0.023541058
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/scanner.py,113,check_token,5361,5361,0.004435298,0.043961147000000006
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,235,mul_truncate,11,11,0.0043283390000000005,0.014634211000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1012,_subdivision_influence_scores,18,18,0.00391089,0.007355317
~,0,<built-in method torch.allclose>,156,156,0.0035817820000000004,0.0035817820000000004
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/scanner.py,279,stale_possible_simple_keys,9368,9368,0.0035569720000000003,0.0035569720000000003
~,0,<built-in method builtins.isinstance>,27240,27240,0.003260359,0.0034644130000000004
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/reader.py,87,peek,15150,15150,0.003203776,0.003203776
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,367,_down,2149,2149,0.003004716,0.015689452
~,0,<method 'numel' of 'torch._C.TensorBase' objects>,13991,13991,0.003003855,0.003003855
~,0,<built-in method torch.maximum>,1021,1021,0.00285389,0.00285389
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/parser.py,273,parse_node,683,683,0.002831334,0.012412701
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/endpoint_substitution.py,37,_mul,39,39,0.00272792,0.0049587830000000005
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/scanner.py,156,fetch_more_tokens,1125,1125,0.002724001,0.030407680000000003
~,0,<built-in method torch.minimum>,921,921,0.002637369,0.002637369
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,28,_neg_inf_like,4074,4074,0.002549281,0.013545792000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2278,__post_init__,182,182,0.002447026,0.0047929750000000005
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,371,_up,2161,2161,0.002415716,0.013018467
~,0,<method 'detach' of 'torch._C.TensorBase' objects>,1322,1322,0.002303704,0.002303704
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1038,_split_leaf_pair,54,54,0.002212564,0.002451725
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,2820,_interval_axis_transform,32,32,0.0020838690000000003,0.039565493
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/reader.py,114,get_mark,2780,2780,0.002052421,0.002922829
~,0,<method 'unbind' of 'torch._C.TensorBase' objects>,724,724,0.001972476,0.001972476
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/interval.py,32,_pos_inf_like,4266,4266,0.001943669,0.010544774
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/scanner.py,752,scan_to_next_token,1125,1125,0.0019410150000000001,0.005039967
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,1317,_range_for_terms_with_policy,72,72,0.0019324790000000002,0.14460672300000002
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/parser.py,94,check_event,2187,2187,0.001874072,0.056571446000000004
~,0,<built-in method torch.cat>,452,452,0.001857771,0.001857771
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/endpoint_substitution.py,59,enclose_constant_substitution,3,3,0.0018448700000000002,0.011382863
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/scanner.py,264,next_possible_simple_key,8243,8243,0.0017675640000000001,0.0017675640000000001
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/composer.py,63,compose_node,2,683,0.001756675,0.06232282200000001
~,0,<built-in method torch.zeros>,595,595,0.0017241000000000001,0.0017241000000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,107,_coef,874,874,0.0016558150000000002,0.005808862000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/endpoint_substitution.py,28,add,47,47,0.001474402,0.0024994450000000003
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/batched_dense_tm.py,375,_interval_add,246,246,0.0012945810000000002,0.0038956150000000003
~,0,<built-in method torch.tensor>,144,144,0.001246125,0.001246125
~,0,<built-in method builtins.any>,1540,1606,0.0012257280000000001,0.004969281000000001
~,0,<method 'view' of 'torch._C.TensorBase' objects>,414,414,0.0012225720000000001,0.0012225720000000001
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/polynomial.py,57,evaluate_interval_normal,17,17,0.0012080250000000002,0.042634739000000005
