plant,mode,step,history_length,replays,phase,operation,dependency_fixed,category,exclusive_seconds,calls,step_seconds,instrumentation
van_der_pol,reference,91,90,4,other,object_checks_and_small_tensors,False,python_objects_and_small_tensor_checks,0.0024074208922684193,92,0.7159982747398317,nested_function_timer
van_der_pol,reference,91,90,4,candidate,object_checks_and_small_tensors,False,python_objects_and_small_tensor_checks,0.005746976472437382,246,0.7159982747398317,nested_function_timer
van_der_pol,reference,91,90,4,candidate,polynomial_component,True,polynomial_multiply_truncate_range,0.0002536601386964321,24,0.7159982747398317,nested_function_timer
van_der_pol,reference,91,90,4,candidate,interval_arithmetic,False,candidate_construction_excluding_classified_polynomial_work,0.003463913220912218,114,0.7159982747398317,nested_function_timer
van_der_pol,reference,91,90,4,candidate,polynomial_sub,True,polynomial_multiply_truncate_range,9.402865543961525e-05,8,0.7159982747398317,nested_function_timer
van_der_pol,reference,91,90,4,candidate,interval_arithmetic,True,polynomial_multiply_truncate_range,0.005870386958122253,120,0.7159982747398317,nested_function_timer
van_der_pol,reference,91,90,4,candidate,polynomial_mul_trunc,True,polynomial_multiply_truncate_range,0.030272919684648514,8,0.7159982747398317,nested_function_timer
van_der_pol,reference,91,90,4,candidate,polynomial_range_bound,True,polynomial_multiply_truncate_range,0.016273512039333582,16,0.7159982747398317,nested_function_timer
van_der_pol,reference,91,90,4,candidate,polynomial_integrate,True,polynomial_multiply_truncate_range,0.004456911701709032,4,0.7159982747398317,nested_function_timer
van_der_pol,reference,91,90,4,candidate,polynomial_add,True,polynomial_multiply_truncate_range,4.636542871594429e-05,4,0.7159982747398317,nested_function_timer
van_der_pol,reference,91,90,4,candidate,polynomial_apply_cutoff,True,polynomial_multiply_truncate_range,0.004131500609219074,4,0.7159982747398317,nested_function_timer
van_der_pol,reference,91,90,4,candidate,dense_polynomial_picard,False,candidate_construction_excluding_classified_polynomial_work,0.004853899125009775,1,0.7159982747398317,nested_function_timer
van_der_pol,reference,91,90,4,other,interval_arithmetic,False,other_including_unclassified_python,0.0013087792322039604,60,0.7159982747398317,nested_function_timer
van_der_pol,reference,91,90,4,other,polynomial_component,True,polynomial_multiply_truncate_range,5.963863804936409e-05,6,0.7159982747398317,nested_function_timer
van_der_pol,reference,91,90,4,other,polynomial_sub,True,polynomial_multiply_truncate_range,2.9974617063999176e-05,3,0.7159982747398317,nested_function_timer
van_der_pol,reference,91,90,4,other,interval_arithmetic,True,polynomial_multiply_truncate_range,0.001472350675612688,30,0.7159982747398317,nested_function_timer
van_der_pol,reference,91,90,4,other,polynomial_mul_trunc,True,polynomial_multiply_truncate_range,0.006847510114312172,2,0.7159982747398317,nested_function_timer
van_der_pol,reference,91,90,4,other,polynomial_range_bound,True,polynomial_multiply_truncate_range,0.005003464873880148,5,0.7159982747398317,nested_function_timer
van_der_pol,reference,91,90,4,other,polynomial_integrate,True,polynomial_multiply_truncate_range,0.0010662982240319252,1,0.7159982747398317,nested_function_timer
van_der_pol,reference,91,90,4,other,polynomial_add,True,polynomial_multiply_truncate_range,1.0933727025985718e-05,1,0.7159982747398317,nested_function_timer
