plant,mode,step,history_length,replays,phase,operation,dependency_fixed,category,exclusive_seconds,calls,step_seconds,instrumentation
van_der_pol,optimized,1,0,4,candidate,dense_polynomial_picard,False,candidate_construction_excluding_classified_polynomial_work,0.07695145020261407,1,0.42740019503980875,light_phase_timer
van_der_pol,optimized,1,0,4,initial,image,False,initial_remainder_excluding_classified_polynomial_work,0.08510931674391031,1,0.42740019503980875,light_phase_timer
van_der_pol,optimized,1,0,4,replay,image,False,refinement_dynamic_and_dispatch,0.03732917970046401,4,0.42740019503980875,light_phase_timer
van_der_pol,optimized,1,0,4,replay,_post_accept_refine_raw_remainder,False,refinement_dynamic_and_dispatch,0.07417844329029322,1,0.42740019503980875,light_phase_timer
van_der_pol,optimized,1,0,4,boundary,endpoint_correction,False,boundary_and_endpoint_correction,0.011159623507410288,3,0.42740019503980875,light_phase_timer
van_der_pol,optimized,1,0,4,boundary,boundary,False,boundary_and_endpoint_correction,0.088451340328902,1,0.42740019503980875,light_phase_timer
van_der_pol,optimized,1,0,4,other,unattributed,False,other_including_unclassified_python,0.05422084126621485,0,0.42740019503980875,light_phase_timer
van_der_pol,optimized,2,1,4,candidate,dense_polynomial_picard,False,candidate_construction_excluding_classified_polynomial_work,0.07231601420789957,1,0.521572161000222,light_phase_timer
van_der_pol,optimized,2,1,4,initial,image,False,initial_remainder_excluding_classified_polynomial_work,0.08182827103883028,1,0.521572161000222,light_phase_timer
van_der_pol,optimized,2,1,4,replay,image,False,refinement_dynamic_and_dispatch,0.03302028402686119,4,0.521572161000222,light_phase_timer
van_der_pol,optimized,2,1,4,replay,_post_accept_refine_raw_remainder,False,refinement_dynamic_and_dispatch,0.0738354786299169,1,0.521572161000222,light_phase_timer
van_der_pol,optimized,2,1,4,boundary,endpoint_correction,False,boundary_and_endpoint_correction,0.010764556005597115,3,0.521572161000222,light_phase_timer
van_der_pol,optimized,2,1,4,boundary,boundary,False,boundary_and_endpoint_correction,0.20006013801321387,1,0.521572161000222,light_phase_timer
van_der_pol,optimized,2,1,4,other,unattributed,False,other_including_unclassified_python,0.04974741907790303,0,0.521572161000222,light_phase_timer
van_der_pol,optimized,3,2,4,candidate,dense_polynomial_picard,False,candidate_construction_excluding_classified_polynomial_work,0.07087441720068455,1,0.597966137342155,light_phase_timer
van_der_pol,optimized,3,2,4,initial,image,False,initial_remainder_excluding_classified_polynomial_work,0.08233355497941375,1,0.597966137342155,light_phase_timer
van_der_pol,optimized,3,2,4,replay,image,False,refinement_dynamic_and_dispatch,0.03342044726014137,4,0.597966137342155,light_phase_timer
van_der_pol,optimized,3,2,4,replay,_post_accept_refine_raw_remainder,False,refinement_dynamic_and_dispatch,0.07291945349425077,1,0.597966137342155,light_phase_timer
van_der_pol,optimized,3,2,4,boundary,endpoint_correction,False,boundary_and_endpoint_correction,0.009919709526002407,3,0.597966137342155,light_phase_timer
van_der_pol,optimized,3,2,4,boundary,boundary,False,boundary_and_endpoint_correction,0.2797463210299611,1,0.597966137342155,light_phase_timer
van_der_pol,optimized,3,2,4,other,unattributed,False,other_including_unclassified_python,0.04875223385170102,0,0.597966137342155,light_phase_timer
van_der_pol,optimized,4,3,4,candidate,dense_polynomial_picard,False,candidate_construction_excluding_classified_polynomial_work,0.07402546983212233,1,0.6334638320840895,light_phase_timer
van_der_pol,optimized,4,3,4,initial,image,False,initial_remainder_excluding_classified_polynomial_work,0.08850565366446972,1,0.6334638320840895,light_phase_timer
van_der_pol,optimized,4,3,4,replay,image,False,refinement_dynamic_and_dispatch,0.03276229742914438,4,0.6334638320840895,light_phase_timer
van_der_pol,optimized,4,3,4,replay,_post_accept_refine_raw_remainder,False,refinement_dynamic_and_dispatch,0.07553460681810975,1,0.6334638320840895,light_phase_timer
van_der_pol,optimized,4,3,4,boundary,endpoint_correction,False,boundary_and_endpoint_correction,0.009947274811565876,3,0.6334638320840895,light_phase_timer
van_der_pol,optimized,4,3,4,boundary,boundary,False,boundary_and_endpoint_correction,0.30312686786055565,1,0.6334638320840895,light_phase_timer
van_der_pol,optimized,4,3,4,other,unattributed,False,other_including_unclassified_python,0.049561661668121815,0,0.6334638320840895,light_phase_timer
van_der_pol,optimized,5,4,4,candidate,dense_polynomial_picard,False,candidate_construction_excluding_classified_polynomial_work,0.07147346111014485,1,0.6275597559288144,light_phase_timer
van_der_pol,optimized,5,4,4,initial,image,False,initial_remainder_excluding_classified_polynomial_work,0.08204289060086012,1,0.6275597559288144,light_phase_timer
van_der_pol,optimized,5,4,4,replay,image,False,refinement_dynamic_and_dispatch,0.03315173136070371,4,0.6275597559288144,light_phase_timer
van_der_pol,optimized,5,4,4,replay,_post_accept_refine_raw_remainder,False,refinement_dynamic_and_dispatch,0.07738347258418798,1,0.6275597559288144,light_phase_timer
van_der_pol,optimized,5,4,4,boundary,endpoint_correction,False,boundary_and_endpoint_correction,0.010024220682680607,3,0.6275597559288144,light_phase_timer
van_der_pol,optimized,5,4,4,boundary,boundary,False,boundary_and_endpoint_correction,0.3024061433970928,1,0.6275597559288144,light_phase_timer
van_der_pol,optimized,5,4,4,other,unattributed,False,other_including_unclassified_python,0.05107783619314432,0,0.6275597559288144,light_phase_timer
van_der_pol,optimized,6,5,4,candidate,dense_polynomial_picard,False,candidate_construction_excluding_classified_polynomial_work,0.06999991089105606,1,0.6314368839375675,light_phase_timer
van_der_pol,optimized,6,5,4,initial,image,False,initial_remainder_excluding_classified_polynomial_work,0.08154235780239105,1,0.6314368839375675,light_phase_timer
