plant,mode,step,history_length,replays,phase,operation,dependency_fixed,category,exclusive_seconds,calls,step_seconds,instrumentation
brusselator,optimized,101,100,9,candidate,dense_polynomial_picard,False,candidate_construction_excluding_classified_polynomial_work,0.22349777584895492,1,1.343768147751689,light_phase_timer
brusselator,optimized,101,100,9,initial,image,False,initial_remainder_excluding_classified_polynomial_work,0.08948889188468456,1,1.343768147751689,light_phase_timer
brusselator,optimized,101,100,9,replay,image,False,refinement_dynamic_and_dispatch,0.1269561816006899,9,1.343768147751689,light_phase_timer
brusselator,optimized,101,100,9,replay,_post_accept_refine_raw_remainder,False,refinement_dynamic_and_dispatch,0.005293752998113632,1,1.343768147751689,light_phase_timer
brusselator,optimized,101,100,9,boundary,endpoint_correction,False,boundary_and_endpoint_correction,0.016233306378126144,3,1.343768147751689,light_phase_timer
brusselator,optimized,101,100,9,boundary,boundary,False,boundary_and_endpoint_correction,0.8119434718973935,1,1.343768147751689,light_phase_timer
brusselator,optimized,101,100,9,other,unattributed,False,other_including_unclassified_python,0.07035476714372635,0,1.343768147751689,light_phase_timer
brusselator,optimized,102,101,9,candidate,dense_polynomial_picard,False,candidate_construction_excluding_classified_polynomial_work,0.20715117221698165,1,1.299697320908308,light_phase_timer
brusselator,optimized,102,101,9,initial,image,False,initial_remainder_excluding_classified_polynomial_work,0.0749535309150815,1,1.299697320908308,light_phase_timer
brusselator,optimized,102,101,9,replay,image,False,refinement_dynamic_and_dispatch,0.1215072050690651,9,1.299697320908308,light_phase_timer
brusselator,optimized,102,101,9,replay,_post_accept_refine_raw_remainder,False,refinement_dynamic_and_dispatch,0.004280983004719019,1,1.299697320908308,light_phase_timer
brusselator,optimized,102,101,9,boundary,endpoint_correction,False,boundary_and_endpoint_correction,0.016075952909886837,3,1.299697320908308,light_phase_timer
brusselator,optimized,102,101,9,boundary,boundary,False,boundary_and_endpoint_correction,0.8164041889831424,1,1.299697320908308,light_phase_timer
brusselator,optimized,102,101,9,other,unattributed,False,other_including_unclassified_python,0.05932428780943155,0,1.299697320908308,light_phase_timer
brusselator,optimized,103,102,9,candidate,dense_polynomial_picard,False,candidate_construction_excluding_classified_polynomial_work,0.20949930371716619,1,1.298183892853558,light_phase_timer
brusselator,optimized,103,102,9,initial,image,False,initial_remainder_excluding_classified_polynomial_work,0.07468212582170963,1,1.298183892853558,light_phase_timer
brusselator,optimized,103,102,9,replay,image,False,refinement_dynamic_and_dispatch,0.12349392333999276,9,1.298183892853558,light_phase_timer
brusselator,optimized,103,102,9,replay,_post_accept_refine_raw_remainder,False,refinement_dynamic_and_dispatch,0.004435345530509949,1,1.298183892853558,light_phase_timer
brusselator,optimized,103,102,9,boundary,endpoint_correction,False,boundary_and_endpoint_correction,0.015528678894042969,3,1.298183892853558,light_phase_timer
brusselator,optimized,103,102,9,boundary,boundary,False,boundary_and_endpoint_correction,0.8114489750005305,1,1.298183892853558,light_phase_timer
brusselator,optimized,103,102,9,other,unattributed,False,other_including_unclassified_python,0.059095540549606085,0,1.298183892853558,light_phase_timer
