window,plant,mode,step,history_length,refinement_rounds,polynomial_multiplications_executed_in_replay,polynomial_range_evaluations_executed_in_replay,prepared_plan_constructions,cache_dispatches,binding_checks,fixed_replay_seconds,all_replay_seconds,step_seconds
brusselator_early,brusselator,reference,1,0,8,64,136,0,0,0,0.5154510089196265,0.6044907942414284,1.2497383709996939
brusselator_early,brusselator,reference,2,1,8,64,136,0,0,0,0.5164655903354287,0.6049250396899879,1.499895203858614
brusselator_early,brusselator,reference,3,2,8,64,136,0,0,0,0.5158157818950713,0.6050123842433095,1.5361362439580262
brusselator_early,brusselator,reference,4,3,8,64,136,0,0,0,0.5230591162107885,0.612957966979593,1.5633238581940532
brusselator_early,brusselator,reference,5,4,8,64,136,0,0,0,0.537770398426801,0.6291624759323895,1.5861347187310457
brusselator_early,brusselator,reference,6,5,8,64,136,0,0,0,0.5165750812739134,0.6057173069566488,1.5891733840107918
brusselator_early,brusselator,reference,7,6,8,64,136,0,0,0,0.5225851694121957,0.6121739270165563,1.6639315569773316
brusselator_early,brusselator,reference,8,7,8,64,136,0,0,0,0.5373467938043177,0.6293329340405762,1.7304214551113546
brusselator_early,brusselator,reference,9,8,7,56,119,0,0,0,0.46763469325378537,0.5475244428962469,1.6674566576257348
brusselator_early,brusselator,reference,10,9,7,56,119,0,0,0,0.4569350085221231,0.5349493441171944,1.7183190360665321
brusselator_early,brusselator,reference,11,10,7,56,119,0,0,0,0.4607091099023819,0.5392784872092307,1.7409194349311292
brusselator_early,brusselator,reference,12,11,7,56,119,0,0,0,0.4520435710437596,0.529869981110096,1.7541000009514391
brusselator_early,brusselator,reference,13,12,7,56,119,0,0,0,0.45582890463992953,0.5338048269040883,1.8037557140924037
brusselator_early,brusselator,reference,14,13,7,56,119,0,0,0,0.46902846824377775,0.5495813800953329,1.8138650488108397
brusselator_early,brusselator,reference,15,14,7,56,119,0,0,0,0.45283675007522106,0.5310766422189772,1.8596573770046234
brusselator_early,brusselator,reference,16,15,7,56,119,0,0,0,0.46680534118786454,0.547631966881454,1.9238839489407837
brusselator_early,brusselator,reference,17,16,7,56,119,0,0,0,0.4553852821700275,0.5332529707811773,1.94209398701787
brusselator_early,brusselator,reference,18,17,7,56,119,0,0,0,0.45474912505596876,0.5324682937934995,2.008410715032369
brusselator_early,brusselator,reference,19,18,7,56,119,0,0,0,0.46113257529214025,0.5397477839142084,2.0569497789256275
brusselator_early,brusselator,reference,20,19,7,56,119,0,0,0,0.45535577181726694,0.5331351798959076,2.0565588297322392
brusselator_early,brusselator,optimized,1,0,8,6,7,1,344,8,0.04421468358486891,0.12416782602667809,0.730824579950422
brusselator_early,brusselator,optimized,2,1,8,6,7,1,344,8,0.04645426804199815,0.12649131705984473,1.007412028964609
