plant,step,t_end_exact,metric,component,optimized_width,flowstar_width,ratio,flowstar_data_origin
brusselator,1,5764607523034235/288230376151711744,endpoint,x,0.046094920839910625,0.04609604754994634,0.9999755573396072,REUSED_MATCHED_REFERENCE
brusselator,1,5764607523034235/288230376151711744,endpoint,y,0.04313105034002662,0.046955710361116676,0.9185474995122809,REUSED_MATCHED_REFERENCE
brusselator,1,5764607523034235/288230376151711744,tube,x,0.08183545131369696,0.08183545341729559,0.9999999742947764,REUSED_MATCHED_REFERENCE
brusselator,1,5764607523034235/288230376151711744,tube,y,0.09305002749810676,0.09305002906125237,0.9999999832010196,REUSED_MATCHED_REFERENCE
brusselator,2,5764607523034235/144115188075855872,endpoint,x,0.05318067773072843,0.052642244169053276,1.010228165044523,REUSED_MATCHED_REFERENCE
brusselator,2,5764607523034235/144115188075855872,endpoint,y,0.0468845507337714,0.050663342368072684,0.9254136924712132,REUSED_MATCHED_REFERENCE
brusselator,2,5764607523034235/144115188075855872,tube,x,0.0903993906977536,0.08985809610498219,1.0060238822792218,REUSED_MATCHED_REFERENCE
brusselator,2,5764607523034235/144115188075855872,tube,y,0.0995076563456192,0.09896077091471778,1.0055262850708055,REUSED_MATCHED_REFERENCE
brusselator,3,17293822569102705/288230376151711744,endpoint,x,0.06080875737179037,0.05963619625672978,1.0196619031504424,REUSED_MATCHED_REFERENCE
brusselator,3,17293822569102705/288230376151711744,endpoint,y,0.05079545526724916,0.05448752385375588,0.9322401106643016,REUSED_MATCHED_REFERENCE
brusselator,3,17293822569102705/288230376151711744,tube,x,0.0994915956729936,0.09831372164935837,1.011980769356247,REUSED_MATCHED_REFERENCE
brusselator,3,17293822569102705/288230376151711744,tube,y,0.10618948504357384,0.10499888505664279,1.0113391678996284,REUSED_MATCHED_REFERENCE
brusselator,4,5764607523034235/72057594037927936,endpoint,x,0.06897763660638523,0.06706558200270663,1.028510221585812,REUSED_MATCHED_REFERENCE
brusselator,4,5764607523034235/72057594037927936,endpoint,y,0.05484170566706936,0.058396686933305464,0.9391235795568981,REUSED_MATCHED_REFERENCE
brusselator,4,5764607523034235/72057594037927936,tube,x,0.10908651534320346,0.10716584160336184,1.0179224434867067,REUSED_MATCHED_REFERENCE
brusselator,4,5764607523034235/72057594037927936,tube,y,0.11306076962001121,0.11111840833893272,1.0174801035230268,REUSED_MATCHED_REFERENCE
brusselator,5,28823037615171175/288230376151711744,endpoint,x,0.0776718194391699,0.07490963228223868,1.0368735911895024,REUSED_MATCHED_REFERENCE
brusselator,5,28823037615171175/288230376151711744,endpoint,y,0.05899258701145227,0.06235649885255912,0.9460535484992388,REUSED_MATCHED_REFERENCE
brusselator,5,28823037615171175/288230376151711744,tube,x,0.11914321602482048,0.11636810948765342,1.0238476550782283,REUSED_MATCHED_REFERENCE
brusselator,5,28823037615171175/288230376151711744,tube,y,0.12005968885188212,0.11725215598657712,1.0239444029125264,REUSED_MATCHED_REFERENCE
brusselator,6,17293822569102705/144115188075855872,endpoint,x,0.08685845372674583,0.08312775157180763,1.04487914185572,REUSED_MATCHED_REFERENCE
brusselator,6,17293822569102705/144115188075855872,endpoint,y,0.06320748883097549,0.06631670523047228,0.9531156382288407,REUSED_MATCHED_REFERENCE
brusselator,6,17293822569102705/144115188075855872,tube,x,0.12959937392117582,0.12585030241618234,1.0297899284548038,REUSED_MATCHED_REFERENCE
brusselator,6,17293822569102705/144115188075855872,tube,y,0.127114395581029,0.12331842999887899,1.030781818923453,REUSED_MATCHED_REFERENCE
brusselator,7,40352252661239645/288230376151711744,endpoint,x,0.09648394344121924,0.09166012907843535,1.05262718273783,REUSED_MATCHED_REFERENCE
brusselator,7,40352252661239645/288230376151711744,endpoint,y,0.06743494323676646,0.07022076220939644,0.9603277024489889,REUSED_MATCHED_REFERENCE
brusselator,7,40352252661239645/288230376151711744,tube,x,0.14036790319809134,0.1355190397828958,1.035779942235154,REUSED_MATCHED_REFERENCE
brusselator,7,40352252661239645/288230376151711744,tube,y,0.1341356967855103,0.12922490424915178,1.0380019050112064,REUSED_MATCHED_REFERENCE
brusselator,8,5764607523034235/36028797018963968,endpoint,x,0.10647076577521397,0.10042628817811505,1.0601882007864165,REUSED_MATCHED_REFERENCE
brusselator,8,5764607523034235/36028797018963968,endpoint,y,0.0716120466488337,0.0739969284268649,0.9677705300918226,REUSED_MATCHED_REFERENCE
brusselator,8,5764607523034235/36028797018963968,tube,x,0.1513348399169725,0.14525671458780187,1.0418440231587136,REUSED_MATCHED_REFERENCE
brusselator,8,5764607523034235/36028797018963968,tube,y,0.14101594383899307,0.13485978686641786,1.045648574090311,REUSED_MATCHED_REFERENCE
brusselator,9,51881467707308115/288230376151711744,endpoint,x,0.11671488976372713,0.10936039612766923,1.0672500639762874,REUSED_MATCHED_REFERENCE
brusselator,9,51881467707308115/288230376151711744,endpoint,y,0.07566449400962849,0.07756613372747845,0.975483634075005,REUSED_MATCHED_REFERENCE
brusselator,9,51881467707308115/288230376151711744,tube,x,0.1623575056458184,0.15495752479107439,1.0477548984131055,REUSED_MATCHED_REFERENCE
brusselator,9,51881467707308115/288230376151711744,tube,y,0.14762955118805454,0.14010034575032204,1.0537415193189499,REUSED_MATCHED_REFERENCE
brusselator,10,28823037615171175/144115188075855872,endpoint,x,0.12708432106966616,0.11836109773203551,1.0737000881605514,REUSED_MATCHED_REFERENCE
brusselator,10,28823037615171175/144115188075855872,endpoint,y,0.07950750260655592,0.08086093436115283,0.9832622295884932,REUSED_MATCHED_REFERENCE
brusselator,10,28823037615171175/144115188075855872,tube,x,0.1732607501463932,0.1644784379015436,1.0533949152052786,REUSED_MATCHED_REFERENCE
brusselator,10,28823037615171175/144115188075855872,tube,y,0.1538361325306079,0.1448329350640276,1.0621626390613446,REUSED_MATCHED_REFERENCE
brusselator,11,63410682753376585/288230376151711744,endpoint,x,0.1374191905799862,0.12724311624301876,1.0799734762667426,REUSED_MATCHED_REFERENCE
brusselator,11,63410682753376585/288230376151711744,endpoint,y,0.0830477515080199,0.08385452837003937,0.9903788515933301,REUSED_MATCHED_REFERENCE
brusselator,11,63410682753376585/288230376151711744,tube,x,0.18384253390861738,0.1735923162430073,1.0590476461599894,REUSED_MATCHED_REFERENCE
brusselator,11,63410682753376585/288230376151711744,tube,y,0.1594769134971954,0.14898356867520457,1.0704329001869133,REUSED_MATCHED_REFERENCE
brusselator,12,17293822569102705/72057594037927936,endpoint,x,0.14753487402037457,0.13586193904642352,1.0859176238457957,REUSED_MATCHED_REFERENCE
brusselator,12,17293822569102705/72057594037927936,endpoint,y,0.08618663600564691,0.08639927828218408,0.9975388419814959,REUSED_MATCHED_REFERENCE
brusselator,12,17293822569102705/72057594037927936,tube,x,0.19398350147593102,0.18222046276652049,1.0645538845134124,REUSED_MATCHED_REFERENCE
brusselator,12,17293822569102705/72057594037927936,tube,y,0.16438634107942418,0.15235831093233942,1.0789456779448432,REUSED_MATCHED_REFERENCE
brusselator,13,74939897799445055/288230376151711744,endpoint,x,0.15723560493309763,0.14402067939673469,1.0917571392644225,REUSED_MATCHED_REFERENCE
brusselator,13,74939897799445055/288230376151711744,endpoint,y,0.08883478030399372,0.08838927913853256,1.0050402172051083,REUSED_MATCHED_REFERENCE
brusselator,13,74939897799445055/288230376151711744,tube,x,0.2036052557143173,0.19028116119330107,1.0700231932444468,REUSED_MATCHED_REFERENCE
brusselator,13,74939897799445055/288230376151711744,tube,y,0.16840892644078798,0.15480828913671774,1.087854709718153,REUSED_MATCHED_REFERENCE
brusselator,14,40352252661239645/144115188075855872,endpoint,x,0.16702470694243532,0.15158916889444685,1.1018248082007522,REUSED_MATCHED_REFERENCE
brusselator,14,40352252661239645/144115188075855872,endpoint,y,0.09805678222912473,0.09752636094201694,1.0054387478624691,REUSED_MATCHED_REFERENCE
brusselator,14,40352252661239645/144115188075855872,tube,x,0.21308964030456945,0.19738649250007545,1.079555331297495,REUSED_MATCHED_REFERENCE
brusselator,14,40352252661239645/144115188075855872,tube,y,0.17991709501517317,0.16399827375762044,1.0970670049922586,REUSED_MATCHED_REFERENCE
brusselator,15,86469112845513525/288230376151711744,endpoint,x,0.17614409743197346,0.15833042319707102,1.1125094841231498,REUSED_MATCHED_REFERENCE
brusselator,15,86469112845513525/288230376151711744,endpoint,y,0.10780214939345845,0.10734976728064849,1.0042140949558584,REUSED_MATCHED_REFERENCE
brusselator,15,86469112845513525/288230376151711744,tube,x,0.221527682728484,0.2032700540554857,1.0898195691334573,REUSED_MATCHED_REFERENCE
brusselator,15,86469112845513525/288230376151711744,tube,y,0.19217919123445393,0.17382693990968612,1.1055777161716298,REUSED_MATCHED_REFERENCE
brusselator,16,5764607523034235/18014398509481984,endpoint,x,0.184248255242339,0.1641328601240275,1.1225555632376798,REUSED_MATCHED_REFERENCE
brusselator,16,5764607523034235/18014398509481984,endpoint,y,0.1166572589025181,0.11632560829084992,1.0028510541792222,REUSED_MATCHED_REFERENCE
brusselator,16,5764607523034235/18014398509481984,tube,x,0.22854691338419864,0.20780032291309647,1.0998390675253116,REUSED_MATCHED_REFERENCE
brusselator,16,5764607523034235/18014398509481984,tube,y,0.20328715281836596,0.182417038251399,1.1144088006637007,REUSED_MATCHED_REFERENCE
brusselator,17,97998327891581995/288230376151711744,endpoint,x,0.19130438624241597,0.16895387382897864,1.1322876587965147,REUSED_MATCHED_REFERENCE
brusselator,17,97998327891581995/288230376151711744,endpoint,y,0.12453546870884002,0.1243974701895203,1.0011093354158207,REUSED_MATCHED_REFERENCE
brusselator,17,97998327891581995/288230376151711744,tube,x,0.23409950454827966,0.21092623811142674,1.1098643139153275,REUSED_MATCHED_REFERENCE
brusselator,17,97998327891581995/288230376151711744,tube,y,0.2129362293408683,0.18965055043988022,1.122782026453278,REUSED_MATCHED_REFERENCE
brusselator,18,51881467707308115/144115188075855872,endpoint,x,0.19711303876345188,0.17257654225149022,1.1421774720471882,REUSED_MATCHED_REFERENCE
brusselator,18,51881467707308115/144115188075855872,endpoint,y,0.13138730378595542,0.1314462088943127,0.999551869096471,REUSED_MATCHED_REFERENCE
brusselator,18,51881467707308115/144115188075855872,tube,x,0.237980718944796,0.21243421787111672,1.1202560554024223,REUSED_MATCHED_REFERENCE
brusselator,18,51881467707308115/144115188075855872,tube,y,0.22099818629440082,0.19540358898419874,1.1309832508361541,REUSED_MATCHED_REFERENCE
brusselator,19,109527542937650465/288230376151711744,endpoint,x,0.20166609978715933,0.17487383978231597,1.1532090794037264,REUSED_MATCHED_REFERENCE
brusselator,19,109527542937650465/288230376151711744,endpoint,y,0.1371690441286073,0.13722209768800497,0.9996133745199094,REUSED_MATCHED_REFERENCE
brusselator,19,109527542937650465/288230376151711744,tube,x,0.2401920287345658,0.21221524284479365,1.1318321224938273,REUSED_MATCHED_REFERENCE
brusselator,19,109527542937650465/288230376151711744,tube,y,0.22737770947681657,0.19943584289340732,1.1401045377702912,REUSED_MATCHED_REFERENCE
brusselator,20,28823037615171175/72057594037927936,endpoint,x,0.20464444590439967,0.17724441324431517,1.1545889777767837,REUSED_MATCHED_REFERENCE
brusselator,20,28823037615171175/72057594037927936,endpoint,y,0.14171675316981003,0.14164958613455725,1.0004741774196853,REUSED_MATCHED_REFERENCE
brusselator,20,28823037615171175/72057594037927936,tube,x,0.2404369008813978,0.21169981558265416,1.1357444984996872,REUSED_MATCHED_REFERENCE
brusselator,20,28823037615171175/72057594037927936,tube,y,0.2318514627350854,0.20169588137090466,1.149510149434964,REUSED_MATCHED_REFERENCE
