plant,step,kind,component,t_end_exact,optimized_lo,optimized_hi,flowstar_lo,flowstar_hi,optimized_over_flowstar_width,data_origin,duration
brusselator,1,endpoint,x,5764607523034235/288230376151711744,1.5127036632418802,1.5587985840817908,1.5127031007134868,1.5587991482634331,0.9999755573396072,REUSED_MATCHED_REFERENCE,0.02
brusselator,1,endpoint,y,5764607523034235/288230376151711744,2.9323283041647166,2.975459354504743,2.9304159732352506,2.9773716835963673,0.9185474995122809,REUSED_MATCHED_REFERENCE,0.02
brusselator,1,tube,x,5764607523034235/288230376151711744,1.4769643301053283,1.5587997814190253,1.4769643298801534,1.558799783297449,0.9999999742947764,REUSED_MATCHED_REFERENCE,0.02
brusselator,1,tube,y,5764607523034235/288230376151711744,2.9304153437356084,3.023465371233715,2.930415342035115,3.0234653710963673,0.9999999832010196,REUSED_MATCHED_REFERENCE,0.02
brusselator,2,endpoint,x,5764607523034235/144115188075855872,1.5463761512597176,1.599556828990446,1.5466563550806873,1.5992985992497406,1.010228165044523,REUSED_MATCHED_REFERENCE,0.02
brusselator,2,endpoint,y,5764607523034235/144115188075855872,2.882151718027856,2.9290362687616276,2.8802509677869637,2.9309143101550363,0.9254136924712132,REUSED_MATCHED_REFERENCE,0.02
brusselator,2,tube,x,5764607523034235/144115188075855872,1.5091610849669717,1.5995604756647253,1.5094427193034894,1.5993008154084716,1.0060238822792218,REUSED_MATCHED_REFERENCE,0.02
brusselator,2,tube,y,5764607523034235/144115188075855872,2.8799880904426747,2.979495746788294,2.8802501787343835,2.9792109496491013,1.0055262850708055,REUSED_MATCHED_REFERENCE,0.02
brusselator,3,endpoint,x,17293822569102705/288230376151711744,1.5812330143145392,1.6420417716863296,1.5818419791641698,1.6414781754208996,1.0196619031504424,REUSED_MATCHED_REFERENCE,0.02
brusselator,3,endpoint,y,17293822569102705/288230376151711744,2.829682061932861,2.8804775172001102,2.8278123133732094,2.8822998372269653,0.9322401106643016,REUSED_MATCHED_REFERENCE,0.02
brusselator,3,tube,x,17293822569102705/288230376151711744,1.5425585045552446,1.6420501002282382,1.5431701258591628,1.6414838475085212,1.011980769356247,REUSED_MATCHED_REFERENCE,0.02
brusselator,3,tube,y,17293822569102705/288230376151711744,2.8272397649659826,2.9334292500095565,2.8278113506930493,2.932810235749692,1.0113391678996284,REUSED_MATCHED_REFERENCE,0.02
brusselator,4,endpoint,x,5764607523034235/72057594037927936,1.6172348433671564,1.6862124799735416,1.6182252193530684,1.685290801355775,1.028510221585812,REUSED_MATCHED_REFERENCE,0.02
brusselator,4,endpoint,y,5764607523034235/72057594037927936,2.7749418026833546,2.829783508350424,2.7731279680939784,2.831524655027284,0.9391235795568981,REUSED_MATCHED_REFERENCE,0.02
brusselator,4,tube,x,5764607523034235/72057594037927936,1.5771400487046223,1.6862265640478258,1.578134734258616,1.685300575861978,1.0179224434867067,REUSED_MATCHED_REFERENCE,0.02
brusselator,4,tube,y,5764607523034235/72057594037927936,2.7721880313653333,2.8852488009853445,2.773122868049615,2.884241276388548,1.0174801035230268,REUSED_MATCHED_REFERENCE,0.02
brusselator,5,endpoint,x,28823037615171175/288230376151711744,1.6543235760543609,1.7319953954935308,1.655751858840091,1.7306614911223297,1.0368735911895024,REUSED_MATCHED_REFERENCE,0.02
brusselator,5,endpoint,y,28823037615171175/288230376151711744,2.7179844295424838,2.776977016553936,2.716251929865759,2.778608428718318,0.9460535484992388,REUSED_MATCHED_REFERENCE,0.02
brusselator,5,tube,x,28823037615171175/288230376151711744,1.6128731836008046,1.732016399625625,1.6143079260766526,1.730676035564306,1.0238476550782283,REUSED_MATCHED_REFERENCE,0.02
brusselator,5,tube,y,28823037615171175/288230376151711744,2.71488859524696,2.834948284098842,2.7162418179234415,2.8334939739100187,1.0239444029125264,REUSED_MATCHED_REFERENCE,0.02
brusselator,6,endpoint,x,17293822569102705/144115188075855872,1.692420192128526,1.7792786458552718,1.6943451084357726,1.7774728600075802,1.04487914185572,REUSED_MATCHED_REFERENCE,0.02
