plant,step,t_end_exact,view,kind,component,reference_lo_hex,reference_hi_hex,optimized_lo_hex,optimized_hi_hex,bit_identical,width_ratio
brusselator,1,5764607523034235/288230376151711744,published,endpoint,x,0x1.83408c1a29cb7p+0,0x1.8f0d6c8baeb27p+0,0x1.83408c1a29cb7p+0,0x1.8f0d6c8baeb27p+0,True,1.0
brusselator,1,5764607523034235/288230376151711744,published,endpoint,y,0x1.775688abc2e3dp+1,0x1.7cdbda25166bdp+1,0x1.775688abc2e3dp+1,0x1.7cdbda25166bdp+1,True,1.0
brusselator,1,5764607523034235/288230376151711744,published,tube,x,0x1.7a1a559729307p+0,0x1.8f0d80a234ea5p+0,0x1.7a1a559729307p+0,0x1.8f0d80a234ea5p+0,True,1.0
brusselator,1,5764607523034235/288230376151711744,published,tube,y,0x1.7717d998853e2p+1,0x1.8300e9cd04c92p+1,0x1.7717d998853e2p+1,0x1.8300e9cd04c92p+1,True,1.0
brusselator,1,5764607523034235/288230376151711744,common,endpoint,x,0x1.83408c1a29cc4p+0,0x1.8f0d6c8baeb1ap+0,0x1.83408c1a29cc4p+0,0x1.8f0d6c8baeb1ap+0,True,1.0
brusselator,1,5764607523034235/288230376151711744,common,endpoint,y,0x1.775688abc2e48p+1,0x1.7cdbda25166b1p+1,0x1.775688abc2e48p+1,0x1.7cdbda25166b1p+1,True,1.0
brusselator,1,5764607523034235/288230376151711744,common,tube,x,0x1.7a1a55972932fp+0,0x1.8f0d80a234e7dp+0,0x1.7a1a55972932fp+0,0x1.8f0d80a234e7dp+0,True,1.0
brusselator,1,5764607523034235/288230376151711744,common,tube,y,0x1.7717d9988540bp+1,0x1.8300e9cd04c67p+1,0x1.7717d9988540bp+1,0x1.8300e9cd04c67p+1,True,1.0
brusselator,2,5764607523034235/144115188075855872,published,endpoint,x,0x1.8bdf4eb4f98e1p+0,0x1.997c8e6c9b817p+0,0x1.8bdf4eb4f98e1p+0,0x1.997c8e6c9b817p+0,True,1.0
brusselator,2,5764607523034235/144115188075855872,published,endpoint,y,0x1.70ea58f585192p+1,0x1.76eaa9139085dp+1,0x1.70ea58f585192p+1,0x1.76eaa9139085dp+1,True,1.0
brusselator,2,5764607523034235/144115188075855872,published,tube,x,0x1.8258618054384p+0,0x1.997ccb9af448fp+0,0x1.8258618054384p+0,0x1.997ccb9af448fp+0,True,1.0
brusselator,2,5764607523034235/144115188075855872,published,tube,y,0x1.70a37322a90cap+1,0x1.7d601ddb83717p+1,0x1.70a37322a90cap+1,0x1.7d601ddb83717p+1,True,1.0
brusselator,2,5764607523034235/144115188075855872,common,endpoint,x,0x1.8bdf4eb4f98eep+0,0x1.997c8e6c9b809p+0,0x1.8bdf4eb4f98eep+0,0x1.997c8e6c9b809p+0,True,1.0
brusselator,2,5764607523034235/144115188075855872,common,endpoint,y,0x1.70ea58f5851a0p+1,0x1.76eaa9139084fp+1,0x1.70ea58f5851a0p+1,0x1.76eaa9139084fp+1,True,1.0
brusselator,2,5764607523034235/144115188075855872,common,tube,x,0x1.82586180543abp+0,0x1.997ccb9af4466p+0,0x1.82586180543abp+0,0x1.997ccb9af4466p+0,True,1.0
brusselator,2,5764607523034235/144115188075855872,common,tube,y,0x1.70a37322a90f4p+1,0x1.7d601ddb836edp+1,0x1.70a37322a90f4p+1,0x1.7d601ddb836edp+1,True,1.0
brusselator,3,17293822569102705/288230376151711744,published,endpoint,x,0x1.94cbafd3d6209p+0,0x1.a45cd97c0f06cp+0,0x1.94cbafd3d6209p+0,0x1.a45cd97c0f06cp+0,True,1.0
brusselator,3,17293822569102705/288230376151711744,published,endpoint,y,0x1.6a3305950a2bbp+1,0x1.70b37cbe9e6f8p+1,0x1.6a3305950a2bbp+1,0x1.70b37cbe9e6f8p+1,True,1.0
brusselator,3,17293822569102705/288230376151711744,published,tube,x,0x1.8ae51d393b3d4p+0,0x1.a45d6536dfb45p+0,0x1.8ae51d393b3d4p+0,0x1.a45d6536dfb45p+0,True,1.0
brusselator,3,17293822569102705/288230376151711744,published,tube,y,0x1.69e2fe1c3d61bp+1,0x1.777a9c12f5e0fp+1,0x1.69e2fe1c3d61bp+1,0x1.777a9c12f5e0fp+1,True,1.0
brusselator,3,17293822569102705/288230376151711744,common,endpoint,x,0x1.94cbafd3d6215p+0,0x1.a45cd97c0f05fp+0,0x1.94cbafd3d6215p+0,0x1.a45cd97c0f05fp+0,True,1.0
brusselator,3,17293822569102705/288230376151711744,common,endpoint,y,0x1.6a3305950a2c9p+1,0x1.70b37cbe9e6eap+1,0x1.6a3305950a2c9p+1,0x1.70b37cbe9e6eap+1,True,1.0
brusselator,3,17293822569102705/288230376151711744,common,tube,x,0x1.8ae51d393b3fdp+0,0x1.a45d6536dfb1bp+0,0x1.8ae51d393b3fdp+0,0x1.a45d6536dfb1bp+0,True,1.0
brusselator,3,17293822569102705/288230376151711744,common,tube,y,0x1.69e2fe1c3d644p+1,0x1.777a9c12f5de8p+1,0x1.69e2fe1c3d644p+1,0x1.777a9c12f5de8p+1,True,1.0
brusselator,4,5764607523034235/72057594037927936,published,endpoint,x,0x1.9e031a4a36aeep+0,0x1.afab9eff97eafp+0,0x1.9e031a4a36aeep+0,0x1.afab9eff97eafp+0,True,1.0
brusselator,4,5764607523034235/72057594037927936,published,endpoint,y,0x1.63314b016a04ap+1,0x1.6a3658939007dp+1,0x1.63314b016a04ap+1,0x1.6a3658939007dp+1,True,1.0
brusselator,4,5764607523034235/72057594037927936,published,tube,x,0x1.93bf734265edfp+0,0x1.afac8b4a3b5dcp+0,0x1.93bf734265edfp+0,0x1.afac8b4a3b5dcp+0,True,1.0
brusselator,4,5764607523034235/72057594037927936,published,tube,y,0x1.62d70eb289cfdp+1,0x1.714fd52c87159p+1,0x1.62d70eb289cfdp+1,0x1.714fd52c87159p+1,True,1.0
brusselator,4,5764607523034235/72057594037927936,common,endpoint,x,0x1.9e031a4a36afcp+0,0x1.afab9eff97ea2p+0,0x1.9e031a4a36afcp+0,0x1.afab9eff97ea2p+0,True,1.0
brusselator,4,5764607523034235/72057594037927936,common,endpoint,y,0x1.63314b016a058p+1,0x1.6a36589390070p+1,0x1.63314b016a058p+1,0x1.6a36589390070p+1,True,1.0
brusselator,4,5764607523034235/72057594037927936,common,tube,x,0x1.93bf734265f07p+0,0x1.afac8b4a3b5b4p+0,0x1.93bf734265f07p+0,0x1.afac8b4a3b5b4p+0,True,1.0
brusselator,4,5764607523034235/72057594037927936,common,tube,y,0x1.62d70eb289d24p+1,0x1.714fd52c87130p+1,0x1.62d70eb289d24p+1,0x1.714fd52c87130p+1,True,1.0
brusselator,5,28823037615171175/288230376151711744,published,endpoint,x,0x1.a781bff827bd9p+0,0x1.bb640cdc77a1cp+0,0x1.a781bff827bd9p+0,0x1.bb640cdc77a1cp+0,True,1.0
brusselator,5,28823037615171175/288230376151711744,published,endpoint,y,0x1.5be6e9edf6093p+1,0x1.6373fb9debe20p+1,0x1.5be6e9edf6093p+1,0x1.6373fb9debe20p+1,True,1.0
brusselator,5,28823037615171175/288230376151711744,published,tube,x,0x1.9ce541c8292b7p+0,0x1.bb656d40871bap+0,0x1.9ce541c8292b7p+0,0x1.bb656d40871bap+0,True,1.0
brusselator,5,28823037615171175/288230376151711744,published,tube,y,0x1.5b8178306f3b5p+1,0x1.6adf95db07289p+1,0x1.5b8178306f3b5p+1,0x1.6adf95db07289p+1,True,1.0
brusselator,5,28823037615171175/288230376151711744,common,endpoint,x,0x1.a781bff827be6p+0,0x1.bb640cdc77a10p+0,0x1.a781bff827be6p+0,0x1.bb640cdc77a10p+0,True,1.0
brusselator,5,28823037615171175/288230376151711744,common,endpoint,y,0x1.5be6e9edf60a2p+1,0x1.6373fb9debe11p+1,0x1.5be6e9edf60a2p+1,0x1.6373fb9debe11p+1,True,1.0
brusselator,5,28823037615171175/288230376151711744,common,tube,x,0x1.9ce541c8292e1p+0,0x1.bb656d4087191p+0,0x1.9ce541c8292e1p+0,0x1.bb656d4087191p+0,True,1.0
brusselator,5,28823037615171175/288230376151711744,common,tube,y,0x1.5b8178306f3ddp+1,0x1.6adf95db0725ep+1,0x1.5b8178306f3ddp+1,0x1.6adf95db0725ep+1,True,1.0
brusselator,6,17293822569102705/144115188075855872,published,endpoint,x,0x1.b142732048340p+0,0x1.c77ece2a6b690p+0,0x1.b142732048340p+0,0x1.c77ece2a6b690p+0,True,1.0
brusselator,6,17293822569102705/144115188075855872,published,endpoint,y,0x1.5456d2a47f8b7p+1,0x1.5c6e017d31a42p+1,0x1.5456d2a47f8b7p+1,0x1.5c6e017d31a42p+1,True,1.0
brusselator,6,17293822569102705/144115188075855872,published,tube,x,0x1.a6534aa1167e3p+0,0x1.c780b751a955fp+0,0x1.a6534aa1167e3p+0,0x1.c780b751a955fp+0,True,1.0
brusselator,6,17293822569102705/144115188075855872,published,tube,y,0x1.53e52af9e9306p+1,0x1.642a73cfd8bd0p+1,0x1.53e52af9e9306p+1,0x1.642a73cfd8bd0p+1,True,1.0
brusselator,6,17293822569102705/144115188075855872,common,endpoint,x,0x1.b14273204834dp+0,0x1.c77ece2a6b683p+0,0x1.b14273204834dp+0,0x1.c77ece2a6b683p+0,True,1.0
brusselator,6,17293822569102705/144115188075855872,common,endpoint,y,0x1.5456d2a47f8c5p+1,0x1.5c6e017d31a34p+1,0x1.5456d2a47f8c5p+1,0x1.5c6e017d31a34p+1,True,1.0
brusselator,6,17293822569102705/144115188075855872,common,tube,x,0x1.a6534aa11680cp+0,0x1.c780b751a9535p+0,0x1.a6534aa11680cp+0,0x1.c780b751a9535p+0,True,1.0
brusselator,6,17293822569102705/144115188075855872,common,tube,y,0x1.53e52af9e932ep+1,0x1.642a73cfd8ba8p+1,0x1.53e52af9e932ep+1,0x1.642a73cfd8ba8p+1,True,1.0
brusselator,7,40352252661239645/288230376151711744,published,endpoint,x,0x1.bb3e81f30f1a9p+0,0x1.d3f1ade8ba69ap+0,0x1.bb3e81f30f1a9p+0,0x1.d3f1ade8ba69ap+0,True,1.0
brusselator,7,40352252661239645/288230376151711744,published,endpoint,y,0x1.4c854ec9c30cbp+1,0x1.55270417aaacep+1,0x1.4c854ec9c30cbp+1,0x1.55270417aaacep+1,True,1.0
brusselator,7,40352252661239645/288230376151711744,published,tube,x,0x1.b0050da03b511p+0,0x1.d3f43441e02cap+0,0x1.b0050da03b511p+0,0x1.d3f43441e02cap+0,True,1.0
brusselator,7,40352252661239645/288230376151711744,published,tube,y,0x1.4c067932470fep+1,0x1.5d31d4f9bcd5fp+1,0x1.4c067932470fep+1,0x1.5d31d4f9bcd5fp+1,True,1.0
