window,plant,execution_mode,instrumentation,step,history_before,replay_calls,solve_seconds,prepared_plan_count,prepared_operation_count,prepared_operation_hits,prepared_plan_setup_s
brusselator_0001_0020,brusselator,reference,production_diagnostic,1,0,8,1.1885098489001393,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,production_diagnostic,2,1,8,1.4438713686540723,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,production_diagnostic,3,2,8,1.5161298592574894,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,production_diagnostic,4,3,8,1.5116123831830919,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,production_diagnostic,5,4,8,1.5172602199018002,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,production_diagnostic,6,5,8,1.5563376708887517,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,production_diagnostic,7,6,8,1.6244977419264615,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,production_diagnostic,8,7,8,1.6655552349984646,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,production_diagnostic,9,8,7,1.6424452560022473,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,production_diagnostic,10,9,7,1.7343879179097712,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,production_diagnostic,11,10,7,1.6918807430192828,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,production_diagnostic,12,11,7,1.7380171758122742,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,production_diagnostic,13,12,7,1.7226949902251363,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,production_diagnostic,14,13,7,1.747173560783267,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,production_diagnostic,15,14,7,1.826950625050813,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,production_diagnostic,16,15,7,1.8590944558382034,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,production_diagnostic,17,16,7,1.9165194891393185,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,production_diagnostic,18,17,7,2.004681727848947,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,production_diagnostic,19,18,7,1.9724474190734327,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,production_diagnostic,20,19,7,2.013913764618337,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,scoped,1,0,8,1.178863882087171,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,scoped,2,1,8,1.469846515916288,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,scoped,3,2,8,1.5568684511817992,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,scoped,4,3,8,1.5607060929760337,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,scoped,5,4,8,1.5437355460599065,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,scoped,6,5,8,1.5923787979409099,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,scoped,7,6,8,1.6656968076713383,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,scoped,8,7,8,1.7103644330054522,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,scoped,9,8,7,1.6651715789921582,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,scoped,10,9,7,1.7333376142196357,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,scoped,11,10,7,1.7498978809453547,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,scoped,12,11,7,1.7878352249972522,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,scoped,13,12,7,1.797988077159971,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,scoped,14,13,7,1.8146327259019017,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,scoped,15,14,7,1.9040995556861162,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,scoped,16,15,7,1.914231943897903,0,0,0,0.0
brusselator_0001_0020,brusselator,reference,scoped,17,16,7,1.9760871273465455,0,0,0,0.0
