file,line,function,primitive_calls,total_calls,self_seconds,inclusive_seconds
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,56,__init__,121946,121946,1.40093682,4.633831983
~,0,<method 'clone' of 'torch._C.TensorBase' objects>,596541,596541,1.152284947,1.152284947
~,0,<built-in method torch.any>,371038,371038,0.8788868080000001,0.8788868080000001
~,0,<built-in method torch.stack>,101239,101239,0.7080055670000001,0.7080055670000001
~,0,<built-in method torch.full_like>,265369,265369,0.649242525,0.649242525
~,0,<built-in method torch.min>,81297,81297,0.634389993,0.634389993
~,0,<built-in method torch.nextafter>,258789,258789,0.6044771750000001,0.6044771750000001
~,0,<built-in method torch.max>,87297,87297,0.5798932520000001,0.5798932520000001
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,397,_interval_mul,23900,23900,0.540218225,1.4935592610000001
~,0,<method 'reshape' of 'torch._C.TensorBase' objects>,321977,321977,0.47360892600000004,0.47360892600000004
~,0,<built-in method torch.isnan>,243892,243892,0.465701387,0.465701387
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,152,__mul__,34342,34342,0.46244748,2.979290606
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,15,_as_tensor,243932,243932,0.426457483,1.463030939
~,0,<built-in method unique_dim>,40,40,0.35707248,0.35707248
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,175,pow_int,28271,28271,0.322609607,1.699539249
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,487,_power_interval_bounds,5400,5400,0.29442399,1.223881165
~,0,<method 'pow' of 'torch._C.TensorBase' objects>,99712,99712,0.28767493,0.28767493
~,0,<built-in method torch.all>,100746,100746,0.28691924500000004,0.28691924500000004
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,1131,validate_dense_subdivision_cover,1800,1800,0.28063281700000003,0.613074664
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,127,_is_zero_tensor,33834,33834,0.222175215,0.30400306200000005
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,135,__add__,27772,27772,0.20771883500000002,1.5718312710000002
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,246,__post_init__,11300,11300,0.19599496200000002,0.41321476300000004
~,0,<built-in method torch.abs>,78037,78037,0.19209952800000002,0.19209952800000002
~,0,<built-in method torch.isfinite>,22556,22556,0.18717898000000002,0.18717898000000002
~,0,<method 'sum' of 'torch._C.TensorBase' objects>,8320,8320,0.169237847,0.169237847
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,316,evaluate_interval,1888,1888,0.158452855,5.755466232000001
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,520,_monomial_interval_bounds_for_exponents,1800,1800,0.150987101,1.679930013
~,0,<built-in method torch.where>,40741,40741,0.141396511,0.141396511
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,142,__init__,2534,2534,0.135276171,0.617330669
~,0,<built-in method torch.zeros_like>,75325,75325,0.13248479900000001,0.13248479900000001
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,546,_range_for_terms,1800,1800,0.127971849,1.8911402080000002
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,2857,_affine_power_transform_matrix,320,320,0.12470705200000001,0.7131785580000001
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/scanner.py,145,need_more_tokens,176660,176660,0.112420529,0.203391958
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,2902,_power_to_bernstein_matrix,320,320,0.110084389,0.273214265
~,0,<built-in method torch.as_tensor>,25193,25193,0.103316507,0.103316507
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,36,_down,81354,81354,0.10074345800000001,0.5579522920000001
~,0,<method 'index_select' of 'torch._C.TensorBase' objects>,16800,16800,0.10036006800000001,0.10036006800000001
~,0,<built-in method torch.is_floating_point>,261601,261601,0.099648067,0.099648067
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/reader.py,99,forward,59240,59240,0.09841780400000001,0.10405818800000001
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,40,_up,85222,85222,0.09387305300000001,0.47168460500000003
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/reader.py,114,get_mark,55600,55600,0.088359803,0.104546101
