window,plant,step,history_before,replay_calls,optimized_plan_count,optimized_ordered_operations_prepared,optimized_ordered_operation_hits,plan_setup_inside_diagnostic_solve_seconds,reference_fixed_polynomial_calls,reference_fixed_polynomial_exclusive_seconds,reference_whole_refinement_scoped_seconds,optimized_fixed_polynomial_calls,optimized_fixed_polynomial_exclusive_seconds,optimized_whole_refinement_scoped_seconds
brusselator_0001_0020,brusselator,1,0,8,1,34,238,0.06494870409369469,312,0.5042866328731179,0.5914230071939528,39,0.06383485486730933,0.14622517488896847
brusselator_0001_0020,brusselator,2,1,8,1,34,238,0.06498086685314775,312,0.5014355536550283,0.5874250009655952,39,0.06364593235775828,0.1490279110148549
brusselator_0001_0020,brusselator,3,2,8,1,34,238,0.06473277555778623,312,0.5171377346850932,0.6058806357905269,39,0.06449607945978642,0.1483316938392818
brusselator_0001_0020,brusselator,4,3,8,1,34,238,0.06704638106748462,312,0.5060716737061739,0.5925814569927752,39,0.06350199691951275,0.14871128788217902
brusselator_0001_0020,brusselator,5,4,8,1,34,238,0.06468125013634562,312,0.5032239821739495,0.5895532490685582,39,0.06391355395317078,0.14704708382487297
brusselator_0001_0020,brusselator,6,5,8,1,34,238,0.06500804796814919,312,0.5050304057076573,0.5920366928912699,39,0.06934446981176734,0.16298398189246655
brusselator_0001_0020,brusselator,7,6,8,1,34,238,0.06830284278839827,312,0.5191142642870545,0.6077646580524743,39,0.0637145577929914,0.14648283179849386
brusselator_0001_0020,brusselator,8,7,8,1,34,238,0.06500102812424302,312,0.50235990062356,0.5882950099185109,39,0.0650313924998045,0.15044977236539125
brusselator_0001_0020,brusselator,9,8,7,1,34,204,0.06556507013738155,273,0.44120367523282766,0.5174662638455629,39,0.06364952167496085,0.13800272718071938
brusselator_0001_0020,brusselator,10,9,7,1,34,204,0.06548251677304506,273,0.4483798877336085,0.5253467471338809,39,0.06418775767087936,0.13863025698810816
brusselator_0001_0020,brusselator,11,10,7,1,34,204,0.06563866883516312,273,0.4530381988734007,0.5304861948825419,39,0.06334007391706109,0.13670303719118237
brusselator_0001_0020,brusselator,12,11,7,1,34,204,0.06611329223960638,273,0.45252457447350025,0.5313321012072265,39,0.06457649497315288,0.1390023143030703
brusselator_0001_0020,brusselator,13,12,7,1,34,204,0.06577660795301199,273,0.44707677932456136,0.5239049927331507,39,0.06461076531559229,0.13699977984651923
brusselator_0001_0020,brusselator,14,13,7,1,34,204,0.07478442275896668,273,0.4423674223944545,0.5178732732310891,39,0.06325791962444782,0.13704099785536528
brusselator_0001_0020,brusselator,15,14,7,1,34,204,0.06580139277502894,273,0.4465020187199116,0.5226433277130127,39,0.06349267670884728,0.14669294515624642
brusselator_0001_0020,brusselator,16,15,7,1,34,204,0.06584359938278794,273,0.4424285953864455,0.5181831140071154,39,0.0641785804182291,0.13664502883329988
brusselator_0001_0020,brusselator,17,16,7,1,34,204,0.06524040829390287,273,0.4436157173477113,0.5194161566905677,39,0.0695885312743485,0.14549203496426344
brusselator_0001_0020,brusselator,18,17,7,1,34,204,0.066852951887995,273,0.4508026889525354,0.5276505742222071,39,0.06381368450820446,0.1366009097546339
brusselator_0001_0020,brusselator,19,18,7,1,34,204,0.06738742208108306,273,0.45238547725602984,0.5298892660066485,39,0.06383608561009169,0.13625899516046047
brusselator_0001_0020,brusselator,20,19,7,1,34,204,0.06580303749069571,273,0.45444252947345376,0.5324344751425087,39,0.06586123537272215,0.13885669084265828
brusselator_0101_0120,brusselator,101,100,9,1,34,272,0.06864974368363619,351,0.6316790468990803,0.7409323691390455,39,0.06345691019669175,0.16026299400255084
brusselator_0101_0120,brusselator,102,101,9,1,34,272,0.06827917927876115,351,0.5771839953958988,0.6760772569105029,39,0.06690294248983264,0.1702613472007215
brusselator_0101_0120,brusselator,103,102,9,1,34,272,0.06613562535494566,351,0.5753498482517898,0.6742794369347394,39,0.06399035267531872,0.1568699418567121
brusselator_0101_0120,brusselator,104,103,9,1,34,272,0.0670703025534749,351,0.5737480553798378,0.6720212851651013,39,0.11707132682204247,0.20966158993542194
brusselator_0101_0120,brusselator,105,104,9,1,34,272,0.06657657912001014,351,0.5799171617254615,0.6797284041531384,39,0.06299096252769232,0.15771031193435192
brusselator_0101_0120,brusselator,106,105,9,1,34,272,0.06692631030455232,351,0.583608572371304,0.6838486106134951,39,0.06349024269729853,0.15560251474380493
brusselator_0101_0120,brusselator,107,106,9,1,34,272,0.06631610076874495,351,0.5743457190692425,0.6719360258430243,39,0.06378215132281184,0.1557277636602521
