run,stage,plant,execution_mode,data_origin,source_sha,config_digest,source_root,imported_package,python,python_version,torch_version,affinity,threads,dtype,start_step,steps,rejections,actual_sum_h,setup_seconds,checkpoint_load_seconds,plan_preparation_inside_solve_seconds,solve_seconds,numerical_with_setup_seconds,export_seconds,inside_process_seconds,whole_process_seconds,peak_rss_bytes,replay_calls,prepared_plans,prepared_operations,prepared_operation_hits,start_unix,finish_unix,load_before,load_after
full_brusselator_reference,full,brusselator,reference,FRESH_REPAIRED_REFERENCE,e2d00f1b9e1824e8591f6655397bfc3762d6d0ed,eb18fc683e68ff37d4e2aae4650b818080a7218b1fa222b19835f22dd0914c6d,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/reference_source,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/reference_source/src/torch_tm_flowpipe/__init__.py,/srv/local/shengenli/miniforge3/envs/py11/bin/python,"3.11.15 | packaged by conda-forge | (main, Mar  5 2026, 16:45:40) [GCC 14.3.0]",2.5.1+cu121,3,1,float64,1,1000,0,720575940379279375/36028797018963968,0.00300332298502326,0.0,0.0,1980.3954096045345,1980.3984129275195,92.74029888771474,2075.931811804883,2077.948375817854,482312192,8806,0,0,0,1788857648.3649874,1788859726.3133636,"[0.24072265625, 0.71142578125, 0.669921875]","[1.1142578125, 1.4677734375, 1.64697265625]"
full_van_der_pol_reference,full,van_der_pol,reference,FRESH_REPAIRED_REFERENCE,e2d00f1b9e1824e8591f6655397bfc3762d6d0ed,b77b1c4f71b1e4d60340fd4a82a6b57a067dc749d98f56bf25255538e67e0110,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/reference_source,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/reference_source/src/torch_tm_flowpipe/__init__.py,/srv/local/shengenli/miniforge3/envs/py11/bin/python,"3.11.15 | packaged by conda-forge | (main, Mar  5 2026, 16:45:40) [GCC 14.3.0]",2.5.1+cu121,3,1,float64,1,1000,0,720575940379279375/72057594037927936,0.003023989964276552,0.0,0.0,706.0341191939078,706.0371431838721,20.75776126049459,727.417218639981,729.4002378480509,465907712,4386,0,0,0,1788859726.3138325,1788860455.7140718,"[1.1142578125, 1.4677734375, 1.64697265625]","[2.1962890625, 1.98974609375, 1.74609375]"
window_brusselator_0001_0020_pair1_reference,window,brusselator,reference,FRESH_REPAIRED_REFERENCE,f627d6489155c775d4a7f3afde27c88982494ba2,6b99fff097aea08486d45e48d3494e33abaaa70e4cb9686b7524aa41ee10d028,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/__init__.py,/srv/local/shengenli/miniforge3/envs/py11/bin/python,"3.11.15 | packaged by conda-forge | (main, Mar  5 2026, 16:45:40) [GCC 14.3.0]",2.5.1+cu121,3,1,float64,1,20,0,28823037615171175/72057594037927936,0.0028600157238543034,0.0,0.0,33.779375695157796,33.78223571088165,0.8530417326837778,34.98657847382128,36.949720743112266,459862016,148,0,0,0,1788860491.4615664,1788860528.4112844,"[1.80908203125, 1.912109375, 1.7275390625]","[1.89501953125, 1.92236328125, 1.73779296875]"
window_brusselator_0001_0020_pair1_prepared_remainder_replay,window,brusselator,prepared_remainder_replay,FRESH_OPTIMIZED,f627d6489155c775d4a7f3afde27c88982494ba2,6b99fff097aea08486d45e48d3494e33abaaa70e4cb9686b7524aa41ee10d028,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/__init__.py,/srv/local/shengenli/miniforge3/envs/py11/bin/python,"3.11.15 | packaged by conda-forge | (main, Mar  5 2026, 16:45:40) [GCC 14.3.0]",2.5.1+cu121,3,1,float64,1,20,0,28823037615171175/72057594037927936,0.002900669351220131,0.0,1.3172870357520878,26.097116104327142,26.100016773678362,0.8690420892089605,27.323412460740656,29.28358680382371,459145216,148,20,680,4352,1788860528.4120076,1788860557.6955924,"[1.89501953125, 1.92236328125, 1.73779296875]","[1.93798828125, 1.93115234375, 1.74658203125]"
window_brusselator_0001_0020_pair2_prepared_remainder_replay,window,brusselator,prepared_remainder_replay,FRESH_OPTIMIZED,f627d6489155c775d4a7f3afde27c88982494ba2,6b99fff097aea08486d45e48d3494e33abaaa70e4cb9686b7524aa41ee10d028,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/__init__.py,/srv/local/shengenli/miniforge3/envs/py11/bin/python,"3.11.15 | packaged by conda-forge | (main, Mar  5 2026, 16:45:40) [GCC 14.3.0]",2.5.1+cu121,3,1,float64,1,20,0,28823037615171175/72057594037927936,0.0028678043745458126,0.0,1.3126278123818338,25.541493679396808,25.544361483771354,0.8459821073338389,26.55527912080288,28.52356246765703,459685888,148,20,680,4352,1788860557.718613,1788860586.2421734,"[1.93798828125, 1.93115234375, 1.74658203125]","[1.9638671875, 1.93994140625, 1.75537109375]"
window_brusselator_0001_0020_pair2_reference,window,brusselator,reference,FRESH_REPAIRED_REFERENCE,f627d6489155c775d4a7f3afde27c88982494ba2,6b99fff097aea08486d45e48d3494e33abaaa70e4cb9686b7524aa41ee10d028,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/__init__.py,/srv/local/shengenli/miniforge3/envs/py11/bin/python,"3.11.15 | packaged by conda-forge | (main, Mar  5 2026, 16:45:40) [GCC 14.3.0]",2.5.1+cu121,3,1,float64,1,20,0,28823037615171175/72057594037927936,0.0029559540562331676,0.0,0.0,34.440098230261356,34.44305418431759,0.8779327347874641,35.50245169689879,37.45614407211542,459522048,148,0,0,0,1788860586.2430022,1788860623.6991444,"[1.9638671875, 1.93994140625, 1.75537109375]","[2.12841796875, 1.98046875, 1.7763671875]"
window_brusselator_0001_0020_pair3_reference,window,brusselator,reference,FRESH_REPAIRED_REFERENCE,f627d6489155c775d4a7f3afde27c88982494ba2,6b99fff097aea08486d45e48d3494e33abaaa70e4cb9686b7524aa41ee10d028,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/__init__.py,/srv/local/shengenli/miniforge3/envs/py11/bin/python,"3.11.15 | packaged by conda-forge | (main, Mar  5 2026, 16:45:40) [GCC 14.3.0]",2.5.1+cu121,3,1,float64,1,20,0,28823037615171175/72057594037927936,0.002891989890486002,0.0,0.0,34.27393534546718,34.276827335357666,0.8647997216321528,35.30369642935693,37.266248828265816,459354112,148,0,0,0,1788860623.7217023,1788860660.9879491,"[2.12841796875, 1.98046875, 1.7763671875]","[2.18310546875, 2.01611328125, 1.798828125]"
window_brusselator_0001_0020_pair3_prepared_remainder_replay,window,brusselator,prepared_remainder_replay,FRESH_OPTIMIZED,f627d6489155c775d4a7f3afde27c88982494ba2,6b99fff097aea08486d45e48d3494e33abaaa70e4cb9686b7524aa41ee10d028,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/__init__.py,/srv/local/shengenli/miniforge3/envs/py11/bin/python,"3.11.15 | packaged by conda-forge | (main, Mar  5 2026, 16:45:40) [GCC 14.3.0]",2.5.1+cu121,3,1,float64,1,20,0,28823037615171175/72057594037927936,0.003072062972933054,0.0,1.3088288404978812,25.869255781639367,25.8723278446123,0.8575771120376885,27.070827336981893,29.034993743989617,459358208,148,20,680,4352,1788860660.9888692,1788860690.023861,"[2.18310546875, 2.01611328125, 1.798828125]","[2.119140625, 2.013671875, 1.80615234375]"
window_brusselator_0101_0020_pair1_reference,window,brusselator,reference,FRESH_REPAIRED_REFERENCE,f627d6489155c775d4a7f3afde27c88982494ba2,3b4e4fd1ab7bd4983e5b655ba3fee4b4e66bb6127a9fd89e97c3ec533f105410,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/__init__.py,/srv/local/shengenli/miniforge3/envs/py11/bin/python,"3.11.15 | packaged by conda-forge | (main, Mar  5 2026, 16:45:40) [GCC 14.3.0]",2.5.1+cu121,3,1,float64,101,20,0,28823037615171175/72057594037927936,0.002847722265869379,0.039208979811519384,0.0,35.81228787265718,35.81513559492305,1.0263828104361892,37.04850244615227,39.02771469531581,460873728,180,0,0,0,1788860690.0467513,1788860729.0744636,"[2.119140625, 2.013671875, 1.80615234375]","[2.06005859375, 2.009765625, 1.81787109375]"
window_brusselator_0101_0020_pair1_prepared_remainder_replay,window,brusselator,prepared_remainder_replay,FRESH_OPTIMIZED,f627d6489155c775d4a7f3afde27c88982494ba2,3b4e4fd1ab7bd4983e5b655ba3fee4b4e66bb6127a9fd89e97c3ec533f105410,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/__init__.py,/srv/local/shengenli/miniforge3/envs/py11/bin/python,"3.11.15 | packaged by conda-forge | (main, Mar  5 2026, 16:45:40) [GCC 14.3.0]",2.5.1+cu121,3,1,float64,101,20,0,28823037615171175/72057594037927936,0.002872150857001543,0.04002826614305377,1.316547999624163,26.233917826320976,26.236789977177978,1.0430752686224878,27.49137229891494,29.47380796307698,460775424,180,20,680,5440,1788860729.0757027,1788860758.5495088,"[2.06005859375, 2.009765625, 1.81787109375]","[2.11572265625, 2.02392578125, 1.82958984375]"
window_brusselator_0101_0020_pair2_prepared_remainder_replay,window,brusselator,prepared_remainder_replay,FRESH_OPTIMIZED,f627d6489155c775d4a7f3afde27c88982494ba2,3b4e4fd1ab7bd4983e5b655ba3fee4b4e66bb6127a9fd89e97c3ec533f105410,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source,/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/__init__.py,/srv/local/shengenli/miniforge3/envs/py11/bin/python,"3.11.15 | packaged by conda-forge | (main, Mar  5 2026, 16:45:40) [GCC 14.3.0]",2.5.1+cu121,3,1,float64,101,20,0,28823037615171175/72057594037927936,0.002911434043198824,0.03991440683603287,1.3400321663357317,26.522688220255077,26.525599654298276,1.0677964193746448,27.805015719030052,29.795815050136298,461352960,180,20,680,5440,1788860758.5723767,1788860788.3681903,"[2.11572265625, 2.02392578125, 1.82958984375]","[2.06884765625, 2.02099609375, 1.83544921875]"
