run_id,plant,route,batch,steps,successful_lane_steps,wall_s,cpu_s,throughput,initial_state_s,total_service_groups,range_service_groups,resident_groups,total_requests,range_requests,resident_requests,resident_lane_outputs,resident_structure_fallbacks,hardware_fallback_requests,mean_range_group,max_range_group,mean_resident_group,max_resident_group,resident_block_host_span_sum_s,resident_request_packing_s,resident_transfer_and_sync_host_span_s,resident_h2d_device_s,resident_kernel_device_s,resident_post_d2h_checks_and_rebuild_s,resident_numeric_h2d_bytes,resident_metadata_h2d_bytes,resident_numeric_d2h_bytes,resident_metadata_d2h_bytes,resident_h2d_copy_operations,resident_d2h_copy_operations,resident_kernel_invocations,resident_host_synchronizations,resident_logical_device_local_intermediate_bytes_sum,request_build_calls,request_build_worker_wall_span_sum_s,request_build_worker_thread_cpu_sum_s,result_private_copy_worker_wall_span_sum_s,result_private_copy_worker_thread_cpu_sum_s,result_apply_worker_wall_span_sum_s,range_packet_kernel_invocations,range_packet_h2d_copy_operations,range_packet_d2h_copy_operations,range_packet_kernel_device_s,service_mutually_exclusive_wall_s,service_thread_cpu_sum_s,future_wait_worker_span_sum_s,cold_startup_s,peak_rss_kib,peak_gpu_allocated_bytes,pair,order_position,cpu_repetition
pair0-van_der_pol-Gp,van_der_pol,Gp,32,20,640,279.094373614,278.879599569,2.2931311431062693,0.119897335,4876,4876,0,70704,70704,0,0,0,0,14.500410172272355,32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19504,9752,9752,0.9749483533576226,13.351867519000027,8.681751468,4551.583401368,0.618646526,859600,58880,0,0,
pair0-van_der_pol-Gr,van_der_pol,Gr,32,20,640,247.362352353,247.181238581,2.587297516829416,0.126265699,3073,2591,482,19800,19160,640,1280,0,0,7.394828251640293,31,1.3278008298755186,6,19.334989749000005,8.874999287999989,1.148835943000001,0.02765107194334271,0.4295014393031599,9.311154517999999,983040,10240,593920,7712,964,964,482,482,2324480,640,5.438439585,0.232718676,0.938783623,0.449262082,0.026825725,10364,5182,5182,1.5210803282558978,32.14608544800004,4.33987255,2210.586505001,2.227807226,836616,62464,0,1,
pair0-brusselator-Gp,brusselator,Gp,32,20,640,411.504719821,411.210498222,1.5552677021016745,0.122114619,7139,7139,0,106919,106919,0,0,0,0,14.976747443619555,32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,28556,14278,14278,1.8392453153357298,21.818941810000105,12.750713823,5229.656706339,0.614356117,830688,58880,0,0,
pair0-brusselator-Gr,brusselator,Gr,32,20,640,354.576328311,354.321060207,1.8049710285190106,0.12419467,2804,2375,429,20992,20352,640,1280,0,0,8.569263157894737,29,1.491841491841492,6,19.403999032000012,6.614726608999996,1.984876169,0.10201932531967778,0.5147320303320884,10.804396254000002,1781760,10240,993280,6864,858,858,429,429,4198400,640,4.614932733,0.257405328,0.612285585,0.491057454,0.025977853,9500,4750,4750,1.4498764937520061,30.94579866299995,4.411349382,1801.211357751,2.214316353,764928,74240,0,1,
pair1-brusselator-Gr,brusselator,Gr,32,20,640,356.39220467,356.137140211,1.7957744069980586,0.128676234,3133,2685,448,20992,20352,640,1280,0,0,7.579888268156425,31,1.4285714285714286,6,17.992294411000017,6.4822175130000055,2.5206775489999997,0.024208735987544045,0.6522091605663304,8.989399348999997,1781760,10240,993280,7168,896,896,448,448,4198400,640,4.278426323,0.25731632,0.677422117,0.50576374,0.064382522,10740,5370,5370,1.0917775405496395,32.81006610500002,4.55406941,1960.866822983,2.22475651,766860,78336,1,0,
pair1-brusselator-Gp,brusselator,Gp,32,20,640,409.1701947,408.877029736,1.5641412993662511,0.121970112,7174,7174,0,106919,106919,0,0,0,0,14.90367995539448,32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,28696,14348,14348,1.4643169275373562,21.322538895999934,12.325151263,5414.004343305,0.614579011,829688,58880,1,1,
pair1-van_der_pol-Gr,van_der_pol,Gr,32,20,640,246.333980073,246.152542738,2.598098726819332,0.121984768,3094,2601,493,19800,19160,640,1280,0,0,7.36639753940792,29,1.2981744421906694,4,16.472611522999987,8.110852130000005,1.3231388439999996,0.06062166427075861,0.5018460121452816,7.038620549000004,983040,10240,593920,7888,986,986,493,493,2324480,640,5.40112023,0.233267793,0.73235198,0.451631361,0.02702113,10404,5202,5202,1.3125908419638892,30.54203238399997,4.440634286,2137.695408353,2.222171423,836320,62976,1,0,
pair1-van_der_pol-Gp,van_der_pol,Gp,32,20,640,282.463874829,282.249273456,2.2657764657071553,0.122458401,4884,4884,0,70704,70704,0,0,0,0,14.476658476658477,32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19536,9768,9768,1.1787591662555987,13.629375720999999,8.382257832,4318.970962372,0.615808636,860296,58880,1,1,
pair2-van_der_pol-Gp,van_der_pol,Gp,32,20,640,282.683342714,282.481142226,2.264017376671214,0.121859854,4869,4869,0,70704,70704,0,0,0,0,14.521256931608134,32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19476,9738,9738,1.0369638380035802,13.900068722999993,8.287987439,4443.430926096,0.615930438,859488,58880,2,0,
pair2-van_der_pol-Gr,van_der_pol,Gr,32,20,640,249.890460868,249.709838487,2.561122172398842,0.124773562,3148,2673,475,19800,19160,640,1280,0,0,7.167976056864946,28,1.3473684210526315,4,19.072182680999983,8.213955012000003,1.2844934510000006,0.08829526247829202,0.6168913841545584,9.57373421800001,983040,10240,593920,7600,950,950,475,475,2324480,640,5.89102099,0.235785563,0.496009633,0.462894367,0.027629277,10692,5346,5346,1.8979983315169857,33.20128005000006,4.38187513,2246.284056259,2.217546595,836204,62976,2,1,
