plant,pair,order,Gp_wall_s,Gr_wall_s,Gp_over_Gr,Gr_faster_than_Gp,Q_median_wall_s,S_single_wall_s,Q_median_over_Gr,S_single_over_Gr,successful_lane_steps
van_der_pol,0,Gp/Gr,279.094373614,247.362352353,1.1282815309571306,True,336.347412554,389.746722074,1.3597356645202554,1.5756105097101012,640
van_der_pol,1,Gr/Gp,282.463874829,246.333980073,1.1466703649463752,True,336.347412554,389.746722074,1.3654121630086313,1.5821882225038555,640
van_der_pol,2,Gp/Gr,282.683342714,249.890460868,1.1312290262385094,True,336.347412554,389.746722074,1.3459793998766096,1.5596702680054542,640
van_der_pol,3,Gr/Gp,284.355275441,249.95164628,1.1376411384882839,True,336.347412554,389.746722074,1.3456499189335926,1.5592884778898364,640
van_der_pol,4,Gp/Gr,288.124482159,250.042666913,1.1523012680841795,True,336.347412554,389.746722074,1.3451600749044519,1.5587208650658357,640
brusselator,0,Gp/Gr,411.504719821,354.576328311,1.16055327714959,True,485.911898572,578.233914682,1.3704014052111373,1.6307741620439737,640
brusselator,1,Gr/Gp,409.1701947,356.39220467,1.1480896308573012,True,485.911898572,578.233914682,1.3634189867366158,1.6224651019441165,640
brusselator,2,Gp/Gr,409.231831632,350.282057546,1.168292302777337,True,485.911898572,578.233914682,1.3872017938235068,1.6507665814600416,640
brusselator,3,Gr/Gp,413.400589493,355.409216085,1.1631678943129338,True,485.911898572,578.233914682,1.3671899224351818,1.6269525057665049,640
brusselator,4,Gp/Gr,410.321948376,355.176660497,1.155261575470176,True,485.911898572,578.233914682,1.368085104162142,1.6280177697286615,640
