step,t_start,t_end,h,h_hex,scheduler_time_hex,t_start_exact,t_end_exact,safety_check_passed,queue_size,queue_reset_count,published_endpoint_x_lo,published_endpoint_x_hi,published_endpoint_y_lo,published_endpoint_y_hi,common_endpoint_x_lo,common_endpoint_x_hi,common_endpoint_y_lo,common_endpoint_y_hi,published_tube_x_lo,published_tube_x_hi,published_tube_y_lo,published_tube_y_hi,common_tube_x_lo,common_tube_x_hi,common_tube_y_lo,common_tube_y_hi
1,0.0,0.025,0.025,0x1.999999999999ap-6,0x1.999999999999ap-6,0,3602879701896397/144115188075855872,True,1,0,1.158213968870821,1.460066716623315,2.253248765835064,2.406196690814865,1.1582139688708224,1.4600667166233137,2.2532487658350675,2.4061966908148618,1.0975354975680247,1.4615971348768968,2.251044569812614,2.4781066801947507,1.097535497568028,1.4615971348768937,2.2510445698126222,2.4781066801947422
2,0.025,0.03875000000000001,0.013750000000000002,0x1.c28f5c28f5c2ap-7,0x1.3d70a3d70a3d8p-5,3602879701896397/144115188075855872,11168927075878831/288230376151711744,True,2,0,1.1890077933355465,1.492792174332214,2.1960475358884426,2.379435072328376,1.1890077933355476,1.4927921743322128,2.1960475358884457,2.379435072328373,1.1567522935701398,1.493293326479606,2.194196090258711,2.4235054436972567,1.1567522935701429,1.4932933264796031,2.1941960902587194,2.4235054436972487
3,0.03875000000000001,0.053875000000000006,0.015125000000000003,0x1.ef9db22d0e562p-7,0x1.b95810624dd30p-5,11168927075878831/288230376151711744,485262859849171/9007199254740992,True,3,0,1.2227020956885357,1.5275711112532029,2.1308066001431705,2.345735951958807,1.222702095688537,1.5275711112532016,2.1308066001431745,2.345735951958803,1.1878300209725938,1.5282061312329076,2.1280754664861905,2.3979150611846696,1.1878300209725967,1.5282061312329047,2.128075466486199,2.397915061184661
4,0.053875000000000006,0.0705125,0.016637500000000003,0x1.1096bb98c7e29p-6,0x1.20d1b71758e22p-4,485262859849171/9007199254740992,20323844398397577/288230376151711744,True,4,0,1.2590638274032555,1.564746308186359,2.056252535588069,2.304602796119243,1.2590638274032566,1.564746308186358,2.0562525355880727,2.30460279611924,1.2214905066207422,1.565550672917623,2.052305369322395,2.3663731761616185,1.221490506620745,1.56555067291762,2.052305369322403,2.366373176161611
5,0.0705125,0.08881375000000001,0.018301250000000005,0x1.2bd9018e75794p-6,0x1.6bc7f77af6407p-4,20323844398397577/288230376151711744,25598820569944093/288230376151711744,True,5,0,1.2981499707522008,1.604259296757005,1.9713414607812791,2.2545848991816806,1.2981499707522022,1.604259296757004,1.9713414607812807,2.254584899181677,1.257832178181496,1.605276964470812,1.9657385378320993,2.3276339890789695,1.257832178181499,1.6052769644708091,1.9657385378321046,2.327633989078961
6,0.08881375000000001,0.10894512500000002,0.020131375000000007,0x1.49d51b4fe79f0p-6,0x1.be3d3e4ef0283p-4,25598820569944093/288230376151711744,31401294358645261/288230376151711744,True,6,0,1.3399643820557106,1.6459691608013822,1.8750820145713814,2.194049734831168,1.339964382055712,1.645969160801381,1.8750820145713833,2.194049734831165,1.2969169515919552,1.6472538432687955,1.8672616587791844,2.280253072771221,1.296916951591958,1.6472538432687927,1.8672616587791897,2.2802530727712123
7,0.10894512500000002,0.13108963750000002,0.02214451250000001,0x1.6ad0d13e4b955p-6,0x1.0c78b94f4186cp-3,31401294358645261/288230376151711744,18892007763108273/144115188075855872,True,7,0,1.3844386901313435,1.6896291081144352,1.7666202402387627,2.1212145221292094,1.384438690131345,1.6896291081144341,1.7666202402387645,2.121214522129206,1.3387547912566757,1.6912451988314539,1.7558859582743223,2.222586951922921,1.3387547912566788,1.6912451988314507,1.7558859582743265,2.2225869519229122
8,0.13108963750000002,0.14326911937500003,0.012179481875000005,0x1.8f18e62aecbdep-7,0x1.256a47b1f052ap-3,18892007763108273/144115188075855872,41294512168380753/288230376151711744,True,8,0,1.4105394791555557,1.710272132008882,1.7081171973027895,2.0769961550464715,1.410539479155557,1.7102721320088807,1.7081171973027915,2.076996155046468,1.3866690981912606,1.7107742849119134,1.7016501887780076,2.135008987107939,1.3866690981912635,1.7107742849119105,1.701650188778012,2.135008987107932
9,0.14326911937500003,0.15666654943750005,0.013397430062500007,0x1.b701c9fc046a8p-7,0x1.40da6451b0994p-3,41294512168380753/288230376151711744,45156058474761381/288230376151711744,True,9,0,1.4362605369786114,1.7344947379555573,1.6414124821295903,2.0279124585886295,1.4362605369786128,1.7344947379555562,1.6414124821295923,2.027912458588627,1.4106714497994208,1.7351117489624865,1.6335213135074211,2.093687184286767,1.410671449799424,1.7351117489624837,1.6335213135074254,2.09368718428676
10,0.15666654943750005,0.17140372250625005,0.014737173068750008,0x1.e2e85e2ed1a86p-7,0x1.5f08ea349db3cp-3,45156058474761381/288230376151711744,6175469926472509/36028797018963968,True,10,0,1.4637900183038812,1.7600939693421822,1.567783139715529,1.9717444324036946,1.4637900183038826,1.7600939693421809,1.5677831397155306,1.971744432403693,1.4364683969931966,1.7608509628909617,1.558161519097513,2.046255625296092,1.4364683969932,1.7608509628909585,1.5581615190975173,2.046255625296086
11,0.17140372250625005,0.18761461288187506,0.01621089037562501,0x1.0999670026830p-6,0x1.803c1714a2842p-3,6175469926472509/36028797018963968,6759528805312579/36028797018963968,True,11,0,1.4931246885530431,1.786972417992774,1.4867963553462662,1.9075845902569837,1.4931246885530443,1.7869724179927726,1.4867963553462682,1.907584590256982,1.4640911396417686,1.7878991100227646,1.4750873207217041,1.9918598512317678,1.464091139641771,1.787899110022762,1.4750873207217081,1.9918598512317636
12,0.18761461288187506,0.20544659229506257,0.01783197941318751,0x1.2428be19c3f68p-6,0x1.a4c12ed7db02fp-3,6759528805312579/36028797018963968,462624598252291/2251799813685248,True,12,0,1.524219183584011,1.8149755313755118,1.3981134073964858,1.834493118385301,1.5242191835840122,1.8149755313755105,1.3981134073964874,1.8344931183852995,1.493539067027182,1.8161065230966968,1.383910942998466,1.9295782314898888,1.4935390670271853,1.8161065230966937,1.38391094299847,1.9295782314898848
13,0.20544659229506257,0.22506176964956884,0.019615177354506262,0x1.4160044f8ac26p-6,0x1.cced2f61cc5b4p-3,462624598252291/2251799813685248,32434819261732563/144115188075855872,True,13,0,1.556948452283506,1.8439053318216483,1.300241454341876,1.7528381183312787,1.5569484522835073,1.843905331821647,1.3002414543418777,1.752838118331277,1.5247428731386479,1.8452810377208213,1.2830005335144041,1.8598407737058542,1.5247428731386512,1.8452810377208184,1.2830005335144081,1.8598407737058502
14,0.22506176964956884,0.24663846473952572,0.02157669508995689,0x1.618337f118a2ap-6,0x1.f91d965fef6f9p-3,32434819261732563/144115188075855872,4443043591584637/18014398509481984,True,14,0,1.5911505500595875,1.8734520085907003,1.193751767934341,1.6611997512323626,1.5911505500595888,1.873452008590699,1.193751767934343,1.6611997512323606,1.5576103680917173,1.875117456371077,1.1729052631508987,1.7811117903148679,1.5576103680917202,1.8751174563710742,1.1729052631509034,1.7811117903148637
15,0.24663846473952572,0.2703728293384783,0.02373436459895258,0x1.84dd23ef9b195p-6,0x1.14dc9d6ef1696p-2,4443043591584637/18014398509481984,77929662301432165/288230376151711744,True,15,0,1.6265814988121678,1.9032131818496694,1.079330947411977,1.5584698018283156,1.626581498812169,1.9032131818496683,1.0793309474119785,1.5584698018283143,1.591979992353835,1.905218288649186,1.054128134792693,1.6922531581376323,1.5919799923538378,1.9052182886491826,1.054128134792697,1.6922531581376283
16,0.2703728293384783,0.28342672986790224,0.01305390052942392,0x1.abc00dedf768bp-7,0x1.223a9dde6124ap-2,77929662301432165/288230376151711744,163384385922550101/576460752303423488,True,16,0,1.6496325920086803,1.9138335719360213,1.0199523716492922,1.4996040979637326,1.6496325920086814,1.9138335719360202,1.0199523716492942,1.4996040979637306,1.6322011362003763,1.9144320285871934,1.005867312922759,1.5729400756715515,1.6322011362003794,1.9144320285871903,1.0058673129227633,1.5729400756715473
17,0.28342672986790224,0.29778602045026853,0.014359290582366313,0x1.d68675b8f68cdp-7,0x1.30eed18c28d90p-2,163384385922550101/576460752303423488,85830976687102225/288230376151711744,True,17,0,1.6692711643863847,1.9294483982205943,0.953753750109669,1.4366031951002267,1.669271164386386,1.9294483982205932,0.9537537501096699,1.4366031951002247,1.6509269429342464,1.9301658088422853,0.93756600557351,1.5173892915816225,1.6509269429342492,1.9301658088422824,0.9375660055735129,1.5173892915816187
18,0.29778602045026853,0.31358124009087146,0.015795219640602945,0x1.02c9f3f2879a4p-6,0x1.411b70cb5152ap-2,85830976687102225/288230376151711744,90383638785512117/288230376151711744,True,18,0,1.6898871767732404,1.9454814372549811,0.8827368735333557,1.3672625129310758,1.6898871767732417,1.94548143725498,0.8827368735333567,1.3672625129310738,1.6707053459950005,1.9463386301324612,0.8641607942573977,1.4560173541052743,1.6707053459950032,1.9463386301324583,0.8641607942574007,1.45601735410527
19,0.31358124009087146,0.3309559816955347,0.017374741604663242,0x1.1caaf2bdfb902p-6,0x1.52e61ff7310bap-2,90383638785512117/288230376151711744,95391567093762999/288230376151711744,True,19,0,1.7112449616478695,1.9618980334693095,0.806942344144744,1.291230785288939,1.711244961647871,1.9618980334693081,0.8069423441447452,1.291230785288937,1.6913373246570664,1.9629183696247445,0.78567839026305,1.3884091727606727,1.6913373246570695,1.9629183696247414,0.7856783902630526,1.3884091727606687
20,0.3309559816955347,0.3500681974606643,0.01911221576512957,0x1.3922716a94b83p-6,0x1.6678470dda572p-2,95391567093762999/288230376151711744,50450144116419485/144115188075855872,True,20,0,1.733218201163879,1.9784625389932768,0.7265526221193114,1.2082319204787124,1.7332182011638804,1.9784625389932757,0.7265526221193123,1.2082319204787109,1.7127403497902114,1.9796714165889342,0.7023013615019809,1.3141803229547526,1.7127403497902143,1.9796714165889313,0.702301361501983,1.3141803229547482
21,0.3500681974606643,0.37109163480230684,0.02102343734164253,0x1.5872aff53d311p-6,0x1.7bff720d2e2a3p-2,50450144116419485/144115188075855872,106959881485822539/288230376151711744,True,21,0,1.7556634990976052,1.9948516299789791,0.6419073043318725,1.1181178912422935,1.7556634990976063,1.994851629978978,0.6419073043318733,1.1181178912422918,1.7348221250178562,1.996275728605628,0.6143880115114282,1.2330215286671415,1.7348221250178593,1.996275728605625,0.6143880115114304,1.233021528667138
22,0.37109163480230684,0.3942174158781136,0.023125781075806782,0x1.7ae48e5a901c6p-6,0x1.93adbaf2d72bfp-2,106959881485822539/288230376151711744,113625434064104465/288230376151711744,True,22,0,1.7783122147774513,2.0107505596259223,0.5535147446734306,1.0209289495636897,1.7783122147774528,2.0107505596259205,0.5535147446734314,1.020928949563688,1.7573720752419488,2.012416829635916,0.5224900279450846,1.1447510556845422,1.7573720752419522,2.0124168296359115,0.5224900279450866,1.1447510556845386
23,0.3942174158781136,0.4196557750615011,0.025438359183387462,0x1.a0c836306b527p-6,0x1.adba3e55dde11p-2,113625434064104465/288230376151711744,15119692737526823/36028797018963968,True,23,0,1.8008281020363859,2.025786131283487,0.4620775782277366,0.9169373397387115,1.800828102036387,2.0257861312834846,0.4620775782277371,0.9169373397387105,1.780118338743854,2.0277201708873447,0.427394047357226,1.0493440027024041,1.7801183387438566,2.0277201708873402,0.42739404735722725,1.0493440027024006
24,0.4196557750615011,0.44763797016322726,0.027982195101726212,0x1.ca75d53542dacp-6,0x1.ca619ba9320ecp-2,15119692737526823/36028797018963968,32255715129983929/72057594037927936,True,24,0,1.8228019428220505,2.0395268265696247,0.36848974186876493,0.80670902541768,1.8228019428220519,2.0395268265696225,0.36848974186876543,0.8067090254176792,1.8027196241045105,2.0417520011013925,0.32997615774319505,0.9471431558670569,1.8027196241045136,2.041752001101388,0.3299761577431965,0.9471431558670546
25,0.44763797016322726,0.4784183847751261,0.030780414611898836,0x1.f84e6a876323ep-6,0x1.e9e68251a8410p-2,32255715129983929/72057594037927936,68947355500814481/144115188075855872,True,25,0,1.84374836262565,2.0514862309089437,0.2738150361120868,0.6911492365723353,1.843748362625651,2.051486230908942,0.27381503611208724,0.6911492365723346,1.824762272770022,2.0540196991851407,0.23149844215901247,0.8385996209000691,1.8247622727700248,2.0540196991851367,0.23149844215901327,0.8385996209000669
26,0.4784183847751261,0.5122768408482148,0.033858456073088725,0x1.155e5430dced6p-5,0x1.0649266be1ef5p-1,68947355500814481/144115188075855872,73826873265745767/144115188075855872,True,26,0,1.863106228385021,2.0611299842216626,0.17926352125835315,0.5715121968911542,1.8631062283850222,2.061129984221661,0.1792635212583534,0.5715121968911534,1.8457562853972513,2.063979544965308,0.13340902188526738,0.7244793038028265,1.845756285397254,2.063979544965304,0.1334090218852681,0.7244793038028245
27,0.5122768408482148,0.5495211425286124,0.0372443016803976,0x1.311af635bfd1fp-5,0x1.195ad5cf3dec7p-1,73826873265745767/144115188075855872,39597171403585091/72057594037927936,True,27,0,1.8802430870445501,2.0678867454767396,0.08613131678742192,0.4493985984379492,1.8802430870445512,2.067886745476738,0.08613131678742211,0.44939859843794877,1.8651351114988461,2.0710483834352087,0.03719630503242165,0.6059733350787682,1.865135111498849,2.0710483834352047,0.037196305032422106,0.6059733350787666
28,0.5495211425286124,0.5700055084528312,0.02048436592421868,0x1.4f9da86e53009p-6,0x1.23d7c312b0847p-1,39597171403585091/72057594037927936,164292902109907221/288230376151711744,True,28,0,1.8939076154452692,2.064061354033002,0.041325883001345404,0.3846747457985817,1.8939076154452703,2.0640613540330004,0.04132588300134551,0.38467474579858124,1.8881246644414504,2.0649247777882676,0.017961686463272515,0.4628280963942556,1.8881246644414535,2.064924777788263,0.017961686463272748,0.46282809639425454
29,0.5700055084528312,0.5925383109694716,0.02253280251664055,0x1.712d6c795b4d7p-6,0x1.2f612e767b5eep-1,164292902109907221/288230376151711744,42696885063757691/72057594037927936,True,29,0,1.9007863686582527,2.0654895451083033,-0.006908052768886605,0.31933695698228476,1.900786368658254,2.065489545108301,-0.006908052768886545,0.3193369569822843,1.8956475265452237,2.0664749512777068,-0.031851041307874056,0.40106840926807996,1.895647526545227,2.0664749512777028,-0.03185104130787382,0.40106840926807913
30,0.5925383109694716,0.6173243937377763,0.02478608276830461,0x1.96185db8b13bap-6,0x1.3c11f16440e8cp-1,42696885063757691/72057594037927936,88965821107333331/144115188075855872,True,30,0,1.9068148114115637,2.065740785611202,-0.056241858830781394,0.2518280603478838,1.906814811411565,2.0657407856112,-0.056241858830781304,0.25182806034788346,1.9025585342262676,2.0668572726135164,-0.08270817223184594,0.33671860506977075,1.9025585342262707,2.066857272613512,-0.08270817223184565,0.33671860506976986
31,0.6173243937377763,0.6445890847829113,0.02726469104513507,0x1.beb46717f6280p-6,0x1.4a07949d009a0p-1,88965821107333331/144115188075855872,92895077185133075/144115188075855872,True,31,0,1.9117047377663834,2.064537418513817,-0.10607675159159612,0.1824297769183312,1.9117047377663845,2.064537418513815,-0.10607675159159599,0.18242977691833098,1.9086071142683805,2.06579183066172,-0.13392346050106907,0.2698961937955545,1.9086071142683838,2.065791830661716,-0.1339234605010686,0.2698961937955537
32,0.6445890847829113,0.67458024493256,0.029991160149648578,0x1.eb600b00c1f8dp-6,0x1.596294f506a9cp-1,92895077185133075/144115188075855872,194434517741425587/288230376151711744,True,32,0,1.9151218966433419,2.0615757521027724,-0.1559826918646061,0.11172950992335541,1.9151218966433432,2.0615757521027707,-0.1559826918646059,0.11172950992335529,1.9134978885508285,2.0629721003008985,-0.1849947592918426,0.20104797065756327,1.9134978885508316,2.0629721003008945,-0.18499475929184214,0.20104797065756283
33,0.67458024493256,0.7075705210971733,0.03299027616461344,0x1.0e419fa6d115bp-5,0x1.6a46aeef73bb2p-1,194434517741425587/288230376151711744,203943317449700969/288230376151711744,True,33,0,1.9166896973604823,2.05652256581217,-0.2054981484193205,0.04038837886379658,1.9166896973604837,2.056522565812168,-0.20549814841932026,0.0403883788637965,1.916164211499763,2.05879084925269,-0.2353956170087836,0.13071752506128115,1.9161642114997666,2.0587908492526856,-0.23539561700878317,0.13071752506128076
34,0.7075705210971733,0.7438598248782482,0.03628930378107479,0x1.29482f9de5fe5p-5,0x1.7cdb31e9521b0p-1,203943317449700969/288230376151711744,214402997128803891/288230376151711744,True,34,0,1.9159755208292941,2.0490303043259432,-0.2545379163846462,-0.030499870393287186,1.9159755208292955,2.049030304325941,-0.2545379163846458,-0.03049987039328726,1.9154048854364034,2.0537042838604416,-0.28506319714368006,0.05999276085907211,1.9154048854364067,2.053704283860437,-0.28506319714367906,0.059992760859071924
35,0.7438598248782482,0.7837780590374305,0.039918234159182275,0x1.47029ac749cb0p-5,0x1.914b5b95c6b7bp-1,214402997128803891/288230376151711744,225908644775817107/288230376151711744,True,35,0,1.9125234324933897,2.038706475233114,-0.30249078825106196,-0.10037684456527776,1.9125234324933909,2.0387064752331123,-0.30249078825106157,-0.10037684456527789,1.911911996084595,2.0462060150957773,-0.333286069898208,-0.010663373704932397,1.911911996084598,2.046206015095773,-0.33328606989820714,-0.0106633737049326
36,0.7837780590374305,0.8276881166125309,0.043910057575100504,0x1.67b610a8045f5p-5,0x1.a7c6bca046fdap-1,225908644775817107/288230376151711744,238564857187531645/288230376151711744,True,36,0,1.9058332880782545,2.0251360629499935,-0.3486660623392492,-0.16885433770447125,1.9058332880782556,2.0251360629499917,-0.34866606233924874,-0.16885433770447153,1.9051899054780008,2.035909884251694,-0.3792293490901806,-0.080961461467284,1.9051899054780037,2.03590988425169,-0.37922934909017947,-0.08096146146728436
37,0.8276881166125309,0.8759891799451415,0.048301063332610555,0x1.8baeabec04cf4p-5,0x1.c081a75f074a9p-1,238564857187531645/288230376151711744,252486690840417637/288230376151711744,True,37,0,1.8953760132265636,2.0078653226071674,-0.3934330646832952,-0.23466732967097148,1.895376013226565,2.007865322607165,-0.3934330646832948,-0.23466732967097173,1.8947110452711338,2.0223944723828753,-0.4227109339032258,-0.150096336172233,1.894711045271137,2.0223944723828713,-0.4227109339032247,-0.15009633617223367
