step,t_start,t_end,h,t_start_exact,t_end_exact,safety_check_passed,queue_size,queue_reset_count,published_endpoint_x_lo,published_endpoint_x_hi,published_endpoint_y_lo,published_endpoint_y_hi,common_endpoint_x_lo,common_endpoint_x_hi,common_endpoint_y_lo,common_endpoint_y_hi,published_tube_x_lo,published_tube_x_hi,published_tube_y_lo,published_tube_y_hi,common_tube_x_lo,common_tube_x_hi,common_tube_y_lo,common_tube_y_hi
1,0.0,0.01,0.01,0,5764607523034235/576460752303423488,True,1,0,1.123417828780056,1.4243144325118005,2.3123280567849664,2.4336373987696835,1.1234178287800574,1.4243144325117991,2.3123280567849696,2.4336373987696804,1.099309738103765,1.4245550667800313,2.3116622683089743,2.4610647926212508,1.0993097381037682,1.4245550667800282,2.3116622683089822,2.461064792621243
2,0.01,0.02,0.01,5764607523034235/576460752303423488,5764607523034235/288230376151711744,True,2,0,1.146452178243364,1.4484647162429074,2.2731231696448533,2.4163219141759074,1.1464521782433652,1.4484647162429063,2.2731231696448573,2.416321914175904,1.1226097159630979,1.4487148700898638,2.2722433102803747,2.445463886235782,1.1226097159631008,1.4487148700898609,2.2722433102803836,2.4454638862357734
3,0.02,0.03,0.01,5764607523034235/288230376151711744,17293822569102705/576460752303423488,True,3,0,1.1692991837699942,1.4722224120674756,2.232608268388223,2.397391785602934,1.1692991837699953,1.4722224120674745,2.232608268388226,2.397391785602931,1.1457373601189869,1.4724818959778545,2.2314728909885884,2.428252117926986,1.1457373601189895,1.4724818959778518,2.2314728909885964,2.428252117926978
4,0.03,0.04,0.01,17293822569102705/576460752303423488,5764607523034235/144115188075855872,True,4,0,1.1919455475319523,1.495571976711188,2.1908615046353193,2.376853537919155,1.1919455475319534,1.4955719767111868,2.1908615046353224,2.376853537919152,1.1686790593434002,1.4958405143445466,2.189446474537791,2.4094140128925225,1.1686790593434033,1.4958405143445437,2.189446474537799,2.4094140128925146
5,0.04,0.05,0.01,5764607523034235/144115188075855872,28823037615171175/576460752303423488,True,5,0,1.2143781285561062,1.518498602423068,2.1479646311394713,2.3547190955783996,1.2143781285561075,1.5184986024230667,2.1479646311394744,2.3547190955783965,1.1914212583337127,1.5187758855599627,2.1462471262631317,2.3889556792750843,1.1914212583337156,1.5187758855599598,2.1462471262631397,2.3889556792750772
6,0.05,0.06,0.01,28823037615171175/576460752303423488,17293822569102705/288230376151711744,True,6,0,1.2365839762055224,1.5409882714534004,2.1040025077139726,2.331005842770972,1.2365839762055235,1.5409882714533991,2.1040025077139766,2.3310058427709683,1.2139505470622431,1.5412739610777924,2.1019612439955186,2.3668886766635353,1.2139505470622458,1.5412739610777892,2.101961243995527,2.3668886766635273
7,0.06,0.07,0.01,17293822569102705/288230376151711744,40352252661239645/576460752303423488,True,7,0,1.2585503665660591,1.5630278029632332,2.0590625876524093,2.3057366397336128,1.2585503665660602,1.563027802963232,2.0590625876524125,2.305736639733609,1.2362536992412703,1.5633215305983663,2.056678028880708,2.3432300797295627,1.2362536992412732,1.5633215305983634,2.056678028880716,2.343230079729554
8,0.07,0.08,0.01,40352252661239645/576460752303423488,5764607523034235/72057594037927936,True,8,0,1.2802648368967702,1.5846048965953607,2.0132343895214095,2.2789397950677124,1.2802648368967715,1.5846048965953594,2.0132343895214126,2.2789397950677097,1.2583177091656763,1.5849062658849666,2.010488938370387,2.3180024986892445,1.2583177091656792,1.5849062658849635,2.0104889383703948,2.318002498689237
9,0.08,0.09,0.01,5764607523034235/72057594037927936,51881467707308115/576460752303423488,True,9,0,1.301715219432955,1.6057081708582037,1.9666089612131001,2.250648992713315,1.3017152194329564,1.6057081708582026,1.9666089612131021,2.2506489927133115,1.2801298282010152,1.6060167593801398,1.9634871286098927,2.2912340545161505,1.2801298282010183,1.6060167593801367,1.9634871286098985,2.2912340545161425
10,0.09,0.1,0.01,51881467707308115/576460752303423488,28823037615171175/288230376151711744,True,10,0,1.3228896742737328,1.6263271960897023,1.919278341733394,2.220903174302034,1.3228896742737342,1.626327196089701,1.919278341733396,2.220903174302031,1.3016776006228383,1.6266425573857617,1.9157668920741766,2.2629583089155223,1.3016776006228414,1.6266425573857584,1.9157668920741817,2.2629583089155143
