plant,mode,B,device,measurement,measured,solve_seconds,export_seconds,repeats,source,throughput_tasks_per_second,steps_per_second,requested_task_completed,failure_count,reason,process_seconds,peak_rss_bytes
brusselator,our_cpu_reference,1,cpu,complete_first_solve_in_fresh_process,True,1990.778945621103,34.17142175603658,1,raw_minimal/our_brusselator_full/summary.json,0.0005023159413050805,0.5023159413050805,True,0,One observed run; no warm-repeat median or variance claim.,,
brusselator,our_cpu_reference,1,cpu,fresh_process_including_export,True,,34.17142175603658,1,raw_minimal/our_brusselator_full/process_time.txt,,,,,,2029.61,507981824
brusselator,native_flowstar,1,cpu,complete_first_solve_in_fresh_process,True,13.569828379,10.303769863,1,raw_minimal/native_brusselator/summary.json,0.0736928995762062,73.6928995762062,True,0,One observed run; no warm-repeat median or variance claim.,,
brusselator,native_flowstar,1,cpu,fresh_process_including_export,True,,10.303769863,1,raw_minimal/native_brusselator/process_time.txt,,,,,,23.89,23261184
brusselator,xiangru_parity,1,cuda,warm_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
brusselator,xiangru_parity,1,cuda,fresh_process_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
brusselator,xiangru_parity,8,cuda,warm_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
brusselator,xiangru_parity,8,cuda,fresh_process_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
brusselator,xiangru_parity,32,cuda,warm_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
brusselator,xiangru_parity,32,cuda,fresh_process_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
brusselator,xiangru_strict,1,cuda,warm_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
brusselator,xiangru_strict,1,cuda,fresh_process_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
brusselator,xiangru_strict,8,cuda,warm_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
brusselator,xiangru_strict,8,cuda,fresh_process_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
brusselator,xiangru_strict,32,cuda,warm_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
brusselator,xiangru_strict,32,cuda,fresh_process_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
brusselator,our_cpu_reference,8,cpu,serial_batch_complete_solve,False,,,0,,,,,,Paired batch speed campaign not opened after correctness gate failure; no estimated speed gate.,,
brusselator,native_flowstar,8,cpu,serial_batch_complete_solve,False,,,0,,,,,,Paired batch speed campaign not opened after correctness gate failure; no estimated speed gate.,,
