plant,view,range_kind,state,comparison,scope,selection,requested_time,actual_time,ratio,numerator_width,denominator_width,numerator_lo,numerator_hi,denominator_lo,denominator_hi,absolute_width_difference,reason
brusselator,published,endpoint,x,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,1,1.0,,,0.03417494488674189,,,1.9516486938531752,1.985823638739917,,missing_or_stopped
brusselator,published,endpoint,x,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,5,5.0,,,0.001495034629528491,,,0.4261001742928707,0.4275952089223992,,missing_or_stopped
brusselator,published,endpoint,x,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,10,10.0,,,0.0031187136507560553,,,0.41199949815307835,0.4151182118038344,,missing_or_stopped
brusselator,published,endpoint,x,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,15,15.0,,,0.05894390120809989,,,2.637902114489868,2.696846015697968,,missing_or_stopped
brusselator,published,endpoint,x,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,20,20.0,,,0.0034057748160037926,,,0.4969343127635595,0.5003400875795633,,missing_or_stopped
brusselator,published,endpoint,x,strict_vs_ours,DIAGNOSTIC_ONLY,maximum_ratio_in_observed_prefix,,0.04,1.0000543213627138,0.05318356657761303,0.053180677730728654,1.5463747077712553,1.5995582743488683,1.5463761512597176,1.5995568289904463,2.8888468843746296e-06,
brusselator,published,endpoint,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,1,1.0,,,0.03215035158474855,,,1.952467197093842,1.9846175486785906,,missing_or_stopped
brusselator,published,endpoint,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,5,5.0,,,0.0014800499804497602,,,0.4261118872333486,0.42759193721379835,,missing_or_stopped
brusselator,published,endpoint,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,10,10.0,,,0.0033340506135176584,,,0.41190019067408423,0.4152342412876019,,missing_or_stopped
brusselator,published,endpoint,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,15,15.0,,,0.057887447392842795,,,2.638514612696628,2.6964020600894707,,missing_or_stopped
brusselator,published,endpoint,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,specified_checkpoint,20,20.0,,,0.0035160556927019693,,,0.4968769341968011,0.5003929898895031,,missing_or_stopped
brusselator,published,endpoint,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,maximum_ratio_in_observed_prefix,,0.04,1.010283042014904,0.05318356657761303,0.05264224416906371,1.5463747077712553,1.5995582743488683,1.5466563550806824,1.5992985992497462,0.0005413224085493162,
brusselator,published,endpoint,x,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,1,1.0,,,,,,,,,missing_or_stopped
brusselator,published,endpoint,x,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,5,5.0,,,,,,,,,missing_or_stopped
brusselator,published,endpoint,x,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,10,10.0,,,,,,,,,missing_or_stopped
brusselator,published,endpoint,x,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,15,15.0,,,,,,,,,missing_or_stopped
brusselator,published,endpoint,x,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,20,20.0,,,,,,,,,missing_or_stopped
brusselator,published,endpoint,x,strict_vs_parity,DIAGNOSTIC_ONLY,maximum_ratio_in_observed_prefix,,0.04,1.000000383971317,0.05318356657761303,0.05318354615665677,1.5463747077712553,1.5995582743488683,1.5463747182793395,1.5995582644359962,2.042095625931495e-08,
brusselator,published,endpoint,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,1,1.0,1.0629726644405892,0.03417494488674189,0.03215035158474855,1.9516486938531752,1.985823638739917,1.952467197093842,1.9846175486785906,0.002024593301993338,
brusselator,published,endpoint,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,5,5.0,1.0101244209835247,0.001495034629528491,0.0014800499804497602,0.4261001742928707,0.4275952089223992,0.4261118872333486,0.42759193721379835,1.4984649078730872e-05,
brusselator,published,endpoint,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,10,10.0,0.935412809305133,0.0031187136507560553,0.0033340506135176584,0.41199949815307835,0.4151182118038344,0.41190019067408423,0.4152342412876019,-0.00021533696276160308,
brusselator,published,endpoint,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,15,15.0,1.0182501364775625,0.05894390120809989,0.057887447392842795,2.637902114489868,2.696846015697968,2.638514612696628,2.6964020600894707,0.0010564538152570968,
brusselator,published,endpoint,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,20,20.0,0.9686350597554302,0.0034057748160037926,0.0035160556927019693,0.4969343127635595,0.5003400875795633,0.4968769341968011,0.5003929898895031,-0.00011028087669817666,
brusselator,published,endpoint,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,maximum_ratio_in_observed_prefix,,7.2,1.3566840773377749,0.24691833317201395,0.18200134968528747,2.80632712995208,3.0532454631240937,2.8381349312780024,3.02013628096329,0.06491698348672648,
brusselator,published,endpoint,y,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,1,1.0,,,0.048338403138346475,,,1.363051299943135,1.4113897030814815,,missing_or_stopped
brusselator,published,endpoint,y,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,5,5.0,,,0.010278258891672998,,,4.289702652947384,4.299980911839057,,missing_or_stopped
