plant,view,range_kind,state,t_start,t_end,t_start_exact,t_end_exact,duration,candidate_eligible,ours_lo,ours_hi,ours_width,ours_missing_reason,flowstar_lo,flowstar_hi,flowstar_width,flowstar_missing_reason,strict_lo,strict_hi,strict_width,strict_missing_reason,parity_lo,parity_hi,parity_width,parity_missing_reason,strict_vs_ours,strict_vs_ours_absolute_width_difference,strict_vs_ours_lower_shift,strict_vs_ours_upper_shift,strict_vs_ours_center_shift,strict_vs_ours_disjoint,strict_vs_flowstar,strict_vs_flowstar_absolute_width_difference,strict_vs_flowstar_lower_shift,strict_vs_flowstar_upper_shift,strict_vs_flowstar_center_shift,strict_vs_flowstar_disjoint,strict_vs_parity,strict_vs_parity_absolute_width_difference,strict_vs_parity_lower_shift,strict_vs_parity_upper_shift,strict_vs_parity_center_shift,strict_vs_parity_disjoint,ours_vs_flowstar,ours_vs_flowstar_absolute_width_difference,ours_vs_flowstar_lower_shift,ours_vs_flowstar_upper_shift,ours_vs_flowstar_center_shift,ours_vs_flowstar_disjoint
brusselator,published,endpoint,x,0.0,0.02,0,5764607523034235/288230376151711744,0.02,False,1.5127036632418787,1.5587985840817924,0.04609492083991373,,1.5127031007134828,1.558799148263437,0.04609604754995411,,1.5127030964965191,1.5587991520620457,0.04609605556552654,,1.5127031007134826,1.5587991482634371,0.046096047549954555,,1.0000246171506997,1.1347256128058092e-06,-5.667453595314953e-07,5.679802532743139e-07,6.174467603869971e-10,False,1.000000173888497,8.015572428021756e-09,-4.216963667147411e-09,3.798608760874345e-09,-2.091775641588356e-10,False,1.0000001738884874,8.015571983932546e-09,-4.216963445102806e-09,3.79860853882974e-09,-2.091775641588356e-10,False,0.999975557339506,-1.1267100403777874e-06,5.625283958643479e-07,-5.641816445134396e-07,-8.266243245458327e-10,False
brusselator,published,endpoint,y,0.0,0.02,0,5764607523034235/288230376151711744,0.02,False,2.9323283041647143,2.975459354504746,0.04313105034003151,,2.930415973235242,2.9773716835963744,0.04695571036113222,,2.9304159690024245,2.9773716883945327,0.046955719392108186,,2.9304159732352417,2.977371683596375,0.04695571036113311,,1.0886755370417414,0.003824669052076679,-0.0019123351622898355,0.0019123338897868436,-6.362514959334931e-10,False,1.0000001923296633,9.030975967050381e-09,-4.232817651939058e-09,4.798158315111323e-09,2.826703315861323e-10,False,1.0000001923296444,9.030975078871961e-09,-4.232817207849848e-09,4.798157871022113e-09,2.826703315861323e-10,False,0.9185474995120808,-0.003824660021100712,0.0019123309294721835,-0.0019123290916285285,9.189218275196254e-10,False
brusselator,published,tube,x,0.0,0.02,0,5764607523034235/288230376151711744,0.02,False,1.4769643301053195,1.5587997814190342,0.08183545131371472,,1.4769643298801498,1.5587997832974525,0.0818354534173027,,1.4769643256631861,1.5587997870960613,0.08183546143287512,,1.4769643298801496,1.5587997832974527,0.08183545341730314,,1.0000001236525276,1.0119160398502913e-08,-4.442133327842157e-09,5.677027070660756e-09,6.17446982431602e-10,False,1.000000097947431,8.015572428021756e-09,-4.216963667147411e-09,3.798608760874345e-09,-2.0917734211423067e-10,False,1.0000000979474255,8.015571983932546e-09,-4.216963445102806e-09,3.79860853882974e-09,-2.0917734211423067e-10,False,0.9999999742949066,-2.1035879704811578e-09,2.251696606947462e-10,-1.8784183097864116e-09,-8.266243245458327e-10,False
brusselator,published,tube,y,0.0,0.02,0,5764607523034235/288230376151711744,0.02,False,2.93041534373559,3.0234653712337343,0.09305002749814406,,2.9304153420351073,3.023465371096374,0.09305002906126658,,2.9304153378022897,3.0234653758945322,0.09305003809224255,,2.930415342035107,3.0234653710963744,0.09305002906126747,,1.0000001138537922,1.0594098487359815e-08,-5.933300517568796e-09,4.6607979697910196e-09,-6.362510518442832e-10,False,1.000000097055058,9.030975967050381e-09,-4.232817651939058e-09,4.798158315111323e-09,2.8267055363073723e-10,False,1.0000000970550484,9.030975078871961e-09,-4.232817207849848e-09,4.798157871022113e-09,2.8267055363073723e-10,False,0.9999999832012678,-1.5631225203094345e-09,1.7004828656297377e-09,1.3736034532030317e-10,9.189216054750204e-10,False
brusselator,common,endpoint,x,0.0,0.02,0,5764607523034235/288230376151711744,0.02,False,1.5127036632418815,1.5587985840817895,0.04609492083990796,,1.5127031007134868,1.5587991482634331,0.04609604754994634,,1.512703096496522,1.5587991520620428,0.046096055565520766,,1.5127031007134868,1.5587991482634331,0.04609604754994634,,1.0000246171506997,1.1347256128058092e-06,-5.667453595314953e-07,5.679802532743139e-07,6.174467603869971e-10,False,1.0000001738885405,8.0155744264232e-09,-4.2169647773704355e-09,3.798609649052764e-09,-2.0917767518113806e-10,False,1.0000001738885405,8.0155744264232e-09,-4.2169647773704355e-09,3.798609649052764e-09,-2.0917767518113806e-10,False,0.9999755573395493,-1.126710038379386e-06,5.625283947541249e-07,-5.641816436252611e-07,-8.266244355681351e-10,False
brusselator,common,endpoint,y,0.0,0.02,0,5764607523034235/288230376151711744,0.02,False,2.9323283041647192,2.9754593545047405,0.04313105034002129,,2.9304159732352506,2.9773716835963673,0.046955710361116676,,2.930415969002432,2.977371688394527,0.04695571939209486,,2.9304159732352506,2.9773716835963673,0.046955710361116676,,1.0886755370416903,0.0038246690520735704,-0.001912335162287171,0.0019123338897863995,-6.362503857104684e-10,False,1.0000001923297106,9.03097818749643e-09,-4.232818540117478e-09,4.798159647378952e-09,2.8267055363073723e-10,False,1.0000001923297106,9.03097818749643e-09,-4.232818540117478e-09,4.798159647378952e-09,2.8267055363073723e-10,False,0.9185474995121674,-0.003824660021095383,0.0019123309294686308,-0.0019123290916267521,9.189207172966007e-10,False
brusselator,common,tube,x,0.0,0.02,0,5764607523034235/288230376151711744,0.02,False,1.4769643301053283,1.5587997814190253,0.08183545131369696,,1.4769643298801534,1.558799783297449,0.08183545341729559,,1.4769643256631886,1.5587997870960588,0.08183546143287024,,1.4769643298801534,1.558799783297449,0.08183545341729559,,1.000000123652685,1.0119173277089999e-08,-4.4421397671357e-09,5.677033509954299e-09,6.17446982431602e-10,False,1.0000000979474581,8.015574648467805e-09,-4.2169647773704355e-09,3.798609871097369e-09,-2.0917734211423067e-10,False,1.0000000979474581,8.015574648467805e-09,-4.2169647773704355e-09,3.798609871097369e-09,-2.0917734211423067e-10,False,0.9999999742947764,-2.103598628622194e-09,2.251749897652644e-10,-1.8784236388569298e-09,-8.266243245458327e-10,False
brusselator,common,tube,y,0.0,0.02,0,5764607523034235/288230376151711744,0.02,False,2.9304153437356084,3.023465371233715,0.09305002749810676,,2.930415342035115,3.0234653710963673,0.09305002906125237,,2.9304153378022963,3.023465375894527,0.09305003809223056,,2.930415342035115,3.0234653710963673,0.09305002906125237,,1.0000001138540642,1.0594123800444777e-08,-5.933312063888252e-09,4.660811736556525e-09,-6.362501636658635e-10,False,1.0000000970550817,9.03097818749643e-09,-4.232818540117478e-09,4.798159647378952e-09,2.8267055363073723e-10,False,1.0000000970550817,9.03097818749643e-09,-4.232818540117478e-09,4.798159647378952e-09,2.8267055363073723e-10,False,0.9999999832010196,-1.5631456129483468e-09,1.7004935237707741e-09,1.3734791082242737e-10,9.189207172966007e-10,False
brusselator,published,endpoint,x,0.02,0.04,5764607523034235/288230376151711744,5764607523034235/144115188075855872,0.02,False,1.5463761512597176,1.5995568289904463,0.053180677730728654,,1.5466563550806824,1.5992985992497462,0.05264224416906371,,1.5463747077712553,1.5995582743488683,0.05318356657761303,,1.5463747182793395,1.5995582644359962,0.05318354615665677,,1.0000543213627138,2.8888468843746296e-06,-1.4434884623160116e-06,1.445358422058618e-06,9.349798713031987e-10,False,1.010283042014904,0.0005413224085493162,-0.00028164730942714655,0.0002596750991221697,-1.0986105152488435e-05,False,1.000000383971317,2.042095625931495e-08,-1.0508084180571586e-08,9.912872078743362e-09,-2.976060509141121e-10,False,1.010228165044327,0.0005384335616649416,-0.00028020382096483054,0.00025822974070011107,-1.0987040132359738e-05,False
brusselator,published,endpoint,y,0.02,0.04,5764607523034235/288230376151711744,5764607523034235/144115188075855872,0.02,False,2.882151718027856,2.929036268761628,0.046884550733771846,,2.8802509677869526,2.930914310155046,0.050663342368093556,,2.879988863928585,2.9311991209336132,0.051210257005028126,,2.879988874960499,2.9311991090896647,0.05121023412916559,,1.092262935307182,0.00432570627125628,-0.002162854099271083,0.0021628521719851967,-9.636429432191562e-10,False,1.0107950761116582,0.0005469146369345701,-0.0002621038583674462,0.0002848107785671239,1.1353460099838841e-05,False,1.0000004467049004,2.2875862537574676e-08,-1.1031914048942326e-08,1.184394848863235e-08,4.060172198450118e-10,False,0.9254136924708407,-0.00377879163432171,0.001900750240903637,-0.0018780413934180729,1.135442374278206e-05,False
