branch_name,tip_sha,tip_date,merge_base_with_main,ahead_of_main,behind_main,unique_commit_count,tree_hash,changed_top_level_paths,contains_core_changes,contains_test_changes,contains_experiment_changes,contains_artifacts_only,contains_order2_debug,contains_flowstar_patch_assumptions,largest_tracked_file_bytes,checked_out_worktree,dirty_worktree,classification,recommended_action,evidence
codex/batched-dense-nncs-gpu,6b2c78c86e6b5baf0e26c10438150535ff79a098,2026-06-09T12:05:18Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,33,0,33,3b9df5754ff19fda48bbae6fe3fe911d34bd7339,.gitignore;README.md;docs;experiments;outputs;src;tests,true,true,true,false,true,false,9550732,,false,abandoned_prototype,retain as history; do not migrate explicitly out-of-scope BERN/NNCS work,tip=6b2c78c86e6b5baf0e26c10438150535ff79a098; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=33; behind=0; tree=3b9df5754ff19fda48bbae6fe3fe911d34bd7339; paths=.gitignore;README.md;docs;experiments;outputs;src;tests
codex/bern-ibf-tm-feasibility,dd820324902c7d8c13c61c161fa830ae04b52f80,2026-07-24T22:24:25Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,59,0,59,9e60b2673fed4bca96f40f1dac6e885dc3f92ac0,.gitignore;README.md;docs;experiments;outputs;src;tests,true,true,true,false,true,false,36633197,/srv/local/shengenli/torch_tm_flowpipe_bern_ibf_study,true,abandoned_prototype,retain as history; do not migrate explicitly out-of-scope BERN/NNCS work,tip=dd820324902c7d8c13c61c161fa830ae04b52f80; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=59; behind=0; tree=9e60b2673fed4bca96f40f1dac6e885dc3f92ac0; paths=.gitignore;README.md;docs;experiments;outputs;src;tests
codex/deep-study-protocol-repair-v2,387c1188e1183a9c92521a545243a0c5aae5d51b,2026-07-30T08:12:21Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,100,0,100,608844e66da3e2d6d0cd0f178a4e0b399e1cef0a,.gitignore;README.md;docs;experiments;outputs;scripts;src;tests,true,true,true,false,true,true,50960494,/srv/local/shengenli/torch_tm_flowpipe_deep_study_protocol_repair,false,scientifically_relevant_history,retain; fail-closed behaviors are reimplemented in the consolidation candidate,tip=387c1188e1183a9c92521a545243a0c5aae5d51b; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=100; behind=0; tree=608844e66da3e2d6d0cd0f178a4e0b399e1cef0a; paths=.gitignore;README.md;docs;experiments;outputs;scripts;src;tests
codex/first-order-followup-correctness-matched-basis,3d0ae5444435974e7509e176129fb796c76312ab,2026-07-24T05:31:39Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,54,0,54,38f48af854763529bc110df2c4d9c7a7672a95e9,.gitignore;README.md;docs;experiments;outputs;src;tests,true,true,true,false,true,false,25737264,/srv/local/shengenli/torch_tm_flowpipe_first_order_followup,false,scientifically_relevant_history,retain as provenance; active behavior is subsumed by the consolidation candidate,tip=3d0ae5444435974e7509e176129fb796c76312ab; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=54; behind=0; tree=38f48af854763529bc110df2c4d9c7a7672a95e9; paths=.gitignore;README.md;docs;experiments;outputs;src;tests
codex/first-order-three-way-benchmark,13e5eece2002e009429d6fb463eed4bc1c53ae34,2026-07-23T18:14:16Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,45,0,45,ed02a3c50fe062684f0c690c8a1889a9f1a90399,.gitignore;README.md;docs;experiments;outputs;src;tests,true,true,true,false,true,false,9550732,/srv/local/shengenli/torch_tm_flowpipe_first_order_bench,false,scientifically_relevant_history,retain as provenance; active behavior is subsumed by the consolidation candidate,tip=13e5eece2002e009429d6fb463eed4bc1c53ae34; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=45; behind=0; tree=ed02a3c50fe062684f0c690c8a1889a9f1a90399; paths=.gitignore;README.md;docs;experiments;outputs;src;tests
codex/flowstar-kernel-alignment,54704e8f695802e373e2371fb0befed3b60ff3b5,2026-06-06T03:58:13Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,2,0,2,c2e8a696ed7e6ac9211e44f95b3cc4d23ccb7152,.gitignore;docs;experiments;outputs;src;tests,true,true,true,false,true,false,9550732,,false,scientifically_relevant_history,retain as provenance; active behavior is subsumed by the consolidation candidate,tip=54704e8f695802e373e2371fb0befed3b60ff3b5; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=2; behind=0; tree=c2e8a696ed7e6ac9211e44f95b3cc4d23ccb7152; paths=.gitignore;docs;experiments;outputs;src;tests
codex/flowstar-normalized-insertion,3bd72cac3aa993418fa0aa0e37da4367d5d7364f,2026-06-09T09:18:58Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,30,0,30,3308d72c5449eb2c2c9a5085c24fe97cdfef0407,.gitignore;README.md;docs;experiments;outputs;src;tests,true,true,true,false,true,false,9550732,,false,scientifically_relevant_history,retain as provenance; active behavior is subsumed by the consolidation candidate,tip=3bd72cac3aa993418fa0aa0e37da4367d5d7364f; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=30; behind=0; tree=3308d72c5449eb2c2c9a5085c24fe97cdfef0407; paths=.gitignore;README.md;docs;experiments;outputs;src;tests
codex/flowstar-raw-remainder-compat,26a254ef585a9dee394b7e41922c06bf8799f501,2026-06-20T13:21:37Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,40,0,40,92257d596a79d2b7599794a268b110cecc164266,.gitignore;README.md;docs;experiments;outputs;src;tests,true,true,true,false,true,false,9550732,/srv/local/shengenli/torch_tm_flowpipe,true,scientifically_relevant_history,retain as provenance; active behavior is subsumed by the consolidation candidate,tip=26a254ef585a9dee394b7e41922c06bf8799f501; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=40; behind=0; tree=92257d596a79d2b7599794a268b110cecc164266; paths=.gitignore;README.md;docs;experiments;outputs;src;tests
codex/three-way-common-contract-comparison,7251adfe8d2f3a5f3fd7a4a89f4b5a2075a19b10,2026-07-24T13:32:25Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,56,0,56,3d670787b3036172d59417ce946778a3a86a2dab,.gitignore;README.md;docs;experiments;outputs;src;tests,true,true,true,false,true,false,25737264,/srv/local/shengenli/torch_tm_flowpipe_three_way_comparison,false,scientifically_relevant_history,retain as provenance; active behavior is subsumed by the consolidation candidate,tip=7251adfe8d2f3a5f3fd7a4a89f4b5a2075a19b10; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=56; behind=0; tree=3d670787b3036172d59417ce946778a3a86a2dab; paths=.gitignore;README.md;docs;experiments;outputs;src;tests
codex/three-way-comparison-correctness-repair,9024a8a29bdc0ad668a7c0620bd53872f4313cc8,2026-07-28T14:38:31Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,64,0,64,aaafbc0c201760b0925a995d07043ede8d89d226,.gitignore;README.md;docs;experiments;outputs;src;tests,true,true,true,false,true,true,25737264,/srv/local/shengenli/torch_tm_flowpipe_three_way_repair,false,scientifically_relevant_history,retain as provenance; active behavior is subsumed by the consolidation candidate,tip=9024a8a29bdc0ad668a7c0620bd53872f4313cc8; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=64; behind=0; tree=aaafbc0c201760b0925a995d07043ede8d89d226; paths=.gitignore;README.md;docs;experiments;outputs;src;tests
