path,line,category,context,classification,recommended_action
comparisons/flowstar/compare_against_torch_tm.py,647,pass,pass,needs_review,review in context; do not mechanically rewrite
experiments/batched_tm_gpu_microbench.py,455,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/batched_tm_gpu_microbench.py,456,pass,pass,needs_review,review in context; do not mechanically rewrite
experiments/first_order_three_way/run_diffreach.py,494,except Exception,except Exception as exc:,needs_review,review in context; do not mechanically rewrite
experiments/first_order_three_way/run_torch.py,350,except Exception,except Exception as exc:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_benchmark_failure_diagnostics.py,124,pass,pass,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_benchmark_failure_diagnostics.py,654,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_benchmark_stage2_diagnostics.py,260,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_benchmark_stage2_diagnostics.py,394,except Exception,except Exception as exc:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_benchmark_stage2_diagnostics.py,433,except Exception,except Exception as exc:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_benchmark_symbolic_remainder_diagnostics.py,153,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_benchmark_symbolic_remainder_diagnostics.py,163,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_benchmark_symbolic_remainder_diagnostics.py,279,except Exception,except Exception as exc:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_benchmark_symbolic_remainder_diagnostics.py,293,except Exception,except Exception as exc:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_benchmark_symbolic_remainder_diagnostics.py,333,except Exception,except Exception as exc:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_benchmark_symbolic_remainder_diagnostics.py,879,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_checkpoint_replay.py,348,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_insertion_width_attribution.py,216,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_normalized_insertion_h10_failure.py,290,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_one_step_oracle.py,492,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_one_step_oracle.py,493,pass,pass,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_raw_remainder_compat_experiment.py,150,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_raw_remainder_compat_h10_right_map_centering.py,354,except Exception,except Exception as exc:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_raw_remainder_compat_h5.py,436,except Exception,except Exception as exc:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_raw_remainder_compat_h5_divergence_audit.py,307,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_raw_remainder_compat_h5_divergence_audit.py,394,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_raw_remainder_compat_h5_right_map_centering.py,555,except Exception,except Exception as exc:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_raw_remainder_compat_h5_right_map_centering.py,987,pass,and reconstruction_pass,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_raw_remainder_compat_h5_right_map_centering.py,1006,pass,and reconstruction_pass,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_raw_remainder_compat_h5_width_attribution.py,304,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_raw_remainder_compat_h5_width_attribution.py,320,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_raw_remainder_compat_short_horizon.py,169,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_right_map_scaling_diagnostics.py,455,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_step_trace_compare.py,565,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_style_failure_localization.py,164,pass,pass,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_style_failure_localization.py,199,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_style_failure_localization.py,208,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_style_failure_localization.py,215,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_style_failure_localization.py,348,except Exception,except Exception as exc:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_style_failure_localization.py,413,except Exception,except Exception as exc:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_style_failure_localization.py,697,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_style_failure_localization.py,818,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_style_rescue_vanderpol.py,628,pass,pass,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_style_rescue_vanderpol.py,1826,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_style_rescue_vanderpol.py,2176,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
experiments/flowstar_style_rescue_vanderpol.py,3098,except Exception,except Exception:,needs_review,review in context; do not mechanically rewrite
