branch_name,feature,status,evidence
main,interval arithmetic,present,src/torch_tm_flowpipe/interval.py
main,polynomial arithmetic,present,src/torch_tm_flowpipe/polynomial.py
main,TaylorModel core,present,src/torch_tm_flowpipe/taylor_model.py
main,one-step propagation,present,src/torch_tm_flowpipe/flowpipe.py;flowpipe_step
main,multi-step range_only,present,src/torch_tm_flowpipe/flowpipe.py;range_only
main,multi-step dependency_preserving,present,src/torch_tm_flowpipe/flowpipe.py;dependency_preserving
main,Flow* compatibility,present,comparisons/flowstar/README.md;comparisons/flowstar/__init__.py;comparisons/flowstar/build_flowstar_case.py;comparisons/flowstar/compare_against_torch_tm.py;comparisons/flowstar/configs/affine_controlled.yaml;comparisons/flowstar/configs/harmonic_oscillator.yaml;comparisons/flowstar/configs/scalar_quadratic.yaml;comparisons/flowstar/configs/van_der_pol.yaml
main,raw remainder compatibility,absent,
main,symbolic queue,present,src/torch_tm_flowpipe/symbolic_remainder.py
main,normalized insertion,absent,
main,Flow* correctness patch/exporter,absent,
main,first-order three-tool benchmark,absent,
main,matched-basis study,absent,matched
main,common-contract study,absent,
main,deep-study runtime/Pareto,absent,
main,tests,present,tests/test_cuda.py;tests/test_flowpipe.py;tests/test_flowstar_benchmark_diagnostics.py;tests/test_flowstar_benchmark_parity.py;tests/test_flowstar_benchmark_stage2_diagnostics.py;tests/test_flowstar_comparison.py;tests/test_flowstar_diagnostics_conclusion.py;tests/test_flowstar_provenance.py
main,reports/artifacts,present,outputs/README_RESULTS.md;outputs/final_audit_summary.md;outputs/flowstar_benchmark_diagnostics/README.md;outputs/flowstar_benchmark_diagnostics/diagnostic_report.md;outputs/flowstar_benchmark_diagnostics/diagnostic_runs_summary.csv;outputs/flowstar_benchmark_diagnostics/diagnostic_segments.csv;outputs/flowstar_benchmark_diagnostics/diagnostic_validation_attempts.csv;outputs/flowstar_benchmark_diagnostics/last_validated_t_by_run.png
origin/codex/batched-dense-nncs-gpu,interval arithmetic,present,src/torch_tm_flowpipe/interval.py
origin/codex/batched-dense-nncs-gpu,polynomial arithmetic,present,src/torch_tm_flowpipe/polynomial.py
origin/codex/batched-dense-nncs-gpu,TaylorModel core,present,src/torch_tm_flowpipe/taylor_model.py
origin/codex/batched-dense-nncs-gpu,one-step propagation,present,src/torch_tm_flowpipe/flowpipe.py;flowpipe_step
origin/codex/batched-dense-nncs-gpu,multi-step range_only,present,src/torch_tm_flowpipe/flowpipe.py;range_only
origin/codex/batched-dense-nncs-gpu,multi-step dependency_preserving,present,src/torch_tm_flowpipe/flowpipe.py;dependency_preserving
origin/codex/batched-dense-nncs-gpu,Flow* compatibility,present,comparisons/flowstar/README.md;comparisons/flowstar/__init__.py;comparisons/flowstar/build_flowstar_case.py;comparisons/flowstar/compare_against_torch_tm.py;comparisons/flowstar/configs/affine_controlled.yaml;comparisons/flowstar/configs/harmonic_oscillator.yaml;comparisons/flowstar/configs/scalar_quadratic.yaml;comparisons/flowstar/configs/van_der_pol.yaml
origin/codex/batched-dense-nncs-gpu,raw remainder compatibility,absent,
origin/codex/batched-dense-nncs-gpu,symbolic queue,present,src/torch_tm_flowpipe/symbolic_remainder.py
origin/codex/batched-dense-nncs-gpu,normalized insertion,present,tests/test_normalized_insertion.py
origin/codex/batched-dense-nncs-gpu,Flow* correctness patch/exporter,absent,
origin/codex/batched-dense-nncs-gpu,first-order three-tool benchmark,absent,
origin/codex/batched-dense-nncs-gpu,matched-basis study,absent,matched
origin/codex/batched-dense-nncs-gpu,common-contract study,absent,
origin/codex/batched-dense-nncs-gpu,deep-study runtime/Pareto,absent,
origin/codex/batched-dense-nncs-gpu,tests,present,tests/test_batched_dense_many_box_flowpipe_demo.py;tests/test_batched_dense_nncs_demo.py;tests/test_batched_dense_tm.py;tests/test_batched_tm_gpu_microbench.py;tests/test_cuda.py;tests/test_flowpipe.py;tests/test_flowstar_acceptance_predicate_audit.py;tests/test_flowstar_benchmark_diagnostics.py
origin/codex/batched-dense-nncs-gpu,reports/artifacts,present,outputs/README_RESULTS.md;outputs/batched_dense_many_box_flowpipe_demo/many_box_report.md;outputs/batched_dense_many_box_flowpipe_demo/many_box_summary.csv;outputs/batched_dense_nncs_demo/nncs_report.md;outputs/batched_dense_nncs_demo/nncs_summary.csv;outputs/batched_dense_range_remainder_engineering/range_remainder_report.md;outputs/batched_dense_range_remainder_engineering/range_remainder_summary.csv;outputs/batched_dense_tm_prototype/dense_tm_demo_report.md
origin/codex/first-order-followup-correctness-matched-basis,interval arithmetic,present,src/torch_tm_flowpipe/interval.py
origin/codex/first-order-followup-correctness-matched-basis,polynomial arithmetic,present,src/torch_tm_flowpipe/polynomial.py
origin/codex/first-order-followup-correctness-matched-basis,TaylorModel core,present,src/torch_tm_flowpipe/taylor_model.py
origin/codex/first-order-followup-correctness-matched-basis,one-step propagation,present,src/torch_tm_flowpipe/flowpipe.py;flowpipe_step
origin/codex/first-order-followup-correctness-matched-basis,multi-step range_only,present,src/torch_tm_flowpipe/flowpipe.py;range_only
origin/codex/first-order-followup-correctness-matched-basis,multi-step dependency_preserving,present,src/torch_tm_flowpipe/flowpipe.py;dependency_preserving
origin/codex/first-order-followup-correctness-matched-basis,Flow* compatibility,present,comparisons/flowstar/README.md;comparisons/flowstar/__init__.py;comparisons/flowstar/build_flowstar_case.py;comparisons/flowstar/compare_against_torch_tm.py;comparisons/flowstar/configs/affine_controlled.yaml;comparisons/flowstar/configs/harmonic_oscillator.yaml;comparisons/flowstar/configs/scalar_quadratic.yaml;comparisons/flowstar/configs/van_der_pol.yaml
origin/codex/first-order-followup-correctness-matched-basis,raw remainder compatibility,present,experiments/flowstar_raw_remainder_compat_experiment.py
origin/codex/first-order-followup-correctness-matched-basis,symbolic queue,present,src/torch_tm_flowpipe/symbolic_remainder.py
origin/codex/first-order-followup-correctness-matched-basis,normalized insertion,present,tests/test_normalized_insertion.py
origin/codex/first-order-followup-correctness-matched-basis,Flow* correctness patch/exporter,absent,
origin/codex/first-order-followup-correctness-matched-basis,first-order three-tool benchmark,present,experiments/first_order_three_way/ORDER_SEMANTICS.md;experiments/first_order_three_way/README.md;experiments/first_order_three_way/benchmark_spec.yaml;experiments/first_order_three_way/collect_results.py;experiments/first_order_three_way/common.py;experiments/first_order_three_way/compute_references.py;experiments/first_order_three_way/environment_audit.py;experiments/first_order_three_way/flowstar/generated/.gitignore
origin/codex/first-order-followup-correctness-matched-basis,matched-basis study,present,experiments/first_order_followup/DIFFREACH_AFFINE_PROJECTION.md;experiments/first_order_followup/FLOWSTAR_EXTRACTION_AUDIT.md;experiments/first_order_followup/MATCHED_BASIS.md;experiments/first_order_followup/README.md;experiments/first_order_followup/TORCH_DEPENDENCY_AUDIT.md;experiments/first_order_followup/audit_environment.py;experiments/first_order_followup/benchmark_spec.yaml;experiments/first_order_followup/collect_results.py;matched
origin/codex/first-order-followup-correctness-matched-basis,common-contract study,absent,
origin/codex/first-order-followup-correctness-matched-basis,deep-study runtime/Pareto,absent,
