analytic_containment_applicability,analytic_containment_passed,analytic_reference_contained,cold_total_configuration_time_s,compile_or_jit_time_s,completed_requested_horizon,completed_steps,device,dtype,engine_internal_time_s,evaluation_time,failure_category,first_step_time_s,h,measurement_phase,memory_measurement,memory_measurement_reason,memory_unavailable_reason,message,native_validation_passed,observation_source,peak_process_rss_kib,plot_report_time_s,posthoc_validation_time_s,repetition,requested_horizon,requested_steps,reset_discarded_term_count,runtime_boundary_version,steady_full_configuration_time_s,steady_step_time_s,steady_total_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time
required,True,True,0.10340316599467769,0.0,True,3,cpu,float64,0.09221287601394579,0.03,completed,0.05246866605011746,0.01,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,5.08397351950407e-06,0,0.03,3,0,total_configuration_v2,0.10340316599467769,0.025467249972280115,0.10340316599467769,0.03,riccati,torch_tm_flowpipe,True,order2_affine_reset_selected,0.1003950877929539
required,True,True,0.0,0.0,True,3,cpu,float64,0.0756542919552885,0.03,completed,0.026177999970968813,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,6.04201341047883e-06,1,0.03,3,0,total_configuration_v2,0.07762174995150417,0.02572187499026768,0.07762174995150417,0.03,riccati,torch_tm_flowpipe,True,order2_affine_reset_selected,0.1003950877929539
required,True,True,0.06897679198300466,0.0,True,3,cpu,float64,0.06461062503512949,0.03,completed,0.02349849999882281,0.01,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,1.129199517890811e-05,0,0.03,3,0,total_configuration_v2,0.06897679198300466,0.022739145992090926,0.06897679198300466,0.03,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.20609845612488803
required,True,True,0.0,0.0,True,3,cpu,float64,0.06419775099493563,0.03,completed,0.022702542017214,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,8.791976142674685e-06,1,0.03,3,0,total_configuration_v2,0.06781316600972787,0.022555311996256933,0.06781316600972787,0.03,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.20609845612488803
not_applicable,False,,0.2542632090044208,0.0,True,3,cpu,float64,0.25005783303640783,0.015,completed,0.08534208399942145,0.005,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,2.0830193534493446e-06,0,0.015,3,0,total_configuration_v2,0.2542632090044208,0.08446056250249967,0.2542632090044208,0.015,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.040194846524129996
not_applicable,False,,0.0,0.0,True,3,cpu,float64,0.25238062493735924,0.015,completed,0.08448929199948907,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,2.707995008677244e-06,1,0.015,3,0,total_configuration_v2,0.2565982500091195,0.08605447900481522,0.2565982500091195,0.015,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.040194846524129996
not_applicable,False,,0.2716667919885367,0.0,True,3,cpu,float64,0.26746104104677215,0.015,completed,0.09062912495573983,0.005,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,2.2919848561286926e-06,0,0.015,3,0,total_configuration_v2,0.2716667919885367,0.09051883351639844,0.2716667919885367,0.015,van_der_pol,torch_tm_flowpipe,True,order2_affine_reset_selected,0.30176622127677466
not_applicable,False,,0.0,0.0,True,3,cpu,float64,0.27063154202187434,0.015,completed,0.0909718339680694,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,4.04199818149209e-06,1,0.015,3,0,total_configuration_v2,0.27482070901896805,0.09192443752544932,0.27482070901896805,0.015,van_der_pol,torch_tm_flowpipe,True,order2_affine_reset_selected,0.30176622127677466
required,True,True,0.00014929199824109674,0.6761980420560576,True,3,cpu,float64,8.704198990017176e-05,0.03,completed,,0.01,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,5.917041562497616e-06,0,0.03,3,,total_configuration_v2,0.00014929199824109674,4.976399941369891e-05,0.00014929199824109674,0.03,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.10037643130478127
required,True,True,0.0,0.0,True,3,cpu,float64,0.00012149999383836985,0.03,completed,,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,3.500026650726795e-06,1,0.03,3,,total_configuration_v2,0.00015870900824666023,5.290300274888674e-05,0.00015870900824666023,0.03,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.10037643130478127
