all_required_repetitions_present,analytic_containment_applicability,analytic_containment_passed,basis_id,bound_semantics,carry_or_preconditioning,cold_total_configuration_time_s,compile_or_jit_time_s,completed_requested_horizon,config_id,effective_order,engine_internal_time_s,evaluation_time,failure_category,failure_message,failure_step,h,last_valid_step,memory_kib,memory_measurement_reason,native_validation_passed,plot_report_time_s,posthoc_validation_time_s,primary_comparable,remainder_policy,requested_horizon,requested_order,requested_steps,runtime_boundary_version,runtime_max_s,runtime_min_s,runtime_repetitions,runtime_statistic,steady_full_configuration_time_s,steady_total_configuration_time_s,step_policy,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time
True,not_applicable,True,restricted_quasiquadratic_symbolic_window100,raw_endpoint,selected_native_practical,0.00033249997068196535,2.4515521250432357,True,c5db5d2738f35bdacbfc3003111fed4b40bfb2a3b58b21908fcdefb3d6d93010,restricted_quasiquadratic_round5,0.00021195801673457026,0.015,completed,,,0.005,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,6.249756552278996e-07,True,frr_round5_stop_ratio_0.95,0.015,not_applicable,3,total_configuration_v2,0.0002476670197211206,0.0002476670197211206,1,median_full_configuration,0.0002476670197211206,0.0002476670197211206,fixed,0.015,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.040191815067148556
True,required,True,restricted_quasiquadratic_symbolic_window100,raw_endpoint,selected_native_practical,0.0002763749798759818,1.1720342499902472,True,facfc8ece7a7e330adfbb32509b03e21a83b6e07d4ac966cbd35b2dc021c66f8,restricted_quasiquadratic_round5,0.0001640410046093166,0.03,completed,,,0.01,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,4.500034265220165e-06,True,frr_round5_stop_ratio_0.95,0.03,not_applicable,3,total_configuration_v2,0.00019870803225785494,0.00019870803225785494,1,median_full_configuration,0.00019870803225785494,0.00019870803225785494,fixed,0.03,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.20605071170127817
True,required,True,restricted_quasiquadratic_symbolic_window100,raw_endpoint,selected_native_practical,0.00014929199824109674,0.6761980420560576,True,5fe3002d42cc6aebb5683f7c303f2826466b52e43c1ca849749019a4ed7582ef,restricted_quasiquadratic_round5,0.00012149999383836985,0.03,completed,,,0.01,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,3.500026650726795e-06,True,frr_round5_stop_ratio_0.95,0.03,not_applicable,3,total_configuration_v2,0.00015870900824666023,0.00015870900824666023,1,median_full_configuration,0.00015870900824666023,0.00015870900824666023,fixed,0.03,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.10037643130478127
True,not_applicable,True,restricted_quasiquadratic_symbolic_window100,raw_endpoint,selected_native_practical,0.00042762502562254667,2.608642000006512,True,d271a96a02ab66aea5d33391b0458eafd6ec037678e52cc01d2bdc63481e1290,restricted_quasiquadratic_round5,0.00022083398653194308,0.015,completed,,,0.005,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,7.08969309926033e-07,True,frr_round5_stop_ratio_0.95,0.015,not_applicable,3,total_configuration_v2,0.00025587499840185046,0.00025587499840185046,1,median_full_configuration,0.00025587499840185046,0.00025587499840185046,fixed,0.015,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.30164680831298885
True,not_applicable,True,complete_total_degree_4,raw_endpoint,selected_native_practical,0.010356332990340889,0.8723677910165861,True,8b918589006b1d5beed2074b2ee4f5f94d939c8f28b7cd41e4094b84a9dc75f2,4,0.00984791701193899,0.015,completed,,,0.005,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,8.584000170230865e-06,True,validated_interval_candidate,0.015,4,3,total_configuration_v2,0.009975416993256658,0.009975416993256658,1,median_full_configuration,0.009975416993256658,0.009975416993256658,fixed,0.015,coupled_quadratic,flowstar,True,root_cause_order4_selected,0.04019113375564379
True,required,True,complete_total_degree_4,raw_endpoint,selected_native_practical,0.0060548330075107515,0.880222457984928,True,a52b187d1684b0935c76d8da970c30b5f34ee09cbd613f77d2dec7e5cb71eafa,4,0.00600891700014472,0.03,completed,,,0.01,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,2.6374997105449438e-05,True,validated_interval_candidate,0.03,4,3,total_configuration_v2,0.00615674996515736,0.00615674996515736,1,median_full_configuration,0.00615674996515736,0.00615674996515736,fixed,0.03,harmonic,flowstar,True,root_cause_order4_selected,0.20590910756516656
True,required,True,complete_total_degree_4,raw_endpoint,selected_native_practical,0.006175125017762184,1.3510030000470579,True,e0521867563eb82c4eae885bbe6c5ea5824778cdccfeed5960c53bb73b98bca0,4,0.005215584009420127,0.03,completed,,,0.01,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,1.5209021512418985e-05,True,validated_interval_candidate,0.03,4,3,total_configuration_v2,0.005320708034560084,0.005320708034560084,1,median_full_configuration,0.005320708034560084,0.005320708034560084,fixed,0.03,riccati,flowstar,True,root_cause_order4_selected,0.10045165608075761
True,not_applicable,True,complete_total_degree_4,raw_endpoint,selected_native_practical,0.010517749993596226,0.8575330410385504,True,b74a6fa727158953f962ea00a9bdca3c58f041924dd88251a4f8cda818c96180,4,0.010664374975021929,0.015,completed,,,0.005,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,1.6458972822874784e-05,True,validated_interval_candidate,0.015,4,3,total_configuration_v2,0.010814500041306019,0.010814500041306019,1,median_full_configuration,0.010814500041306019,0.010814500041306019,fixed,0.015,van_der_pol,flowstar,True,root_cause_order4_selected,0.3012732007480894
True,not_applicable,True,complete_total_degree_2,raw_endpoint,selected_native_practical,0.2542632090044208,0.0,True,64c7af00e2666b055b4645f33690c1bdd49fe4647c4bd59e18ab0224852f5db2,2,0.25238062493735924,0.015,completed,,,0.005,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,2.707995008677244e-06,True,validated_interval,0.015,2,3,total_configuration_v2,0.2565982500091195,0.2565982500091195,1,median_full_configuration,0.2565982500091195,0.2565982500091195,fixed,0.015,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.040194846524129996
True,required,True,complete_total_degree_2,raw_endpoint,selected_native_practical,0.06897679198300466,0.0,True,181ee9493da91bc296edd7640b6e10793a70cfba5622c87eecf325355b8bc14e,2,0.06419775099493563,0.03,completed,,,0.01,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,8.791976142674685e-06,True,validated_interval,0.03,2,3,total_configuration_v2,0.06781316600972787,0.06781316600972787,1,median_full_configuration,0.06781316600972787,0.06781316600972787,fixed,0.03,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.20609845612488803
