all_required_repetitions_present,analytic_containment_applicability,analytic_containment_passed,basis_id,bound_semantics,carry_or_preconditioning,cold_total_configuration_time_s,compile_or_jit_time_s,completed_requested_horizon,config_id,effective_order,engine_internal_time_s,evaluation_time,excluded_from_authoritative,exclusion_reason,failure_category,failure_message,failure_step,h,last_valid_step,memory_kib,memory_measurement_reason,native_validation_passed,plot_report_time_s,posthoc_validation_time_s,primary_comparable,primary_numerical_eligible,remainder_policy,requested_horizon,requested_order,requested_steps,runtime_boundary_version,runtime_max_s,runtime_min_s,runtime_repetitions,runtime_statistic,steady_full_configuration_time_s,steady_total_configuration_time_s,step_policy,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time,width_runtime_pareto
True,not_applicable,True,restricted_quasiquadratic_symbolic_window100,raw_endpoint,selected_native_practical,0.000718875031452626,6.169959124992602,True,c5db5d2738f35bdacbfc3003111fed4b40bfb2a3b58b21908fcdefb3d6d93010,restricted_quasiquadratic_round5,0.0005444169510155916,0.015,True,insufficient_runtime_repetitions,completed,,,0.005,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,1.6660196706652641e-06,True,False,frr_round5_stop_ratio_0.95,0.015,not_applicable,3,total_configuration_v2,0.0006409580237232149,0.0006409580237232149,1,median_full_configuration,0.0006409580237232149,0.0006409580237232149,fixed,0.015,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.040191815067148556,False
True,required,True,restricted_quasiquadratic_symbolic_window100,raw_endpoint,selected_native_practical,0.0006257499917410314,2.77687862503808,True,facfc8ece7a7e330adfbb32509b03e21a83b6e07d4ac966cbd35b2dc021c66f8,restricted_quasiquadratic_round5,0.0004532919847406447,0.03,True,insufficient_runtime_repetitions,completed,,,0.01,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,1.4707969967275858e-05,True,False,frr_round5_stop_ratio_0.95,0.03,not_applicable,3,total_configuration_v2,0.0005698340246453881,0.0005698340246453881,1,median_full_configuration,0.0005698340246453881,0.0005698340246453881,fixed,0.03,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.20605071170127817,False
True,required,True,restricted_quasiquadratic_symbolic_window100,raw_endpoint,selected_native_practical,0.0006244169780984521,1.565965874993708,True,5fe3002d42cc6aebb5683f7c303f2826466b52e43c1ca849749019a4ed7582ef,restricted_quasiquadratic_round5,0.00035379198379814625,0.03,True,insufficient_runtime_repetitions,completed,,,0.01,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,1.795799471437931e-05,True,False,frr_round5_stop_ratio_0.95,0.03,not_applicable,3,total_configuration_v2,0.0005919579998590052,0.0005919579998590052,1,median_full_configuration,0.0005919579998590052,0.0005919579998590052,fixed,0.03,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.10037643130478127,False
True,not_applicable,True,restricted_quasiquadratic_symbolic_window100,raw_endpoint,selected_native_practical,0.0006524589844048023,6.044888332951814,True,d271a96a02ab66aea5d33391b0458eafd6ec037678e52cc01d2bdc63481e1290,restricted_quasiquadratic_round5,0.00036145804915577173,0.015,True,insufficient_runtime_repetitions,completed,,,0.005,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,1.4589750207960606e-06,True,False,frr_round5_stop_ratio_0.95,0.015,not_applicable,3,total_configuration_v2,0.0004384589847177267,0.0004384589847177267,1,median_full_configuration,0.0004384589847177267,0.0004384589847177267,fixed,0.015,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.30164680831298885,False
True,not_applicable,True,complete_total_degree_4,raw_endpoint,selected_native_practical,0.01682391599752009,1.6281619590008631,True,8b918589006b1d5beed2074b2ee4f5f94d939c8f28b7cd41e4094b84a9dc75f2,4,0.015795874991454184,0.015,True,insufficient_runtime_repetitions,completed,,,0.005,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,1.1958996765315533e-05,True,False,validated_interval_candidate,0.015,4,3,total_configuration_v2,0.016001207986846566,0.016001207986846566,1,median_full_configuration,0.016001207986846566,0.016001207986846566,fixed,0.015,coupled_quadratic,flowstar,True,root_cause_order4_selected,0.04019113375564379,False
True,required,True,complete_total_degree_4,raw_endpoint,selected_native_practical,0.00872804201208055,1.5136027919943444,True,a52b187d1684b0935c76d8da970c30b5f34ee09cbd613f77d2dec7e5cb71eafa,4,0.010242209013085812,0.03,True,insufficient_runtime_repetitions,completed,,,0.01,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,4.229199839755893e-05,True,False,validated_interval_candidate,0.03,4,3,total_configuration_v2,0.01045629201689735,0.01045629201689735,1,median_full_configuration,0.01045629201689735,0.01045629201689735,fixed,0.03,harmonic,flowstar,True,root_cause_order4_selected,0.20590910756516656,False
True,required,True,complete_total_degree_4,raw_endpoint,selected_native_practical,0.019802583963610232,2.0306648749974556,True,e0521867563eb82c4eae885bbe6c5ea5824778cdccfeed5960c53bb73b98bca0,4,0.017879916995298117,0.03,True,insufficient_runtime_repetitions,completed,,,0.01,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,3.404100425541401e-05,True,False,validated_interval_candidate,0.03,4,3,total_configuration_v2,0.018085541028995067,0.018085541028995067,1,median_full_configuration,0.018085541028995067,0.018085541028995067,fixed,0.03,riccati,flowstar,True,root_cause_order4_selected,0.10045165608075761,False
True,not_applicable,True,complete_total_degree_4,raw_endpoint,selected_native_practical,0.01888687495375052,1.5671069159870967,True,b74a6fa727158953f962ea00a9bdca3c58f041924dd88251a4f8cda818c96180,4,0.019132583984173834,0.015,True,insufficient_runtime_repetitions,completed,,,0.005,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,1.9707949832081795e-05,True,False,validated_interval_candidate,0.015,4,3,total_configuration_v2,0.019341499952133745,0.019341499952133745,1,median_full_configuration,0.019341499952133745,0.019341499952133745,fixed,0.015,van_der_pol,flowstar,True,root_cause_order4_selected,0.3012732007480894,False
True,not_applicable,True,complete_total_degree_2,raw_endpoint,selected_native_practical,0.5332214590162039,0.0,True,64c7af00e2666b055b4645f33690c1bdd49fe4647c4bd59e18ab0224852f5db2,2,0.37162153993267566,0.015,True,insufficient_runtime_repetitions,completed,,,0.005,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,5.082983989268541e-06,True,False,validated_interval,0.015,2,3,total_configuration_v2,0.3778257079538889,0.3778257079538889,1,median_full_configuration,0.3778257079538889,0.3778257079538889,fixed,0.015,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.040194846524129996,False
True,required,True,complete_total_degree_2,raw_endpoint,selected_native_practical,0.10606150003150105,0.0,True,181ee9493da91bc296edd7640b6e10793a70cfba5622c87eecf325355b8bc14e,2,0.21977254102239385,0.03,True,insufficient_runtime_repetitions,completed,,,0.01,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,0.00019087502732872963,True,False,validated_interval,0.03,2,3,total_configuration_v2,0.23050979094114155,0.23050979094114155,1,median_full_configuration,0.23050979094114155,0.23050979094114155,fixed,0.03,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.20609845612488803,False
True,required,True,complete_total_degree_2,raw_endpoint,selected_native_practical,0.14582612499361858,0.0,True,ec48f443e2c745ccea5c54c2d2e3b7c470fd4151f01217f7f7ff6c2a753e1317,2,0.11213504103943706,0.03,True,insufficient_runtime_repetitions,completed,,,0.01,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,9.374984074383974e-06,True,False,validated_interval,0.03,2,3,total_configuration_v2,0.11505487497197464,0.11505487497197464,1,median_full_configuration,0.11505487497197464,0.11505487497197464,fixed,0.03,riccati,torch_tm_flowpipe,True,order2_affine_reset_selected,0.1003950877929539,False
True,not_applicable,True,complete_total_degree_2,raw_endpoint,selected_native_practical,0.4039007499231957,0.0,True,c2491955e4ad166ec53fc1c50f88510de333b9403687e52af4f2c97f54eab055,2,0.3970712910522707,0.015,True,insufficient_runtime_repetitions,completed,,,0.005,3,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,5.875015631318092e-06,True,False,validated_interval,0.015,2,3,total_configuration_v2,0.40327283402439207,0.40327283402439207,1,median_full_configuration,0.40327283402439207,0.40327283402439207,fixed,0.015,van_der_pol,torch_tm_flowpipe,True,order2_affine_reset_selected,0.30176622127677466,False
