backend_lane,dense_kernel_s,device_to_host_s,device_transfer_count,h_attempted,host_to_device_s,segment_index,t_before,total_wall_s
hybrid_dense_core,0.14380309701664373,0.0,0,0.01,0.0,0,0.0,0.23313661897554994
hybrid_dense_core,0.13064843899337575,0.0,0,0.01,0.0,1,0.01,0.326333680015523
hybrid_dense_core,0.13154569000471383,0.0,0,0.01,0.0,2,0.02,0.4074952239752747
hybrid_dense_core,0.1316465230192989,0.0,0,0.01,0.0,3,0.03,0.42574598896317184
hybrid_dense_core,0.13499572599539533,0.0,0,0.01,0.0,4,0.04,0.4252068300265819
hybrid_dense_core,0.13431033300003037,0.0,0,0.01,0.0,5,0.05,0.4422969720326364
hybrid_dense_core,0.23215729900402948,0.0,0,0.01,0.0,6,0.06,0.5419405410066247
hybrid_dense_core,0.13952784502180293,0.0,0,0.01,0.0,7,0.07,0.4556807429762557
hybrid_dense_core,0.13168098899768665,0.0,0,0.01,0.0,8,0.08,0.44861855899216607
hybrid_dense_core,0.13113786501344293,0.0,0,0.01,0.0,9,0.09,0.44781361502828076
