backend_lane,dense_kernel_s,device_to_host_s,device_transfer_count,h_attempted,host_to_device_s,segment_index,t_before,total_wall_s
hybrid_dense_core,0.147098658955656,0.0,0,0.01,0.0,0,0.0,0.23902981798164546
hybrid_dense_core,0.13213771698065102,0.0,0,0.01,0.0,1,0.01,0.3338732970296405
hybrid_dense_core,0.13286847597919405,0.0,0,0.01,0.0,2,0.02,0.4014521119534038
hybrid_dense_core,0.13363232102710754,0.0,0,0.01,0.0,3,0.03,0.42224063898902386
hybrid_dense_core,0.13341541000409052,0.0,0,0.01,0.0,4,0.04,0.4284616549848579
hybrid_dense_core,0.1322102010017261,0.0,0,0.01,0.0,5,0.05,0.4486604040139355
hybrid_dense_core,0.19010022201109678,0.0,0,0.01,0.0,6,0.06,0.5162691680015996
hybrid_dense_core,0.13369091699132696,0.0,0,0.01,0.0,7,0.07,0.45873196102911606
hybrid_dense_core,0.13659562601242214,0.0,0,0.01,0.0,8,0.08,0.4636698880349286
hybrid_dense_core,0.1340773080009967,0.0,0,0.01,0.0,9,0.09,0.4557513380423188
