backend_lane,dense_kernel_s,device_to_host_s,device_transfer_count,h_attempted,host_to_device_s,segment_index,t_before,total_wall_s
hybrid_dense_core,0.15320937300566584,0.0,0,0.01,0.0,0,0.0,0.21810659096809104
hybrid_dense_core,0.1336789570050314,0.0,0,0.01,0.0,1,0.01,0.24955983797553927
hybrid_dense_core,0.13377494597807527,0.0,0,0.01,0.0,2,0.02,0.3251983069931157
hybrid_dense_core,0.13414106500567868,0.0,0,0.01,0.0,3,0.03,0.33904138300567865
hybrid_dense_core,0.13810184702742845,0.0,0,0.01,0.0,4,0.04,0.3430649319780059
hybrid_dense_core,0.13715269195381552,0.0,0,0.01,0.0,5,0.05,0.3673332759644836
hybrid_dense_core,0.17763635399751365,0.0,0,0.01,0.0,6,0.06,0.4066211599856615
hybrid_dense_core,0.13879535300657153,0.0,0,0.01,0.0,7,0.07,0.36556312203174457
hybrid_dense_core,0.13389485597144812,0.0,0,0.01,0.0,8,0.08,0.3539070209953934
hybrid_dense_core,0.13381041400134563,0.0,0,0.01,0.0,9,0.09,0.3623950509936549
