backend_lane,dense_kernel_s,device_to_host_s,device_transfer_count,h_attempted,host_to_device_s,segment_index,t_before,total_wall_s
hybrid_dense_core,0.603104580019135,0.005965279007796198,2,0.01,0.037110935954842716,0,0.0,1.3401902149780653
hybrid_dense_core,0.3771598180173896,0.0059514419990591705,2,0.01,0.0005811749724671245,1,0.01,1.0758299540029839
hybrid_dense_core,0.3710480089648627,0.005763829045463353,2,0.01,0.00053603999549523,2,0.02,1.3137903549941257
hybrid_dense_core,0.3667421370046213,0.0066166630131192505,2,0.01,0.0005511880153790116,3,0.03,1.352820242056623
hybrid_dense_core,0.37909248104551807,0.0059227500460110605,2,0.01,0.0005744299851357937,4,0.04,1.4071807930013165
hybrid_dense_core,0.3769986080005765,0.006023101974278688,2,0.01,0.0005323759978637099,5,0.05,1.4512620670138858
hybrid_dense_core,0.42160291399341077,0.005713548976927996,2,0.01,0.0005595459952019155,6,0.06,1.5111875449656509
hybrid_dense_core,0.3690611720085144,0.005866158055141568,2,0.01,0.0005403420072980225,7,0.07,1.4727178989560343
hybrid_dense_core,0.3780223550274968,0.005938354996033013,2,0.01,0.0005414049956016243,8,0.08,1.4944326750119217
hybrid_dense_core,0.37669840099988505,0.005922629963606596,2,0.01,0.0005502800340764225,9,0.09,1.5181120890192688
